match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,player_firstName,stat_dispossessed,stat_wonTackle,stat_fouls,stat_accurateCross,stat_bigChanceCreated,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonContest,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyConceded,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot,player_lastName,stat_clearanceOffLine,stat_outfielderBlock,stat_totalOffside
12764020,home,Barcelona,Diego Kochen,kochen-diego,D. Kochen,G,31,188,12717,M,,1402907,EUR,1142726400,G,31,31,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Diego Kochen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,home,Barcelona,Eric García,eric-garcia,E. García,D,24,182,56781,M,ericgm3,876214,EUR,978998400,D,24,24,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,home,Barcelona,Hector Fort,fort-hector,H. Fort,D,39,185,45620,M,hctorfort,1402908,EUR,1154476800,D,32,32,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Héctor Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,home,Barcelona,Andrés Cuenca,andres-cuenca,A. Cuenca,D,44,181,4431,M,andreas_cuenca4,1503832,EUR,1181520000,D,39,39,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Andrés Cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,home,Barcelona,Sergi Domínguez,sergi-dominguez,S. Domínguez,D,36,191,6129,M,sergidominguez_,1153335,EUR,1112313600,D,36,36,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Sergi Domínguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,home,Barcelona,Guillermo Fernández,guillermo-fernandez,G. Fernández,M,10,181,8311,M,gfernandez15,1544614,EUR,1213747200,M,41,41,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Guillermo Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,home,Barcelona,Pau Víctor,pau-victor,P. Víctor,F,18,182,38734,M,PauVíctor,1031567,EUR,1006819200,F,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,911,M,,100390,EUR,668563200,G,40,40,False,17.0,6.0,16.0,5.0,0.0,4.0,6.0,11.0,3.0,12.0,,1.0,1.0,90.0,31.0,6.5,11.0,0.00060496,0,2.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,4.0,1.0,4.0,-0.592,,,,,
12764020,away,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,607,M,,141080,EUR,686448000,D,7,7,False,34.0,23.0,10.0,7.0,0.0,18.0,25.0,12.0,7.0,8.0,,,,90.0,68.0,7.1,18.0,0.0039965,0,5.0,3.0,,1.0,1.0,8.0,1.0,4.0,1.0,,,4.0,1.0,,,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
12764020,away,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,241,M,,328035,EUR,788054400,D,5,5,False,23.0,15.0,8.0,3.0,0.0,13.0,15.0,8.0,11.0,4.0,,,,90.0,43.0,7.2,10.0,0.0014269,0,2.0,,1.0,2.0,5.0,5.0,,2.0,1.0,,,2.0,3.0,,,2.0,1.0,,1.0,,,,,True,,,,,,,,,,,,,,1.0,1.0,
