match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wonContest,stat_dispossessed,stat_shotOffTarget,player_firstName,player_lastName,stat_wasFouled,stat_blockedScoringAttempt,player_sofascoreId,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_ownGoals
10437977,home,Sporting Braga,Matheus,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,True,22.0,17.0,13.0,8.0,13.0,16.0,4.0,6.0,8.0,90.0,24.0,6.3,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437977,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,,58.0,49.0,4.0,4.0,15.0,17.0,35.0,47.0,6.0,90.0,81.0,7.8,18.0,0,1.0,6.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,
10437977,home,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,False,,64.0,57.0,17.0,12.0,31.0,32.0,26.0,32.0,7.0,90.0,74.0,7.1,7.0,0,,,,4.0,,6.0,,,,,3.0,3.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,
10437977,home,Sporting Braga,Vítor Tormena,vitor-tormena,V. Tormena,D,3,192,192,M,892426,EUR,820713600,D,3,3,False,,77.0,69.0,10.0,5.0,47.0,47.0,22.0,30.0,3.0,90.0,87.0,6.9,8.0,1,,,,2.0,1.0,5.0,2.0,,,,2.0,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10437977,home,Sporting Braga,Nuno Sequeira,nuno-sequeira,N. Sequeira,D,6,184,53,M,170117,EUR,651024000,D,6,6,False,,61.0,47.0,6.0,1.0,22.0,26.0,27.0,37.0,9.0,90.0,94.0,7.5,25.0,0,,2.0,2.0,2.0,1.0,4.0,5.0,,3.0,,,2.0,3.0,1.0,2.0,,4.0,,,,1.0,,,,,,,,,,,,,,
10437977,home,Sporting Braga,Iuri Medeiros,iuri-medeiros,I. Medeiros,M,45,174,247,M,252613,EUR,773798400,M,45,45,False,,35.0,31.0,4.0,4.0,9.0,10.0,22.0,27.0,3.0,60.0,48.0,7.0,9.0,2,,2.0,,,,3.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,,,,1.0,2.0,,,,,,,,,,,,
10437977,home,Sporting Braga,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2821,M,868958,EUR,828748800,M,8,8,False,,80.0,70.0,16.0,15.0,28.0,31.0,42.0,49.0,8.0,90.0,90.0,7.7,11.0,1,,,,,4.0,2.0,7.0,,,,1.0,3.0,3.0,3.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,
10437977,home,Sporting Braga,Uroš Račić,uros-racic,U. Račić,M,10,193,669,M,839909,EUR,890092800,M,19,19,False,,66.0,56.0,3.0,3.0,25.0,27.0,31.0,39.0,6.0,77.0,78.0,7.0,12.0,1,,,,,2.0,2.0,4.0,,,,1.0,3.0,,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,,,,,
10437977,home,Sporting Braga,André Horta,andre-horta,A. Horta,M,6,174,845,M,775699,EUR,847324800,M,10,10,False,,48.0,43.0,4.0,3.0,14.0,14.0,30.0,37.0,5.0,89.0,72.0,7.0,13.0,5,,3.0,1.0,,,6.0,5.0,,4.0,,,,2.0,1.0,1.0,1.0,1.0,,,,2.0,3.0,2.0,,,1.0,3.0,,,,,,,,
10437977,home,Sporting Braga,Simon Banza,simon-banza,S. Banza,F,9,189,10452,M,825945,EUR,839894400,F,23,23,False,,16.0,11.0,,,5.0,5.0,6.0,12.0,1.0,90.0,30.0,7.0,10.0,2,,1.0,,3.0,2.0,7.0,7.0,,1.0,,,,1.0,1.0,2.0,3.0,,,,1.0,,,1.0,,,4.0,,simbnz,1.0,1.0,,,,,
