match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_fouls,stat_unsuccessfulTouch,stat_shotOffTarget,stat_outfielderBlock,stat_goals,stat_totalOffside,stat_goalAssist,captain,stat_goodHighClaim
11369932,home,Cercle Brugge,Warleson,,,warleson,Warleson,G,1,191.0,144,M,861071,EUR,841449600,G,1,1,False,25.0,12.0,21.0,8.0,9.0,11.0,3.0,14.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,90.0,30.0,7.1,13.0,0.00185302,0,0.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369932,home,Cercle Brugge,Hugo Siquet,,,hugo-siquet,H. Siquet,D,41,180.0,607,M,983041,EUR,1026172800,D,41,41,False,38.0,25.0,10.0,4.0,10.0,10.0,16.0,34.0,1.0,6.0,,,,,,65.0,62.0,7.3,22.0,0.11625,0,,6.0,1.0,2.0,5.0,6.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
11369932,home,Cercle Brugge,Jesper Daland,,,jesper-daland,J. Daland,D,2,188.0,224,M,958915,EUR,947116800,D,4,4,False,45.0,31.0,9.0,5.0,20.0,28.0,11.0,17.0,1.0,1.0,,,,,,90.0,63.0,8.1,15.0,0.181348,3,,,,10.0,4.0,15.0,1.0,,1.0,1.0,,3.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.3306,0.5613,,,,,,,,,
11369932,home,Cercle Brugge,Boris Popović,,,boris-popovic,B. Popović,D,5,189.0,111,M,902050,EUR,951523200,D,5,5,False,35.0,24.0,3.0,1.0,19.0,25.0,5.0,10.0,2.0,5.0,,,,,,82.0,42.0,7.1,12.0,0.00220256,1,,,,9.0,5.0,9.0,,,,,,,,,5.0,,1.0,,2.0,,0.1571,0.3804,,,,,,,,,
11369932,home,Cercle Brugge,Jordan Semedo Varela,Jordan,Semedo Varela,jordan-varela,J. Semedo Varela,D,20,175.0,96,M,1158020,EUR,1042588800,D,77,77,False,37.0,26.0,6.0,1.0,9.0,13.0,17.0,26.0,1.0,4.0,,,,,,56.0,64.0,6.9,16.0,0.207959,0,,2.0,,3.0,3.0,9.0,,,3.0,2.0,,,,1.0,1.0,,,,,4.0,,,1.0,,,,,,,,
11369932,home,Cercle Brugge,Hannes Van Der Bruggen,,,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,55.0,40.0,9.0,4.0,13.0,18.0,27.0,38.0,2.0,8.0,,,,,,90.0,76.0,7.4,21.0,0.137742,2,,1.0,,2.0,5.0,6.0,,1.0,2.0,2.0,,2.0,,1.0,3.0,,1.0,1.0,2.0,,0.0392,0.2346,1.0,2.0,,,,,,,
11369932,home,Cercle Brugge,Félix Lemaréchal,,,felix-lemarechal,F. Lemaréchal,M,80,181.0,808,M,1130942,EUR,1060214400,M,6,6,False,64.0,48.0,6.0,2.0,23.0,29.0,25.0,38.0,2.0,15.0,,,,,,90.0,91.0,7.5,24.0,0.0508979,2,,3.0,,3.0,5.0,8.0,2.0,,2.0,1.0,,4.0,2.0,,2.0,,,1.0,2.0,,0.0947,,,3.0,1.0,1.0,,,,,
11369932,home,Cercle Brugge,Alan Minda,,,minda-alan,A. Minda,F,27,171.0,2590,M,1122552,EUR,1052870400,M,11,11,False,18.0,11.0,,,3.0,6.0,9.0,14.0,,4.0,,,,,,81.0,42.0,7.1,21.0,0.108499,3,,2.0,1.0,1.0,9.0,4.0,,3.0,5.0,2.0,,,,1.0,3.0,1.0,2.0,,,1.0,0.7456,0.9786,,7.0,1.0,,1.0,1.0,,,
11369932,home,Cercle Brugge,Yann Gboho,,,yann-gboho,Y. Gboho,F,10,173.0,972,M,911851,EUR,979430400,M,10,10,False,31.0,21.0,1.0,1.0,5.0,6.0,17.0,26.0,,11.0,,,,,,65.0,56.0,8.3,22.0,0.392336,3,,1.0,1.0,,13.0,6.0,,8.0,4.0,2.0,1.0,2.0,1.0,5.0,3.0,,2.0,1.0,2.0,2.0,0.3844,0.1481,,2.0,,,,1.0,2.0,,
11369932,home,Cercle Brugge,Thibo Somers,,,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,M,34,34,False,30.0,24.0,1.0,,10.0,10.0,14.0,23.0,1.0,6.0,,,,,,90.0,63.0,7.6,18.0,0.048381,4,,3.0,,3.0,14.0,5.0,,2.0,3.0,1.0,,1.0,1.0,1.0,7.0,,3.0,,1.0,,0.9809,1.2634,3.0,5.0,1.0,,1.0,1.0,,True,
