match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_hitWoodwork,stat_wasFouled,captain,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,player_firstName,stat_goalAssist,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wonContest,stat_blockedScoringAttempt,stat_goals,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches
11451126,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,32.0,23.0,17.0,10.0,18.0,22.0,5.0,10.0,6.0,1.0,2.0,90.0,37.0,6.1,9.0,0.0,0.0,0.00097609,0,-1.5395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451126,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,99,99,False,23.0,19.0,1.0,,10.0,11.0,10.0,14.0,2.0,,,84.0,56.0,6.5,10.0,0.0,0.0,0.0393296,0,,7,2.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11451126,home,Sivasspor,Aaron Appindangoyé,aaron-appindangoye,A. Appindangoyé,D,185,334,M,785850,EUR,698544000,D,4,4,False,48.0,41.0,12.0,7.0,35.0,37.0,6.0,11.0,4.0,,,90.0,54.0,6.3,7.0,0.0,0.0,0.00217274,0,,2,,,2.0,2.0,,,,2.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11451126,home,Sivasspor,Caner Osmanpaşa,caner-osmanpasa,C. Osmanpaşa,D,182,35,M,135941,EUR,569203200,D,88,88,False,45.0,38.0,6.0,4.0,26.0,29.0,12.0,16.0,3.0,,,90.0,53.0,6.7,7.0,0.2077,0.0,0.00350747,2,,20,,,1.0,5.0,,,,3.0,,1.0,1.0,,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11451126,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,180,65,M,142850,EUR,704937600,D,3,3,False,34.0,31.0,1.0,,12.0,12.0,21.0,30.0,5.0,,,90.0,70.0,7.3,13.0,0.025,0.0,0.172864,1,,58,8.0,2.0,2.0,2.0,1.0,,1.0,3.0,1.0,2.0,2.0,2.0,,,,1.0,,,True,1.0,2.0,2.0,,,,,,,,,,,
11451126,home,Sivasspor,Yunus Konak,yunus-konak,Y. Konak,M,181,1116,M,1518589,EUR,1136851200,M,72,72,False,47.0,43.0,10.0,10.0,26.0,26.0,17.0,21.0,4.0,,,90.0,53.0,7.1,4.0,0.0396,0.4115,0.00819578,1,,5,,,4.0,5.0,1.0,,,,1.0,2.0,2.0,,2.0,1.0,2.0,,,1.0,,,,1.0,Yunus Konak,1.0,1.0,1.0,,,,,,,
11451126,home,Sivasspor,Emrah Başsan,emrah-bassan,E. Başsan,M,177,60,M,174141,EUR,703468800,M,17,17,False,24.0,17.0,5.0,4.0,3.0,6.0,16.0,23.0,4.0,,,72.0,43.0,6.5,15.0,0.477,0.8648,0.0782143,1,,14,5.0,2.0,6.0,3.0,1.0,1.0,2.0,,,,,1.0,,2.0,,,,3.0,,,,3.0,,,1.0,1.0,,,,,,,
11451126,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,8,8,False,45.0,42.0,7.0,6.0,16.0,16.0,26.0,29.0,5.0,,,90.0,59.0,6.8,6.0,0.0,0.0,0.0503004,0,,8,,,7.0,6.0,5.0,1.0,1.0,2.0,,5.0,2.0,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,
11451126,home,Sivasspor,Samu Sáiz,samu-saiz,S. Sáiz,M,174,123,M,99527,EUR,664502400,M,24,24,False,54.0,45.0,1.0,1.0,11.0,12.0,34.0,46.0,2.0,,,90.0,78.0,8.1,19.0,0.2613,0.5102,0.555774,4,,,4.0,,3.0,6.0,1.0,,4.0,,,,,4.0,,,1.0,1.0,,3.0,,1.0,,4.0,,,,2.0,2.0,1.0,1.0,,,,
11451126,home,Sivasspor,Clinton N'Jie,clinton-njie,C. N'Jie,F,175,913,M,291665,EUR,745372800,M,10,10,False,20.0,14.0,1.0,1.0,6.0,7.0,8.0,13.0,2.0,,,59.0,39.0,5.8,16.0,0.1322,0.2054,0.00785061,3,,,,,9.0,5.0,1.0,2.0,8.0,,,1.0,,1.0,2.0,,,,,,,,,,,,,3.0,4.0,,,,,,
