match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalClearance,stat_fouls,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_bigChanceCreated,stat_bigChanceMissed
12765107,home,FC Petrocub Hîncesti,Silviu Șmalenea,Silviu Smalenea,,silviu-smalenea,S. Șmalenea,G,1,184.0,24,M,1138466,EUR,1039392000,G,1,1,False,21.0,8.0,14.0,2.0,0.0,8.0,13.0,8.0,12.0,5.0,90.0,34.0,6.2,13.0,5.797e-05,0,-1.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Ion Borș,Ion Bors,,ion-bors,I. Borș,D,66,,31,M,1083666,EUR,1027555200,D,66,66,False,54.0,44.0,7.0,2.0,0.0,28.0,35.0,19.0,5.0,,75.0,65.0,7.1,11.0,0.00742451,0,,16.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Manuel Agyemang,Manuel,Agyemang,manuel-nana-agyemang,M. N. Agyemang,M,8,191.0,34,M,1484181,EUR,1019865600,D,55,55,False,17.0,16.0,2.0,1.0,0.0,12.0,13.0,4.0,,,53.0,24.0,6.1,1.0,0.00067797,0,,4.0,,,2.0,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Sergiu Plătică,,,sergiu-platica,S. Plătică,D,11,185.0,50,M,883484,EUR,676425600,D,11,11,False,61.0,48.0,10.0,4.0,0.0,32.0,38.0,23.0,8.0,,90.0,80.0,6.1,17.0,0.00878706,1,,16.0,1.0,,2.0,3.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0152,,,,,,,,,,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Ion Jardan,,,ion-jardan,I. Jardan,M,90,182.0,22,M,66047,EUR,631929600,M,90,90,False,42.0,34.0,4.0,,0.0,18.0,21.0,28.0,4.0,,90.0,70.0,6.6,19.0,0.067511,0,,17.0,1.0,,5.0,6.0,,4.0,3.0,,,1.0,1.0,,,1.0,,2.0,2.0,,7.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Teodor Lungu,Teodor Lungu,,teodor-lungu,T. Lungu,M,30,,45,M,1110526,EUR,802915200,M,39,39,False,68.0,60.0,10.0,8.0,0.0,32.0,34.0,37.0,10.0,,90.0,88.0,7.6,13.0,0.106351,2,,29.0,1.0,2.0,5.0,8.0,1.0,3.0,1.0,,,,3.0,2.0,1.0,,,,2.0,0.8198,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,0.9235,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Donalio Melachio Douanla,Donalio,Melachio Douanla,donalio-melachio-douanla,D. M. Douanla,M,13,180.0,31,M,938171,EUR,875059200,M,20,20,False,34.0,31.0,1.0,,0.0,23.0,26.0,8.0,3.0,,90.0,46.0,6.4,5.0,0.00482052,0,,8.0,1.0,,3.0,3.0,,1.0,,,,,3.0,2.0,6.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Dan Pușcaș,,,dan-puscas,D. Pușcaș,M,37,175.0,30,M,1050779,EUR,991353600,M,37,37,False,20.0,15.0,3.0,1.0,0.0,7.0,8.0,14.0,6.0,,75.0,39.0,6.4,15.0,0.00903806,1,,8.0,2.0,1.0,9.0,5.0,2.0,3.0,1.0,,,2.0,2.0,1.0,1.0,1.0,,4.0,1.0,0.0181,2.0,,2.0,,,1.0,,,,,,,,,,,
12765107,home,FC Petrocub Hîncesti,Vladimir Ambros,,,vladimir-ambros,V. Ambros,F,9,180.0,32,M,822189,EUR,757209600,F,9,9,False,17.0,13.0,1.0,,0.0,2.0,3.0,19.0,3.0,,62.0,31.0,6.6,14.0,0.019563,0,,12.0,1.0,,5.0,1.0,1.0,2.0,,,,,,,,1.0,,3.0,1.0,,5.0,1.0,,,,,,,,True,,,,,,,
12765107,home,FC Petrocub Hîncesti,Marin Caruntu,,,marin-caruntu,M. Caruntu,F,,178.0,18,M,884870,EUR,880675200,F,22,22,False,6.0,5.0,,,0.0,4.0,4.0,2.0,,,62.0,16.0,6.5,8.0,0.00024945,1,,1.0,2.0,2.0,6.0,4.0,1.0,1.0,,,,,,,,2.0,,5.0,2.0,0.0741,,,,,,1.0,,,,,,,,,,,
