match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,player_sofascoreId,stat_crossNotClaimed,stat_goodHighClaim,stat_bigChanceMissed,stat_hitWoodwork,stat_blockedScoringAttempt
11352464,home,Luton Town,Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,545,M,45959,EUR,719798400,G,24,24,False,40.0,22.0,25.0,7.0,17.0,20.0,5.0,20.0,8.0,2.0,4.0,90.0,48.0,6.9,18.0,0.00119877,0,-0.8329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352464,home,Luton Town,Teden Mengi,teden-mengi,T. Mengi,D,15,183,754,M,979233,EUR,1020124800,D,15,15,False,31.0,23.0,4.0,2.0,16.0,20.0,7.0,11.0,3.0,,,90.0,39.0,6.1,10.0,0.00522343,0,,,,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
11352464,home,Luton Town,Tom Lockyer,tom-lockyer,T. Lockyer,D,12,183,189,M,197848,EUR,786412800,D,4,4,False,34.0,25.0,8.0,3.0,19.0,21.0,6.0,13.0,7.0,,,89.0,51.0,6.7,11.0,0.00397169,0,,,,2.0,6.0,7.0,1.0,,1.0,2.0,,2.0,True,1.0,2.0,1.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11352464,home,Luton Town,Amari'i Bell,amarii-bell,A. Bell,D,17,179,289,M,369674,EUR,768096000,D,29,29,False,46.0,35.0,8.0,3.0,27.0,30.0,8.0,16.0,1.0,,,90.0,56.0,6.4,12.0,0.00934102,0,,,,1.0,5.0,1.0,,,1.0,3.0,,3.0,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
11352464,home,Luton Town,Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,521,M,945792,EUR,945734400,M,45,45,False,21.0,13.0,3.0,1.0,6.0,9.0,7.0,20.0,4.0,,,90.0,53.0,6.6,22.0,0.00981072,0,,,,,5.0,7.0,2.0,,4.0,1.0,,1.0,,2.0,2.0,,3.0,1.0,2.0,,8.0,2.0,,,,,,,,,,,,,,,
11352464,home,Luton Town,Marvelous Nakamba,marvelous-nakamba,M. Nakamba,M,18,177,1065,M,556904,EUR,758937600,M,13,13,False,20.0,17.0,2.0,1.0,9.0,11.0,8.0,9.0,3.0,,,72.0,32.0,6.8,4.0,0.00827296,0,,,,,4.0,2.0,1.0,,,1.0,,3.0,,,3.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11352464,home,Luton Town,Ross Barkley,ross-barkley,R. Barkley,M,6,188,2411,M,98435,EUR,755049600,M,6,6,False,29.0,23.0,6.0,3.0,9.0,10.0,14.0,19.0,8.0,,,90.0,42.0,6.4,10.0,0.0316302,1,,,,2.0,8.0,4.0,2.0,2.0,4.0,,,,,,,1.0,2.0,,,,,2.0,1.0,0.0335,,,,,,,,,,,,,
11352464,home,Luton Town,Ryan Giles,ryan-giles,R. Giles,D,3,179,245,M,931304,EUR,948844800,M,26,26,False,24.0,21.0,3.0,,12.0,13.0,9.0,14.0,4.0,,,84.0,43.0,6.7,9.0,0.0103749,0,,,,,2.0,5.0,1.0,,2.0,,,1.0,,,3.0,,3.0,1.0,2.0,,3.0,2.0,,,,,,,,,,,,,,,
11352464,home,Luton Town,Andros Townsend,andros-townsend,A. Townsend,F,30,181,590,M,47992,EUR,679622400,F,30,30,False,17.0,15.0,1.0,1.0,10.0,10.0,6.0,11.0,5.0,,,72.0,30.0,7.1,8.0,0.339437,1,,,,1.0,4.0,1.0,2.0,1.0,,2.0,,,,,,,1.0,1.0,2.0,1.0,4.0,,,0.0193,1.0,1.0,1.0,1.0,0.0422,,,,,,,,
11352464,home,Luton Town,Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,980,M,920542,EUR,884131200,F,11,11,False,14.0,11.0,,,3.0,4.0,8.0,10.0,3.0,,,90.0,32.0,6.9,15.0,0.0205852,1,,,,2.0,8.0,3.0,1.0,2.0,3.0,,,1.0,,2.0,,,,,5.0,1.0,,1.0,,0.2521,,,,1.0,0.8438,1.0,1.0,,,,,,
