match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_aerialWon,stat_onTargetScoringAttempt,stat_wonTackle,stat_errorLeadToAShot,stat_keyPass,captain,stat_shotOffTarget,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_bigChanceMissed
11451160,home,İstanbulspor,David Jensen,david-jensen,D. Jensen,G,195,47,M,47860,EUR,701481600,G,1,1,False,29.0,26.0,5.0,2.0,26.0,26.0,3.0,1.0,1.0,9.0,1.0,2.0,3.0,1.0,1.0,1.0,90.0,38.0,7.0,3.0,0.0,0.0,0.00012378,0,-0.8073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451160,home,İstanbulspor,Demeaco Duhaney,duhaney-demeaco,D. Duhaney,D,180,24,M,851095,EUR,908236800,D,21,21,False,31.0,26.0,4.0,1.0,9.0,11.0,23.0,1.0,1.0,1.0,1.0,,,,,,90.0,50.0,6.4,10.0,0.0,0.0,0.099782,0,,,,21,18.0,3.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11451160,home,İstanbulspor,Mehmet Yeşil,mehmet-yesil,M. Yeşil,D,188,48,M,840639,EUR,896572800,D,4,4,False,59.0,48.0,11.0,5.0,42.0,47.0,12.0,4.0,6.0,6.0,1.0,,,,,,90.0,76.0,7.1,15.0,0.0,0.0,0.00334592,0,,,,21,6.0,,,1.0,3.0,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,
11451160,home,İstanbulspor,Racine Coly,racine-coly,R. Coly,D,185,81,M,553454,EUR,818380800,D,13,13,False,60.0,53.0,7.0,3.0,38.0,40.0,20.0,6.0,5.0,3.0,1.0,,,,,,90.0,73.0,7.1,9.0,0.0159,0.0369,0.010775,1,,,,,15.0,,,,1.0,,,2.0,2.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
11451160,home,İstanbulspor,Vefa Temel,temel-vefa,V. Temel,M,176,41,M,1067329,EUR,1036281600,D,8,8,False,44.0,37.0,3.0,,20.0,22.0,22.0,2.0,1.0,8.0,2.0,,,,,,90.0,55.0,6.6,9.0,0.0,0.0,0.100884,0,,,,8,17.0,,,1.0,4.0,1.0,,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,
11451160,home,İstanbulspor,Alassane Ndao,ndao-alassane,A. Ndao,M,176,335,M,1016033,EUR,851040000,M,18,18,False,35.0,31.0,3.0,1.0,9.0,11.0,29.0,1.0,1.0,4.0,1.0,,,,,,84.0,47.0,6.7,12.0,0.0,0.0,0.090489,0,,,,,22.0,5.0,,,1.0,1.0,,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,
11451160,home,İstanbulspor,Eduart Rroca,eduart-rroca,E. Rroca,M,182,79,M,938181,EUR,743817600,M,10,10,False,47.0,43.0,4.0,3.0,23.0,23.0,24.0,3.0,,4.0,,,,,,,83.0,61.0,6.8,11.0,0.0678,0.0,0.100835,1,,,,8,20.0,,,2.0,10.0,4.0,1.0,,5.0,2.0,1.0,,,3.0,,,3.0,,2.0,True,1.0,,,,,,,
11451160,home,İstanbulspor,Florian Loshaj,florian-loshaj,F. Loshaj,M,174,152,M,831407,EUR,839894400,M,34,34,False,44.0,37.0,3.0,1.0,28.0,31.0,15.0,7.0,1.0,4.0,,,,,,,90.0,61.0,7.1,10.0,0.0,0.0,0.021111,0,,,,10,10.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,,,2.0,1.0,,6.0,,,5.0,,,,,,,,,,,
11451160,home,İstanbulspor,Valon Ethemi,valon-ethemi,V. Ethemi,M,179,121,M,904945,EUR,875836800,M,27,27,False,22.0,17.0,1.0,,5.0,6.0,20.0,,,6.0,,,,,,,90.0,38.0,7.1,13.0,0.1327,0.0,0.363169,2,,,,27,14.0,4.0,2.0,,1.0,1.0,,,6.0,,,,,,,,,,3.0,,,1.0,2.0,2.0,,,,
11451160,home,İstanbulspor,İbrahim Yilmaz,ibrahim-yilmaz,İ. Yilmaz,F,184,30,M,135689,EUR,760492800,F,9,9,False,23.0,17.0,1.0,1.0,4.0,7.0,16.0,3.0,2.0,5.0,3.0,,,,,,90.0,36.0,7.6,8.0,0.1658,0.1889,0.125628,1,,,,,13.0,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,,,,,,1.0,,,
