match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_clearanceOffLine,stat_aerialLost,stat_bigChanceCreated,stat_errorLeadToAShot,stat_keyPass,stat_accurateCross,captain,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_hitWoodwork,stat_goodHighClaim,stat_lastManTackle,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_totalOffside
14025275,home,Burnley,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3081,M,42209,EUR,600825600,G,1,1,False,35.0,20.0,25.0,10.0,0.0,13.0,16.0,7.0,19.0,2.0,2.0,1.0,6.0,1.0,3.0,5.0,1.0,90.0,45.0,7.8,15.0,0.00210478,0.766,0,0.5808,0.04,0.0,-0.23,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025275,home,Burnley,Kyle Walker,,,kyle-walker,K. Walker,D,2,183,26779,M,44614,EUR,643852800,D,2,2,False,32.0,24.0,5.0,3.0,0.0,11.0,11.0,13.0,21.0,,6.0,,6.0,2.0,,,,90.0,63.0,6.4,22.0,0.00772177,,0,,0.08,0.03,-0.36,,KyleWalker2,2.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
14025275,home,Burnley,Josh Laurent,,,josh-laurent,J. Laurent,M,29,188,191,M,552036,EUR,799718400,D,29,29,False,36.0,30.0,2.0,,0.0,19.0,20.0,11.0,16.0,1.0,1.0,3.0,,,,,,76.0,45.0,6.1,8.0,0.00501036,,0,,-0.15,0.01,-0.14,,,1.0,3.0,,,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
14025275,home,Burnley,Axel Tuanzebe,,,axel-tuanzebe,A. Tuanzebe,D,6,185,6307,M,817979,EUR,879465600,D,6,6,False,53.0,44.0,11.0,4.0,0.0,30.0,33.0,14.0,20.0,5.0,6.0,17.0,2.0,1.0,,,,90.0,73.0,7.7,9.0,0.0137944,,0,,0.12,0.04,0.27,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14025275,home,Burnley,Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,5,5,False,47.0,43.0,2.0,,0.0,25.0,26.0,18.0,21.0,,2.0,3.0,6.0,2.0,,,,90.0,54.0,6.9,4.0,0.291993,,0,,0.68,0.05,-0.41,,,,2.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14025275,home,Burnley,Quilindschy Hartman,,,quilindschy-hartman,Q. Hartman,D,3,183,1269,M,1392044,EUR,1005696000,D,3,3,False,38.0,31.0,2.0,2.0,0.0,14.0,19.0,17.0,19.0,,2.0,1.0,1.0,,,,,90.0,58.0,6.3,12.0,0.0189002,,0,,0.21,0.02,-0.37,,,3.0,1.0,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
14025275,home,Burnley,Lesley Ugochukwu,,,lesley-ugochukwu,L. Ugochukwu,M,8,188,5004,M,1048916,EUR,1080259200,M,8,8,False,15.0,15.0,,,0.0,5.0,5.0,10.0,10.0,,2.0,,2.0,1.0,,,,62.0,21.0,6.2,4.0,0.00835349,,0,,0.05,0.17,-0.16,,l.ugochukwu8,,6.0,1.0,,1.0,,1.0,,3.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,
14025275,home,Burnley,Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,875,M,792122,EUR,828835200,M,24,24,False,36.0,33.0,1.0,1.0,0.0,18.0,18.0,15.0,18.0,2.0,5.0,,1.0,,,,,82.0,43.0,6.7,5.0,0.0194784,,0,,0.1,0.01,-0.13,,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,True,1.0,,,,,,,,,,,,
14025275,home,Burnley,Florentino Luís,,,florentino-luis,F. Luís,M,16,184,3615,M,855845,EUR,935020800,M,16,16,False,46.0,43.0,4.0,4.0,0.0,28.0,29.0,15.0,17.0,1.0,5.0,3.0,2.0,,,,,90.0,62.0,6.5,6.0,0.0133274,,1,,-0.05,0.07,-0.07,,,1.0,5.0,1.0,,2.0,,3.0,2.0,1.0,1.0,,,2.0,,,,,,1.0,1.0,1.0,0.3448,-0.61,,,,,,,,
14025275,home,Burnley,Jaidon Anthony,,,jaidon-anthony,J. Anthony,M,11,177,1095,M,1020680,EUR,944006400,M,11,11,False,21.0,20.0,1.0,1.0,0.0,16.0,16.0,4.0,5.0,1.0,1.0,,2.0,1.0,,,,62.0,29.0,6.2,6.0,0.00169819,,0,,-0.11,0.13,-0.09,,,,4.0,,1.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
