match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalOffside,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_hitWoodwork
13472764,home,Botafogo,Léo Linck,leo-linck,L. Linck,G,24,194.0,1042,M,1119887,EUR,983577600,G,24,24,False,21.0,14.0,10.0,3.0,0.0,14.0,16.0,5.0,1.0,4.0,1.0,1.0,90.0,25.0,6.3,7.0,3.314e-05,0,-0.8629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472764,home,Botafogo,Vitinho,vitinho,Vitinho,D,2,175.0,3615,M,914477,EUR,932688000,D,2,2,False,29.0,26.0,2.0,1.0,1.0,10.0,11.0,18.0,1.0,1.0,,,75.0,45.0,6.9,10.0,0.110398,1,,16.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,0.2036,1.0,,,,,,,,,,,,,,,,,,,,,,,
13472764,home,Botafogo,Kaio Pantaleão,kaio,K. Pantaleão,D,31,186.0,788,M,990193,EUR,810518400,D,31,31,False,45.0,42.0,4.0,1.0,0.0,20.0,20.0,25.0,2.0,10.0,,,80.0,52.0,6.5,5.0,0.0176571,0,,22.0,,,5.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13472764,home,Botafogo,Alexander Barboza,alexander-barboza,A. Barboza,D,20,193.0,2577,M,801044,EUR,795312000,D,20,20,False,51.0,46.0,7.0,4.0,0.0,27.0,28.0,23.0,3.0,5.0,,,90.0,66.0,7.4,6.0,0.0182461,0,,19.0,,,3.0,5.0,1.0,,1.0,2.0,,1.0,,2.0,,,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,,
13472764,home,Botafogo,Cuiabano,cuiabano,Cuiabano,D,6,179.0,2699,M,1160554,EUR,1045353600,D,6,6,False,26.0,22.0,4.0,2.0,1.0,9.0,10.0,16.0,1.0,4.0,,,64.0,44.0,7.1,10.0,0.0513221,2,,13.0,3.0,1.0,4.0,,1.0,1.0,,,0.2049,1.0,1.0,,2.0,,,,,2.0,,,Cuiabano,,1.0,1.0,2.0,0.1362,,,,,,,
13472764,home,Botafogo,Marlon Freitas,marlon-freitas,M. Freitas,M,17,185.0,3107,M,840202,EUR,796262400,M,17,17,False,67.0,59.0,7.0,5.0,0.0,17.0,17.0,50.0,1.0,5.0,,,90.0,75.0,7.7,8.0,0.464054,0,,42.0,,,1.0,3.0,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,2.0,2.0,,,,,,,True,,,,,,
13472764,home,Botafogo,Newton,newton,Newton,M,28,188.0,888,M,1463909,EUR,952819200,M,28,28,False,51.0,48.0,4.0,3.0,0.0,24.0,25.0,26.0,2.0,7.0,,,80.0,62.0,7.2,4.0,0.0248047,2,,24.0,,,4.0,4.0,,1.0,,2.0,0.0413,,1.0,2.0,,1.0,,,,2.0,2.0,1.0,Newton,,,1.0,,0.1518,,,,,,,
13472764,home,Botafogo,Santiago Rodríguez,santiago-rodriguez,S. Rodríguez,M,23,172.0,1846,M,975216,EUR,947289600,M,23,23,False,34.0,26.0,2.0,2.0,0.0,3.0,4.0,30.0,,2.0,,,90.0,58.0,8.1,14.0,0.259068,3,,23.0,6.0,2.0,5.0,9.0,,1.0,3.0,1.0,0.3088,2.0,1.0,1.0,3.0,3.0,3.0,,,2.0,2.0,1.0,,,,1.0,2.0,0.8404,,1.0,1.0,,,,
13472764,home,Botafogo,Jefferson Savarino,jefferson-savarino,J. Savarino,M,10,169.0,6802,M,874739,EUR,847670400,M,10,10,False,26.0,19.0,3.0,1.0,0.0,3.0,3.0,23.0,1.0,2.0,,,90.0,35.0,7.0,11.0,0.0545273,2,,16.0,3.0,2.0,1.0,,1.0,,,,0.1428,2.0,,,,,,,,,,,,,,1.0,1.0,0.6385,,1.0,,savarino10,,,
13472764,home,Botafogo,Jeffinho,jeffinho,Jeffinho,M,47,177.0,1438,M,1016948,EUR,946512000,M,47,47,False,20.0,13.0,1.0,1.0,0.0,3.0,5.0,15.0,,6.0,,,75.0,39.0,7.7,14.0,0.0151829,2,,10.0,,,2.0,4.0,,,,1.0,0.2702,,1.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,,2.0,6.0,0.2029,,,1.0,,,,
