match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_aerialWon,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_challengeLost,stat_hitWoodwork,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_goals,stat_penaltyMiss,stat_penaltyWon
14572821,home,KRC Genk,Hendrik Van Crombrugge,,,hendrik-van-crombrugge,H. V. Crombrugge,G,1,188.0,194,M,110777,EUR,736128000,G,1,1,False,35.0,27.0,16.0,8.0,0.0,23.0,23.0,4.0,12.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,90.0,44.0,8.1,8.0,0.00214325,1.1763,0,1.0274,0.12,0.03,-0.29,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572821,home,KRC Genk,Zakaria El Ouahdi,,,zakaria-el-ouahdi,Z. E. Ouahdi,D,77,172.0,3927,M,1134470,EUR,1009756800,D,77,77,False,40.0,38.0,5.0,4.0,0.0,12.0,12.0,26.0,28.0,2.0,5.0,2.0,3.0,1.0,1.0,,,,,,,,78.0,60.0,6.9,6.0,0.0131685,,3,,-0.03,0.11,-0.06,,z.elouahdi,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.2008,0.0977,-0.26,,,,,,,,,,,,,,,,,,,,
14572821,home,KRC Genk,Mujaid Sadick,,,mujaid-sadick,M. Sadick,D,3,185.0,236,M,935309,EUR,952992000,D,3,3,False,41.0,38.0,2.0,1.0,0.0,26.0,27.0,12.0,14.0,6.0,5.0,5.0,9.0,4.0,3.0,,1.0,,,,,,90.0,58.0,6.6,5.0,0.00456605,,2,,0.13,0.07,-0.04,,,,4.0,,,,2.0,,0.0525,,-0.14,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
14572821,home,KRC Genk,Matte Smets,,,smets-matte,M. Smets,D,6,184.0,967,M,1392905,EUR,1073174400,D,6,6,False,76.0,68.0,9.0,5.0,0.0,40.0,42.0,28.0,34.0,4.0,6.0,4.0,6.0,,,,1.0,,,,,,90.0,84.0,7.0,8.0,0.0173461,,0,,0.25,0.22,-0.11,,,,4.0,,,,,1.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,,
14572821,home,KRC Genk,Joris Kayembe,,,joris-kayembe-ditu,J. Kayembe,D,18,180.0,4977,M,354046,EUR,776304000,D,18,18,False,52.0,46.0,4.0,2.0,0.0,15.0,16.0,31.0,36.0,3.0,,1.0,7.0,,,,,,,,,,86.0,69.0,6.2,12.0,0.0654575,,0,,0.03,0.07,-0.21,,joriskayembe23,3.0,2.0,,,,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
14572821,home,KRC Genk,Ibrahima Sory Bangoura,,,ibrahima-sory-bangoura,I. S. Bangoura,M,21,190.0,620,M,1396027,EUR,1073260800,M,21,21,False,58.0,51.0,5.0,3.0,0.0,24.0,29.0,27.0,29.0,5.0,4.0,1.0,5.0,1.0,1.0,,1.0,,,,,,90.0,69.0,6.7,12.0,0.0342503,,1,,0.18,0.22,-0.03,,,,2.0,1.0,,,,1.0,0.124,,-0.34,2.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
14572821,home,KRC Genk,Bryan Heynen,,,heynen-bryan,B. Heynen,M,8,181.0,435,M,801025,EUR,855187200,M,8,8,False,88.0,71.0,14.0,9.0,0.0,20.0,21.0,51.0,67.0,7.0,7.0,2.0,4.0,2.0,1.0,,1.0,,,,,,90.0,103.0,7.9,21.0,0.322381,,0,,0.76,0.05,-0.06,,,1.0,3.0,,,,,3.0,,,,3.0,2.0,,1.0,,,,True,1.0,,,,,,,,,,,
14572821,home,KRC Genk,Jarne Steuckers,,,steuckers-jarne,J. Steuckers,M,7,179.0,986,M,1099462,EUR,1012780800,M,7,7,False,54.0,46.0,8.0,6.0,0.0,15.0,16.0,31.0,38.0,,2.0,2.0,3.0,1.0,,,,,,,,,79.0,71.0,7.4,17.0,0.144726,,1,,0.39,0.24,0.16,,,8.0,,1.0,1.0,,,,0.0364,,-0.1,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
14572821,home,KRC Genk,Patrik Hrošovský,,,patrik-hrosovsky,P. Hrošovský,M,17,172.0,364,M,198282,EUR,703900800,M,17,17,False,31.0,24.0,1.0,1.0,0.0,10.0,12.0,14.0,19.0,6.0,5.0,1.0,3.0,2.0,1.0,,1.0,,,,,,65.0,47.0,6.6,14.0,0.153398,,2,,0.25,0.03,-0.1,,,1.0,,1.0,,,,2.0,0.0734,,-0.34,1.0,3.0,,1.0,2.0,,2.0,,1.0,,1.0,1.0,,,,,,,,
14572821,home,KRC Genk,Junya Ito,,,junya-ito,J. Ito,M,10,176.0,4879,M,783278,EUR,731635200,M,10,10,False,34.0,31.0,1.0,1.0,0.0,10.0,11.0,21.0,23.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,65.0,48.0,6.5,10.0,0.143279,,1,,-0.08,0.3,-0.06,,ItouJky,6.0,1.0,1.0,,1.0,,,0.058,0.2451,-0.24,,1.0,,,3.0,,,,,,2.0,1.0,2.0,,,,,,,
