match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_unsuccessfulTouch,stat_fouls,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_challengeLost,stat_wasFouled,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_punches
11409118,home,Benfica,Anatoliy Trubin,anatoliy-trubin,A. Trubin,G,1,200,9533,M,anatoliytrubin81,966616,EUR,996624000,G,1,1,False,18.0,13.0,6.0,1.0,12.0,12.0,1.0,6.0,7.0,2.0,4.0,90.0,27.0,6.9,5.0,0.00017285,0,-0.0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409118,home,Benfica,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,,228364,EUR,818553600,D,8,8,False,67.0,58.0,6.0,3.0,18.0,19.0,43.0,51.0,9.0,,,90.0,83.0,8.6,9.0,0.695106,1,,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.1191,5.0,,,,,,,,,,,,,,,,,,,,
11409118,home,Benfica,António Silva,antonio-silva,A. Silva,D,4,187,8155,M,antoniosilva.66,1006069,EUR,1067472000,D,4,4,False,43.0,38.0,4.0,2.0,17.0,18.0,21.0,25.0,8.0,,,90.0,49.0,6.7,7.0,0.00869324,1,,,,,5.0,6.0,1.0,1.0,,1.0,1.0,,,,0.089,,,,3.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,
11409118,home,Benfica,Nicolás Otamendi,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,Notamendi30,74915,EUR,571622400,D,30,30,False,62.0,53.0,6.0,5.0,28.0,33.0,25.0,29.0,11.0,,,90.0,88.0,8.5,11.0,0.231594,2,,,,,8.0,10.0,1.0,,,1.0,7.0,5.0,2.0,2.0,0.6366,4.0,,,8.0,10.0,,1.0,1.0,True,1.0,1.0,1.0,1.0,0.5121,,,,,,,
11409118,home,Benfica,Morato,morato,F. Morato,D,4,190,2248,M,,985086,EUR,993859200,D,5,5,False,43.0,33.0,6.0,3.0,16.0,19.0,20.0,29.0,8.0,,,90.0,72.0,7.6,13.0,0.0862221,2,,,5.0,3.0,6.0,9.0,,,,1.0,3.0,3.0,2.0,2.0,0.1868,1.0,,,3.0,5.0,1.0,,,,,1.0,,,0.048,1.0,1.0,,,,,
11409118,home,Benfica,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,53.0,44.0,3.0,1.0,19.0,24.0,26.0,31.0,7.0,,,64.0,68.0,7.2,11.0,0.0518811,1,,,2.0,1.0,3.0,5.0,,,,1.0,,2.0,1.0,1.0,0.0518,1.0,,,3.0,6.0,1.0,,2.0,,,,,1.0,,,1.0,,,,,
11409118,home,Benfica,Orkun Kökçü,orkun-kokcu,O. Kökçü,M,10,175,12817,M,orkunkokcu,907461,EUR,978048000,M,10,10,False,67.0,55.0,4.0,3.0,20.0,23.0,37.0,50.0,7.0,,,89.0,81.0,7.3,16.0,0.138711,1,,,6.0,2.0,,4.0,,,,1.0,,,2.0,1.0,0.0191,2.0,,,1.0,2.0,,,1.0,,,,,,,,2.0,,,,,
11409118,home,Benfica,Ángel Di María,angel-di-maria,Á. Di María,F,11,180,84815,M,ÁDiMaría,30027,EUR,571795200,M,11,11,False,58.0,41.0,5.0,3.0,2.0,2.0,45.0,84.0,6.0,,,90.0,109.0,8.8,47.0,1.95675,6,,,28.0,6.0,,5.0,9.0,4.0,2.0,1.0,,,,,0.2961,9.0,,,,5.0,,2.0,,,,2.0,,,0.5765,,1.0,3.0,,,,
11409118,home,Benfica,Rafa Silva,rafa-silva,R. Silva,M,27,170,16782,M,Rafa_Silva,252577,EUR,737596800,M,27,27,False,29.0,21.0,,,6.0,7.0,15.0,25.0,3.0,,,90.0,60.0,7.5,20.0,0.108312,12,,,3.0,,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,,,3.0585,3.0,,,3.0,7.0,2.0,5.0,,,5.0,7.0,,,3.508,1.0,,2.0,1.0,,,
11409118,home,Benfica,João Mário,joao-mario,J. Mário,M,10,179,3804,M,JoaoMario,97001,EUR,727401600,M,20,20,False,65.0,54.0,3.0,1.0,12.0,14.0,43.0,53.0,5.0,,,90.0,87.0,7.6,13.0,0.149004,2,,,2.0,1.0,2.0,6.0,1.0,1.0,,,1.0,3.0,,,0.2559,3.0,,,1.0,5.0,,1.0,3.0,,,2.0,,,0.3133,1.0,3.0,,,,,
