match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalOffside,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_crossNotClaimed,stat_ownGoals
12436947,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,44.0,27.0,26.0,10.0,0.0,19.0,21.0,8.0,23.0,2.0,10.0,1.0,2.0,3.0,3.0,90.0,54.0,7.4,17.0,0.00909867,1.0,0,0.3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436947,home,Everton,Ashley Young,ashley-young,A. Young,D,15,180,1712,M,,10589,EUR,489715200,D,18,18,False,39.0,29.0,11.0,7.0,0.0,15.0,16.0,14.0,26.0,6.0,2.0,,,,,90.0,74.0,8.5,17.0,0.0232014,,1,,3.0,5.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,4.0,2.0,0.0519,0.2766,,,,,,,,,,,,,,,
12436947,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,30.0,26.0,7.0,5.0,0.0,23.0,24.0,3.0,6.0,8.0,4.0,,,,,90.0,49.0,7.8,5.0,0.00188547,,1,,,1.0,6.0,,,,,1.0,,,1.0,2.0,1.0,,0.0333,0.0252,True,1.0,2.0,2.0,,,,,,,,,,,
12436947,home,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2591,M,,979563,EUR,1025136000,D,32,32,False,40.0,36.0,6.0,4.0,0.0,25.0,26.0,11.0,14.0,4.0,8.0,,,,,90.0,52.0,7.4,5.0,0.00273208,,0,,,2.0,2.0,,1.0,,,,,,4.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,
12436947,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,mikola_16,876643,EUR,927936000,D,19,19,False,30.0,21.0,4.0,2.0,0.0,12.0,15.0,9.0,15.0,5.0,3.0,,,,,90.0,54.0,7.2,11.0,0.0214618,1.0,1,,,,3.0,,,,,,,,1.0,1.0,,,0.0311,,,,2.0,1.0,1.0,1.0,,,,,,,,,
12436947,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,45.0,43.0,2.0,2.0,0.0,18.0,18.0,25.0,27.0,,4.0,,,,,90.0,56.0,6.8,5.0,0.0143166,,0,,,7.0,4.0,1.0,1.0,3.0,1.0,,,,1.0,3.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,
12436947,home,Everton,Orel Mangala,orel-mangala,O. Mangala,M,5,178,1576,M,,793988,EUR,890179200,M,8,8,False,29.0,28.0,2.0,2.0,0.0,9.0,9.0,19.0,20.0,2.0,4.0,,,,,89.0,46.0,7.6,5.0,0.0225916,1.0,1,,,4.0,3.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,0.0809,0.2938,,,1.0,1.0,,2.0,1.0,,,,,,,,
12436947,home,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,ilimanndiaye10,914309,EUR,952300800,M,10,10,False,16.0,16.0,1.0,1.0,0.0,6.0,6.0,10.0,10.0,,7.0,,,,,90.0,39.0,6.3,10.0,0.00446031,,1,,,12.0,8.0,3.0,2.0,8.0,3.0,,,,1.0,3.0,1.0,1.0,0.0382,,,1.0,,2.0,,3.0,,1.0,,,,,,,
12436947,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,M,16,16,False,32.0,24.0,2.0,,0.0,5.0,6.0,19.0,26.0,,7.0,,,,,83.0,41.0,6.7,12.0,0.0242288,1.0,1,,,8.0,4.0,2.0,2.0,3.0,2.0,,,,,1.0,,1.0,0.0242,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,
12436947,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,1973,M,,935543,EUR,943228800,M,7,7,False,30.0,18.0,2.0,1.0,0.0,4.0,8.0,15.0,27.0,,3.0,,,,,74.0,44.0,7.3,21.0,0.057649,2.0,2,,5.0,4.0,1.0,,3.0,2.0,1.0,,,,,,,,0.0656,,,,,,,,,2.0,Dwight,McNeil,1.0,1.0,,,
12436947,home,Everton,Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187,5857,M,CalvertLewin14,372344,EUR,858470400,F,9,9,False,17.0,13.0,,,0.0,1.0,1.0,12.0,17.0,2.0,,,,,,83.0,30.0,6.6,8.0,0.0100453,,2,,1.0,8.0,5.0,1.0,2.0,,,1.0,,,,,,1.0,0.3067,0.2297,,5.0,3.0,2.0,1.0,1.0,1.0,,,,,,1.0,,
12436947,home,Everton,Jack Harrison,jack-harrison,J. Harrison,M,17,175,1145,M,,829570,EUR,848448000,F,11,11,True,2.0,1.0,,,0.0,,,1.0,3.0,,,,,,,16.0,12.0,6.2,6.0,0.00017312,,3,,1.0,3.0,1.0,,2.0,1.0,,,,,,1.0,1.0,,0.3879,,,,,,2.0,,,1.0,,,,,1.0,,
12436947,home,Everton,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2672,M,,947929,EUR,951782400,M,29,29,True,8.0,7.0,,,0.0,2.0,3.0,5.0,5.0,,1.0,,,,,12.0,9.0,6.7,1.0,0.0412448,1.0,0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12436947,home,Everton,Armando Broja,armando-broja,A. Broja,F,27,191,8716,M,armando.broja,996985,EUR,1000080000,F,22,22,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,,,12.0,8.0,6.3,4.0,0.0607257,,0,,,3.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
12436947,home,Everton,Harrison Armstrong,harrison-armstrong,H. Armstrong,M,45,185,581,M,,1627560,EUR,1169164800,M,45,45,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,1.0,2.0,,1.0,4e-06,,0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12436947,home,Everton,João Virgínia,joao-virginia,J. Virgínia,G,12,191,815,M,,930666,EUR,939513600,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,João,Virgínia,,,,,
12436947,home,Everton,Nathan Patterson,patterson-nathan,N. Patterson,D,2,189,661,M,,1020141,EUR,1003190400,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Nathan,Patterson,,,,,
12436947,home,Everton,Jake O'Brien,jake-obrien,J. O'Brien,D,15,197,1429,M,,998253,EUR,989884800,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436947,home,Everton,Séamus Coleman,seamus-coleman,S. Coleman,D,23,177,893,M,,76632,EUR,592531200,D,23,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436947,home,Everton,Beto,beto,Beto,F,9,194,3398,M,,987489,EUR,886204800,F,14,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436947,away,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,,252669,EUR,727228800,G,1,1,False,24.0,12.0,14.0,2.0,0.0,10.0,12.0,2.0,12.0,,6.0,2.0,2.0,,,90.0,34.0,5.4,12.0,0.0004214,,0,-3.1747,,,2.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,
12436947,away,Wolverhampton,Mario Lemina,mario-lemina,M. Lemina,M,99,184,8756,M,,307284,EUR,746841600,D,5,5,False,46.0,36.0,10.0,5.0,0.0,24.0,29.0,12.0,18.0,3.0,2.0,,,,,90.0,63.0,6.6,14.0,0.0145259,,0,,1.0,3.0,4.0,1.0,1.0,1.0,,,,2.0,1.0,2.0,2.0,,,,True,,1.0,1.0,,1.0,,,,,,,,,
