match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_dispossessed,stat_clearanceOffLine,stat_outfielderBlock,stat_lastManTackle,stat_fouls,player_sofascoreId,stat_aerialLost,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,captain,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed
12450236,away,Paris Saint-Germain,Marquinhos,,,marquinhos,Marquinhos,D,5,183,36538,M,155995,EUR,768873600,D,5,5,False,90.0,88.0,8.0,7.0,0.0,68.0,69.0,20.0,21.0,1.0,1.0,8.0,5.0,,,,,90.0,104.0,7.6,3.0,0.0695767,0,,5.0,,,,1.0,2.0,2.0,,,,3.0,,,1.0,,,marquinhosm5,,,1.0,2.0,True,,,,,,,
12450236,away,Paris Saint-Germain,Lucas Beraldo,Lucas Beraldo,,lucas-beraldo,L. Beraldo,D,4,182,17502,M,1108441,EUR,1069632000,D,35,35,False,90.0,89.0,4.0,4.0,0.0,69.0,69.0,20.0,21.0,1.0,1.0,3.0,7.0,,,,,90.0,99.0,7.0,1.0,0.0146401,0,,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,lberaldo,,,,1.0,,,,,,,,
12450236,away,Paris Saint-Germain,Nuno Mendes,,,nuno-mendes,N. Mendes,D,25,180,37370,M,989768,EUR,1024444800,D,25,25,False,72.0,65.0,5.0,2.0,0.0,42.0,43.0,23.0,31.0,2.0,,1.0,8.0,,,,,90.0,93.0,7.0,12.0,0.0487732,0,,6.0,4.0,4.0,,2.0,1.0,1.0,1.0,,,,2.0,,,,,nunomendes_5,,,1.0,,,2.0,,,,,,
12450236,away,Paris Saint-Germain,Désiré Doué,Désiré Doué,,desire-doue,D. Doué,F,14,181,91970,M,1154605,EUR,1117756800,M,14,14,False,34.0,28.0,3.0,1.0,0.0,12.0,12.0,17.0,24.0,2.0,,,2.0,,,,,61.0,49.0,6.9,11.0,0.141365,2,,5.0,1.0,1.0,,1.0,3.0,1.0,1.0,0.0252,,,,,,,2.0,DD14,,2.0,3.0,1.0,,2.0,1.0,,,,,
12450236,away,Paris Saint-Germain,Vitinha,,,vitinha,Vitinha,M,17,172,50484,M,902029,EUR,950400000,M,17,17,False,92.0,85.0,5.0,4.0,0.0,46.0,48.0,39.0,45.0,5.0,3.0,1.0,8.0,,,,,90.0,106.0,7.4,11.0,0.0368726,1,,4.0,2.0,2.0,1.0,1.0,2.0,1.0,,0.0516,0.3674,,2.0,,1.0,,,vitinha,,,1.0,,,1.0,,,,,,
12450236,away,Paris Saint-Germain,João Neves,,,joao-neves,J. Neves,M,87,174,37142,M,1190933,EUR,1096243200,M,87,87,False,54.0,51.0,2.0,2.0,0.0,32.0,32.0,19.0,22.0,2.0,,2.0,1.0,,,,,90.0,69.0,7.5,5.0,0.0281231,2,,7.0,1.0,1.0,1.0,2.0,3.0,1.0,,0.1318,0.1482,3.0,,,1.0,,2.0,joao_neves,,,2.0,,,,,1.0,,,,
12450236,away,Paris Saint-Germain,Khvicha Kvaratskhelia,,,khvicha-kvaratskhelia,K. Kvaratskhelia,F,7,183,97764,M,889259,EUR,981936000,F,7,7,False,39.0,36.0,1.0,1.0,1.0,6.0,8.0,31.0,34.0,3.0,,,5.0,,,,,68.0,61.0,8.6,8.0,0.293428,2,,13.0,9.0,7.0,1.0,,1.0,1.0,5.0,0.2072,0.1949,,1.0,,,,,Kvaradona,,,,4.0,,3.0,1.0,1.0,,,2.0,1.0
12450236,away,Paris Saint-Germain,Ousmane Dembélé,,,ousmane-dembele,O. Dembélé,F,10,178,239383,M,818244,EUR,863654400,F,10,10,False,16.0,14.0,2.0,1.0,0.0,2.0,2.0,12.0,14.0,3.0,,,1.0,,,,,74.0,28.0,6.9,5.0,0.0226912,5,,2.0,1.0,1.0,3.0,1.0,,,1.0,1.7196,0.7786,,3.0,,,,,ODembélé,,1.0,,,,,,1.0,1.0,,,2.0
12450236,away,Paris Saint-Germain,Bradley Barcola,,,barcola-bradley,B. Barcola,F,29,182,37510,M,996952,EUR,1030924800,F,29,29,False,18.0,14.0,,,1.0,,,15.0,21.0,7.0,2.0,,,,,,,74.0,29.0,7.3,12.0,0.134709,0,,2.0,,,,,,,2.0,,,,4.0,,,,1.0,bradley_b,,,1.0,3.0,,3.0,1.0,,,,2.0,
12450236,away,Paris Saint-Germain,Fabián Ruiz,,,fabian-ruiz,F. Ruiz,M,8,189,21859,M,784655,EUR,828489600,M,8,8,True,20.0,17.0,3.0,1.0,0.0,6.0,7.0,11.0,13.0,,,1.0,1.0,,,,,29.0,23.0,6.5,4.0,0.0394866,0,,,,,,,,,,,,,,,,,,fabianruiz52,,,1.0,,,,,,,,,
12450236,away,Paris Saint-Germain,Lucas Hernández,,,lucas-hernandez,L. Hernández,D,21,183,10246,M,352370,EUR,824256000,D,21,21,True,10.0,7.0,3.0,,0.0,5.0,5.0,2.0,5.0,,,2.0,1.0,,,,,22.0,18.0,6.3,4.0,0.00138836,0,,1.0,,,,,,,1.0,,,,,,1.0,,,lucashernandez21,,,1.0,,,,,,,,,
12450236,away,Paris Saint-Germain,Kang-in Lee,,,kang-in-lee,K. Lee,M,19,173,19307,M,917087,EUR,982540800,M,19,19,True,11.0,11.0,,,1.0,3.0,3.0,8.0,8.0,,,,,,,,,16.0,14.0,7.1,1.0,0.101481,1,,1.0,1.0,1.0,,,,,,0.0318,,,,,,,,kanginlee,,1.0,,1.0,,,,,,,1.0,
12450236,away,Paris Saint-Germain,Gonçalo Ramos,,,goncalo-ramos,G. Ramos,F,9,185,23725,M,934510,EUR,992995200,F,9,9,True,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,,,,,16.0,7.0,6.4,1.0,0.0577455,0,,,,,,,,,,,,,1.0,,,,,goncaloramos88,1.0,,,,,,,,,1.0,,
12450236,away,Paris Saint-Germain,Matvey Safonov,,,matvey-safonov,M. Safonov,G,39,191,16026,M,800749,EUR,919900800,G,39,39,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,MSafonov,,,,,,,,,,,,
12450236,away,Paris Saint-Germain,Arnau Tenas,,,arnau-tenas,A. Tenas,G,25,185,5097,M,908714,EUR,991180800,G,80,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450236,away,Paris Saint-Germain,Willian Pacho,,,willian-pacho,W. Pacho,D,51,187,25491,M,979480,EUR,1003190400,D,51,51,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,pachowilliam,,,,,,,,,,,,
12450236,away,Paris Saint-Germain,Presnel Kimpembe,,,presnel-kimpembe,P. Kimpembe,D,3,183,7212,M,352916,EUR,808272000,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,kimpembe3,,,,,,,,,,,,
12450236,away,Paris Saint-Germain,Senny Mayulu,,,mayulu-senny,S. Mayulu,M,24,183,21840,M,1473491,EUR,1147824000,M,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
