match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_outfielderBlock,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_fouls,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_goalAssist,stat_goals
10382218,home,FC Emmen,Mickey van der Hart,mickey-van-der-hart,M. v. d. Hart,G,188,97,M,242313,EUR,771465600,G,32,32,False,30.0,25.0,19.0,14.0,21.0,23.0,4.0,7.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,90.0,38.0,7.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382218,home,FC Emmen,Mohamed Bouchouari,mohamed-bouchouari,M. Bouchouari,D,170,778,M,965329,EUR,974246400,D,34,34,False,40.0,28.0,9.0,1.0,19.0,20.0,10.0,24.0,,5.0,1.0,,2.0,8.0,,,,90.0,72.0,6.4,24.0,2,,,34,4.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,
10382218,home,FC Emmen,Mike te Wierik,mike-te-wierik,M. t. Wierik,D,191,47,M,127554,EUR,707961600,D,17,17,False,49.0,42.0,4.0,1.0,25.0,29.0,17.0,20.0,1.0,1.0,,,2.0,6.0,,,,90.0,57.0,6.9,7.0,0,,,23,,,1.0,,,,,4.0,,,,,1.0,1.0,1.0,,,,,,,,,,
10382218,home,FC Emmen,Miguel Araujo,miguel-araujo,M. Araujo,D,178,883,M,370226,EUR,782956800,D,5,5,False,73.0,57.0,13.0,6.0,32.0,37.0,25.0,36.0,4.0,7.0,,,3.0,6.0,,,,90.0,86.0,7.2,16.0,0,,,20,,,1.0,1.0,,,,5.0,3.0,2.0,,,,1.0,,True,,,,,,,,,
10382218,home,FC Emmen,Julius Dirksen,julius-dirksen,J. Dirksen,D,185,74,M,1001943,EUR,1044144000,D,24,24,False,51.0,46.0,3.0,1.0,28.0,32.0,18.0,19.0,1.0,5.0,3.0,2.0,1.0,11.0,,,,70.0,67.0,6.6,8.0,0,,,26,,,6.0,2.0,1.0,,,,1.0,1.0,,1.0,2.0,,2.0,,,,,,,,,,
10382218,home,FC Emmen,Ahmed El Messaoudi,ahmed-el-messaoudi,A. E. Messaoudi,M,182,170,M,369798,EUR,807408000,M,23,23,False,39.0,31.0,,,14.0,16.0,17.0,23.0,2.0,9.0,8.0,6.0,,2.0,,,,90.0,58.0,7.0,14.0,1,,,10,,,9.0,4.0,1.0,,,1.0,1.0,,2.0,,2.0,,2.0,,1.0,,,,,,,,
10382218,home,FC Emmen,Keziah Veendorp,keziah-veendorp,K. Veendorp,D,183,41,M,361778,EUR,856137600,M,2,2,False,42.0,38.0,4.0,2.0,17.0,18.0,21.0,24.0,1.0,1.0,,,3.0,2.0,,,,81.0,46.0,6.6,4.0,0,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,
10382218,home,FC Emmen,Lucas Bernadou,bernadou-lucas,L. Bernadou,M,178,53,M,997187,EUR,969753600,M,8,8,False,44.0,36.0,5.0,4.0,16.0,20.0,21.0,25.0,2.0,7.0,6.0,4.0,,2.0,,,,81.0,60.0,7.0,14.0,0,,,6,1.0,1.0,6.0,2.0,,,,2.0,1.0,1.0,3.0,,1.0,,2.0,,,1.0,,,,,,,
10382218,home,FC Emmen,Mark Diemers,mark-diemers,M. Diemers,M,175,198,M,252123,EUR,750297600,M,10,10,False,48.0,39.0,3.0,2.0,10.0,11.0,31.0,45.0,,7.0,4.0,3.0,,6.0,,,,90.0,73.0,7.3,18.0,3,,,10,8.0,2.0,4.0,2.0,,2.0,1.0,,1.0,,1.0,3.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,
10382218,home,FC Emmen,Jeremy Antonisse,jeremy-antonisse,J. Antonisse,F,177,141,M,1092638,EUR,1017360000,M,57,57,False,26.0,20.0,1.0,,5.0,9.0,15.0,19.0,,4.0,3.0,3.0,1.0,3.0,,,,45.0,39.0,6.3,10.0,2,Jeremy,Antonisse,7,2.0,,4.0,4.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,
10382218,home,FC Emmen,Richairo Živković,richairo-zivkovic,R. Živković,F,186,197,M,295137,EUR,841881600,F,9,9,False,11.0,10.0,,,3.0,3.0,7.0,8.0,,,,,1.0,2.0,,,,70.0,15.0,6.5,3.0,0,,,30,,,2.0,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,
10382218,home,FC Emmen,Ole Romeny,ole-romeny,O. Romeny,F,185,13950,M,921948,EUR,961459200,F,77,77,True,23.0,17.0,,,6.0,6.0,11.0,18.0,,,2.0,,,4.0,,,,45.0,30.0,6.3,10.0,1,,,11,1.0,,5.0,1.0,,1.0,,,,,1.0,,,,,,,2.0,,,,oleromeny,,,
