match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_keyPass,stat_shotOffTarget,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,player_sofascoreId,stat_errorLeadToAShot,stat_bigChanceMissed,stat_totalOffside
10665970,home,Al Raed,Ahmad Al Harbi,ahmad-al-harbi,A. A. Harbi,G,22,183.0,197,M,828527,EUR,781401600,G,23,23,False,27.0,11.0,22.0,7.0,4.0,6.0,7.0,21.0,1.0,1.0,3.0,7.0,2.0,3.0,3.0,1.0,90.0,39.0,7.2,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Mohammed Al-Dosari,mohammed-al-dosari,M. Al-Dosari,D,32,,12,M,970908,EUR,931651200,D,32,32,False,27.0,17.0,7.0,,9.0,14.0,8.0,13.0,,5.0,1.0,12.0,,,,,90.0,58.0,5.9,17.0,0,1.0,8.0,3.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Mubarak Al-Rajeh,mubarak-al-rajeh,M. Al-Rajeh,D,94,,39,M,1429814,EUR,1059696000,D,94,94,False,19.0,13.0,7.0,5.0,7.0,7.0,6.0,12.0,1.0,2.0,3.0,2.0,,,,,90.0,26.0,6.6,6.0,0,1.0,2.0,,,,,,,1.0,,,,1.0,Mubarak Abdul Rahman Al Rajeh,,1.0,,,,,,,,,,,,,,,
10665970,home,Al Raed,Mohammed Salem,mohammed-salem,M. Salem,D,,175.0,5,M,818554,EUR,492134400,D,12,12,False,21.0,14.0,8.0,3.0,8.0,9.0,6.0,12.0,,3.0,12.0,4.0,,,,,90.0,41.0,7.5,7.0,0,,1.0,1.0,,,,1.0,2.0,2.0,1.0,,,2.0,Mohammed,Salem,,True,,,,,,,,,,,,,,
10665970,home,Al Raed,Awdh Faraj,awdh-faraj,A. Faraj,D,,172.0,16,M,791404,EUR,584928000,D,27,27,False,22.0,15.0,2.0,,10.0,15.0,5.0,7.0,1.0,6.0,7.0,9.0,,,,,90.0,46.0,7.2,9.0,0,,,,,,,,1.0,,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Alexandru Mitriță,alexandru-mitrita,A. Mitriță,F,20,167.0,1639,M,179639,EUR,792201600,M,82,82,False,16.0,12.0,,,3.0,3.0,10.0,17.0,,1.0,,3.0,,,,,89.0,38.0,6.6,16.0,3,1.0,6.0,1.0,3.0,1.0,,,,2.0,1.0,1.0,5.0,,,,,,4.0,1.0,2.0,1.0,1.0,,,,,,,,,
10665970,home,Al Raed,Mansour Al Bishi,mansour-al-bishi,M. A. Bishi,M,14,168.0,20,M,982351,EUR,956534400,M,14,14,False,21.0,18.0,,,11.0,11.0,7.0,10.0,,2.0,1.0,2.0,,,,,90.0,33.0,6.5,8.0,0,,3.0,1.0,,1.0,,,,2.0,1.0,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,
10665970,home,Al Raed,Abdulaziz Al Jebreen,abdulaziz-al-jebreen,A. A. Jebreen,M,,178.0,12,M,791406,EUR,640483200,M,16,16,False,30.0,24.0,3.0,,14.0,15.0,10.0,15.0,,1.0,3.0,5.0,,,,,72.0,39.0,6.2,8.0,0,,4.0,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
10665970,home,Al Raed,Damjan Đoković,damjan-dokovic,D. Djoković,M,88,188.0,128,M,108740,EUR,640396800,M,88,88,False,20.0,16.0,,,4.0,5.0,12.0,16.0,1.0,2.0,1.0,6.0,,,,,90.0,33.0,6.6,8.0,3,,4.0,,,2.0,,,,1.0,1.0,,1.0,,,,2.0,,1.0,,,,,3.0,,,,,,,,
10665970,home,Al Raed,Mohamed Fouzair,mohamed-fouzair,M. Fouzair,M,,168.0,271,M,893191,EUR,693532800,M,10,10,False,15.0,10.0,3.0,2.0,2.0,4.0,10.0,16.0,1.0,8.0,2.0,9.0,,,,,90.0,49.0,7.2,21.0,1,,6.0,,2.0,5.0,1.0,,,1.0,2.0,,7.0,4.0,,,,,5.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,
10665970,home,Al Raed,Júlio Tavares,julio-tavares,J. Tavares,F,11,187.0,109,M,218652,EUR,595900800,F,17,17,False,20.0,12.0,1.0,1.0,6.0,8.0,6.0,12.0,7.0,8.0,3.0,3.0,,,,,90.0,32.0,6.7,13.0,0,4.0,9.0,,4.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
10665970,home,Al Raed,Yahya Sunbul,sunbul-yahya,Y. Sunbul,M,45,166.0,9,M,958020,EUR,884131200,M,45,45,True,5.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,,,3.0,1.0,,,,,18.0,10.0,7.2,2.0,1,2.0,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
10665970,home,Al Raed,Yahia Al-Shehri,yahia-al-shehri,Y. A. Shehri,M,88,164.0,76,M,196396,EUR,646358400,M,8,8,True,1.0,,,,,,,1.0,,,,,,,,,1.0,2.0,,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Silviu Lung Jr.,silviu-lung-jr,S. Lung Jr.,G,1,189.0,122,M,44556,EUR,612921600,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Abdullah Al-Shaflut,abdullah-saad-al-shaflut,A. S. A. Shaflut,D,66,170.0,2,M,1429813,EUR,1020038400,D,66,66,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,Abdullah,Al-Shaflut,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Khalid Al-Khathlan,khalid-al-khathlan,K. Al-Khathlan,D,4,178.0,2,M,974145,EUR,805939200,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Abdulmalek Al-Shammari,abdulmalek-al-shammary,A. Al-Shammari,D,17,177.0,13,M,846889,EUR,808531200,M,7,7,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Anas Al Zahrani,anas-al-zahrani,A. A. Zahrani,M,42,183.0,5,M,1462375,EUR,1058313600,M,42,42,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,Anas Al Zahrani,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Omar Fahad Al Kreidi,omar-fahad-al-kreidi,O. F. A. Kreidi,M,15,,1,M,1399132,EUR,1019952000,M,15,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,Omar Fahad Al Kreidi,,,,,,,,,,,,,,,,,
10665970,home,Al Raed,Rakan Al-Dosari,rakan-al-dosari,R. Aldosari,F,99,172.0,8,M,1194407,EUR,1012089600,F,20,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,Rakan Aldosari,,,,,,,,,,,,,,,,,
10665970,away,Al-Hilal,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,,187.0,197,M,118159,EUR,538358400,G,1,1,False,23.0,21.0,4.0,3.0,21.0,23.0,,,,,,5.0,,,2.0,,90.0,27.0,6.6,2.0,0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
10665970,away,Al-Hilal,Saud Abdulhamid,abdulhamid-saud,S. Abdulhamid,D,23,178.0,8457,M,966849,EUR,932256000,D,66,66,False,55.0,49.0,1.0,,21.0,24.0,30.0,40.0,1.0,4.0,1.0,4.0,,,,,90.0,87.0,6.9,17.0,1,3.0,7.0,,,1.0,,,,,3.0,3.0,3.0,,,,3.0,,9.0,2.0,,,,1.0,,,,,s.abdulhamed66,,,
10665970,away,Al-Hilal,Hyun Soo Jang,hyun-soo-jang,H. S. Jang,D,20,187.0,185,M,160875,EUR,686016000,D,20,20,False,85.0,82.0,,,43.0,45.0,39.0,40.0,2.0,2.0,2.0,5.0,,,,,90.0,93.0,6.7,4.0,1,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
10665970,away,Al-Hilal,Ali Albulayhi,ali-albulayhi,A. Albulayhi,D,3,182.0,1057,M,1138857,EUR,627609600,D,5,5,False,70.0,65.0,6.0,5.0,46.0,47.0,19.0,23.0,1.0,7.0,2.0,8.0,,,,,90.0,84.0,7.3,6.0,1,3.0,3.0,,,1.0,1.0,,1.0,1.0,4.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,
10665970,away,Al-Hilal,Hamad Al Yami,hamad-al-yami,H. A. Yami,D,88,170.0,585,M,981158,EUR,926899200,D,88,88,False,34.0,28.0,2.0,1.0,12.0,12.0,16.0,23.0,,5.0,,3.0,,,,,79.0,51.0,7.6,8.0,2,,1.0,,1.0,,,,,,3.0,1.0,,2.0,Hamad,Al Yami,,,1.0,,1.0,1.0,2.0,,,,,1.0,,,,
10665970,away,Al-Hilal,Mohamed Kanno,mohamed-kanno,M. Kanno,M,28,191.0,1575,M,828524,EUR,780192000,M,28,28,False,91.0,83.0,3.0,2.0,15.0,16.0,69.0,76.0,2.0,3.0,1.0,6.0,,,,,90.0,99.0,7.2,9.0,1,1.0,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,
10665970,away,Al-Hilal,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,6,175.0,1944,M,180059,EUR,719020800,M,6,6,False,113.0,106.0,9.0,8.0,47.0,50.0,59.0,63.0,,5.0,1.0,13.0,,,,,90.0,126.0,7.5,11.0,0,1.0,3.0,,1.0,,,,,1.0,4.0,4.0,2.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,
10665970,away,Al-Hilal,André Carrillo,andre-carrillo,A. Carrillo,M,19,180.0,14534,M,115182,EUR,676857600,M,19,19,False,90.0,77.0,11.0,6.0,27.0,28.0,50.0,63.0,1.0,5.0,,3.0,,,,,79.0,100.0,7.4,14.0,2,,1.0,,,,,,,1.0,4.0,3.0,,,,,1.0,,1.0,,,1.0,3.0,1.0,,,,,18andrecarrillo,,,
10665970,away,Al-Hilal,Michael,michael,Michael,M,96,166.0,9025,M,878084,EUR,826588800,F,96,96,False,30.0,24.0,,,4.0,4.0,22.0,37.0,,4.0,,5.0,,,,,90.0,58.0,6.9,23.0,1,2.0,7.0,1.0,1.0,4.0,1.0,,,1.0,3.0,3.0,4.0,,,,,,11.0,2.0,,,,1.0,,,,,Michael19,,,
10665970,away,Al-Hilal,Luciano Vietto,luciano-vietto,L. Vietto,F,19,173.0,1084,M,249407,EUR,755049600,F,10,10,False,31.0,23.0,2.0,,8.0,8.0,19.0,33.0,,2.0,,6.0,,,,,88.0,55.0,7.4,20.0,4,,8.0,1.0,3.0,1.0,1.0,,,,,,3.0,1.0,,,5.0,,10.0,4.0,2.0,,4.0,2.0,,,,,,,1.0,2.0
10665970,away,Al-Hilal,Salem Al-Dawsari,salem-al-dawsari,S. Al-Dawsari,M,29,171.0,11126,M,160893,EUR,682560000,F,29,29,False,58.0,42.0,2.0,2.0,12.0,13.0,31.0,51.0,1.0,7.0,,8.0,,,,,90.0,86.0,7.6,28.0,4,,4.0,,2.0,5.0,4.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,,6.0,1.0,2.0,,,2.0,,,1.0,,29salem,,1.0,
