match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_dispossessed,stat_ballRecovery,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_aerialWon,captain,stat_shotOffTarget,player_sofascoreId,player_lastName,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_challengeLost,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_punches,stat_goals,stat_goalAssist
10408358,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,22.0,19.0,10.0,7.0,14.0,15.0,5.0,7.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,30.0,6.4,6.0,0.0,0.0,0.000844097,0,-0.025888,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408358,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,D,4,4,False,47.0,36.0,4.0,2.0,26.0,30.0,11.0,18.0,2.0,10.0,1.0,7.0,,,,4.0,,,90.0,75.0,7.0,14.0,0.0,0.0,0.102329,0,,Arnau Martinez,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
10408358,home,Girona FC,Bernardo Espinosa,bernardo-espinosa,Bernardo,D,,192,218,M,139919,EUR,616118400,D,2,2,False,48.0,43.0,4.0,3.0,31.0,33.0,12.0,15.0,3.0,1.0,,6.0,,,1.0,,,,90.0,60.0,6.8,7.0,0.0,0.0,0.0044765,0,,,,,,,8.0,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,
10408358,home,Girona FC,Juanpe,juanpe,Juanpe,D,6,189,179,M,129861,EUR,672969600,D,15,15,False,34.0,25.0,3.0,1.0,18.0,24.0,7.0,10.0,1.0,,,3.0,,1.0,,,,,81.0,39.0,6.3,9.0,0.0421,0.0,0.0019466,1,,,,,,,4.0,,,,,,,,1.0,,True,1.0,,,,,,,,,,
10408358,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,32.0,30.0,2.0,2.0,11.0,12.0,19.0,24.0,4.0,7.0,,7.0,,,5.0,3.0,,,90.0,63.0,6.9,15.0,0.0,0.0,0.023945,0,,,4.0,,4.0,2.0,,,3.0,2.0,1.0,2.0,,,,,,,MGutiérrez,,,,,,,,,
10408358,home,Girona FC,Yan Couto,couto-yan,Y. Couto,D,2,169,7132,M,1002813,EUR,1023062400,M,20,20,False,14.0,9.0,,,4.0,7.0,5.0,9.0,2.0,5.0,1.0,2.0,,,,2.0,,,69.0,26.0,6.6,8.0,0.0858,0.0,0.00418527,1,,,2.0,,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,yan.couto,,1.0,,,,,,,
10408358,home,Girona FC,Oriol Romeu,oriol-romeu,O. Romeu,M,28,182,14412,M,69416,EUR,685670400,M,18,18,False,44.0,39.0,3.0,3.0,23.0,27.0,16.0,18.0,2.0,3.0,,5.0,,,1.0,,,,90.0,57.0,7.1,7.0,0.0,0.0,0.061313,0,,,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,,,,oriolromeu,,,,,,,,,
10408358,home,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173,4524,M,796047,EUR,867456000,M,14,14,False,51.0,46.0,3.0,1.0,32.0,33.0,17.0,25.0,1.0,2.0,,6.0,,,1.0,2.0,,,90.0,67.0,7.2,11.0,0.0,0.0,0.446282,0,,,7.0,3.0,,,2.0,,2.0,,,1.0,,4.0,,,,,AlexGarcia97,,,2.0,,,,,,
10408358,home,Girona FC,Rodrigo Riquelme,rodrigo-riquelme,R. Riquelme,M,17,174,4780,M,989113,EUR,954633600,M,17,17,False,20.0,14.0,,,6.0,8.0,8.0,13.0,5.0,4.0,2.0,5.0,,,3.0,,,,81.0,34.0,6.3,14.0,0.0,0.0,0.119446,0,,,1.0,,3.0,2.0,,,,,,,1.0,1.0,,2.0,,,,,,,2.0,,,,,
10408358,home,Girona FC,Yangel Herrera,yangel-herrera,Y. Herrera,M,12,184,4247,M,839585,EUR,884131200,F,21,21,False,20.0,16.0,1.0,1.0,11.0,13.0,5.0,7.0,7.0,6.0,3.0,2.0,,,1.0,,,,59.0,28.0,6.6,8.0,0.0,0.0,0.00268062,0,,,,,,,,,,2.0,1.0,1.0,,,1.0,4.0,,,YangelHerrera8,,,,2.0,,,,,
