match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_wonTackle,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_interceptionWon,stat_totalOffside,stat_shotOffTarget,stat_goals,stat_hitWoodwork,player_lastName,stat_punches,stat_clearanceOffLine
14566719,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183.0,26212,M,d_raya1,581310,EUR,811123200,G,1,1,False,41.0,28.0,20.0,7.0,0.0,25.0,25.0,3.0,16.0,1.0,9.0,1.0,3.0,3.0,1.0,1.0,90.0,55.0,7.8,13.0,0.0259811,23.148,6.61318,0.0,0.7113,0,0.6127,0.25,0.01,0.25,0.54,3.91,2.45,0.22,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566719,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186.0,13872,M,benwhite,846036,EUR,876268800,D,4,4,False,29.0,26.0,3.0,2.0,0.0,11.0,14.0,15.0,15.0,1.0,2.0,,,,,,58.0,50.0,7.3,9.0,0.117169,29.16,7.18317,7.0,,0,,0.33,0.11,0.18,,1.58,3.66,1.23,0.55,0.16,2.0,2.0,2.0,7.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14566719,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193.0,43611,M,WSaliba4,941168,EUR,985392000,D,2,2,False,55.0,50.0,3.0,1.0,0.0,40.0,43.0,10.0,12.0,6.0,2.0,,,,,,90.0,64.0,7.0,5.0,0.0033967,28.188,10.3404,6.0,,0,,0.04,0.04,0.26,,2.84,5.38,1.51,0.48,0.12,,3.0,5.0,4.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14566719,home,Arsenal,Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190.0,49147,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,47.0,37.0,8.0,2.0,0.0,33.0,36.0,4.0,11.0,5.0,2.0,,,,,,75.0,55.0,7.0,11.0,0.00146108,26.82,8.07754,2.0,,0,,-0.03,0.04,0.32,,2.25,4.27,1.18,0.32,0.06,,,2.0,,2.0,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
14566719,home,Arsenal,Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,178.0,16221,M,myleslewisskelly,1423711,EUR,1159228800,D,49,49,False,47.0,41.0,4.0,3.0,0.0,24.0,26.0,17.0,21.0,5.0,3.0,,,,,,90.0,78.0,7.8,9.0,0.176857,27.756,10.83057,6.0,,0,,0.29,0.14,0.21,,2.72,5.74,1.71,0.53,0.12,2.0,1.0,3.0,4.0,13.0,,,1.0,,3.0,,6.0,3.0,1.0,Myles Lewis-Skelly,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
14566719,home,Arsenal,Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178.0,78475,M,Ødegaard,547410,EUR,913852800,M,8,8,False,65.0,52.0,9.0,7.0,1.0,25.0,28.0,27.0,37.0,1.0,8.0,,,,,,90.0,88.0,8.5,22.0,0.789318,28.476,11.78233,12.0,,4,,0.81,0.47,0.13,,2.61,5.82,2.27,0.84,0.25,4.0,,,4.0,5.0,1.0,3.0,1.0,,1.0,2.0,3.0,,4.0,,,1.0,2.0,1.0,True,2.0,1.0,3.0,0.7608,0.4526,-0.58,,,,,,,,
14566719,home,Arsenal,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180.0,26374,M,martin_zubimendi,966837,EUR,917913600,M,36,36,False,64.0,56.0,11.0,9.0,0.0,26.0,29.0,30.0,35.0,2.0,6.0,,,,,,90.0,74.0,7.7,9.0,0.0458071,27.288,11.31482,4.0,,0,,0.33,0.11,0.22,,2.61,6.17,1.99,0.46,0.08,,1.0,5.0,6.0,8.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,
14566719,home,Arsenal,Mikel Merino,mikel-merino,M. Merino,M,23,188.0,29360,M,mikelmerino,592010,EUR,835401600,M,23,23,False,31.0,24.0,,,0.0,8.0,11.0,16.0,20.0,1.0,1.0,,,,,,58.0,39.0,7.2,9.0,0.0912009,26.172,7.40116,3.0,,0,,0.29,-0.09,-0.01,,1.54,3.52,1.7,0.6,0.05,,1.0,5.0,4.0,8.0,,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,
14566719,home,Arsenal,Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180.0,68679,M,GabiMartinelli,922573,EUR,992822400,F,11,11,False,16.0,10.0,,,0.0,1.0,1.0,9.0,15.0,,2.0,,,,,,73.0,37.0,6.8,16.0,0.0375566,30.24,7.93557,10.0,,3,,-0.63,0.4,-0.01,,2.37,3.54,1.23,0.56,0.23,4.0,3.0,1.0,4.0,5.0,,1.0,1.0,,,4.0,3.0,,1.0,,1.0,1.0,,,,1.0,1.0,,1.1759,0.9917,0.24,,,2.0,1.0,,,,
14566719,home,Arsenal,Viktor Gyökeres,viktor-gyokeres,V. Gyökeres,F,14,187.0,197644,M,VGyökeres,804508,EUR,896918400,F,14,14,False,16.0,11.0,1.0,,0.0,3.0,5.0,8.0,11.0,3.0,4.0,,,,,,90.0,29.0,6.6,9.0,0.0407841,30.78,10.69276,16.0,,3,,-0.06,0.6,0.22,,3.08,5.05,1.51,0.68,0.37,,2.0,,3.0,1.0,,,1.0,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,0.4731,0.2408,-0.53,,1.0,2.0,,1.0,,,
