match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,captain,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_outfielderBlock,stat_errorLeadToAShot
10408271,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,14.0,9.0,7.0,3.0,6.0,7.0,3.0,7.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,90.0,24.0,7.5,5.0,0.0,0.0,0.00137285,0,0.6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408271,home,Real Sociedad,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174,530,M,866810,EUR,839116800,D,18,18,False,42.0,37.0,1.0,1.0,15.0,17.0,23.0,28.0,1.0,5.0,1.0,2.0,,,,,,,82.0,66.0,7.2,7.0,0.1351,0.0,0.0535012,3,,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10408271,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,92.0,83.0,6.0,3.0,46.0,51.0,37.0,41.0,10.0,11.0,4.0,6.0,,,,,,,90.0,101.0,7.5,9.0,0.0487,0.0,0.0180774,1,,,,3.0,,,,1.0,,2.0,,,1.0,1.0,,lenormand_r,2.0,,,,,,,,,,,,,,
10408271,home,Real Sociedad,Jon Pacheco,jon-pacheco,J. Pacheco,D,5,184,537,M,934383,EUR,978912000,D,20,20,False,88.0,80.0,5.0,3.0,37.0,38.0,43.0,50.0,3.0,4.0,,5.0,,,,,,,90.0,92.0,7.2,9.0,0.0,0.0,0.0230776,0,,,,4.0,,,,,,,,,1.0,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,
10408271,home,Real Sociedad,Aihen Muñoz,aihen-munoz,A. Muñoz,D,3,175,419,M,966441,EUR,871689600,D,12,12,False,52.0,46.0,3.0,,12.0,15.0,35.0,40.0,,4.0,,7.0,,,,,,,90.0,74.0,7.5,12.0,0.0,0.0,0.12079,0,,3.0,1.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,
10408271,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,3,3,False,71.0,62.0,5.0,4.0,25.0,25.0,37.0,46.0,1.0,4.0,,6.0,,,,,,,90.0,76.0,6.9,11.0,0.0,0.0,0.0324009,0,,,,4.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,martin_zubimendi,3.0,,,,,2.0,,,,,,,,,
10408271,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,44.0,36.0,,,2.0,2.0,34.0,46.0,1.0,4.0,1.0,3.0,,,,,,,90.0,68.0,7.4,20.0,0.2613,0.4224,0.0833803,2,,4.0,,5.0,,5.0,3.0,1.0,,,,,,2.0,1.0,KuboTake,,,,,,4.0,1.0,1.0,1.0,,,,,,
10408271,home,Real Sociedad,David Silva,david-silva,D. Silva,M,,170,2751,,11781,EUR,505526400,M,21,21,False,14.0,13.0,,,3.0,4.0,10.0,10.0,,1.0,1.0,2.0,,,,,,,20.0,17.0,6.7,2.0,0.0,0.0,0.00487569,0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
10408271,home,Real Sociedad,Mikel Merino,mikel-merino,M. Merino,M,23,188,29240,M,592010,EUR,835401600,M,8,8,False,68.0,56.0,6.0,2.0,15.0,15.0,41.0,54.0,4.0,8.0,,12.0,,,,,,,90.0,78.0,7.3,14.0,0.0533,0.0,0.906072,1,,1.0,,7.0,,2.0,2.0,,1.0,,1.0,1.0,1.0,4.0,3.0,mikelmerino,3.0,,,,1.0,,,,,,,,,,
10408271,home,Real Sociedad,Mikel Oyarzabal,mikel-oyarzabal,M. Oyarzabal,F,10,181,11730,M,823622,EUR,861580800,M,10,10,False,21.0,18.0,,,4.0,4.0,14.0,19.0,,,,,,,,,,,62.0,29.0,6.2,9.0,0.0,0.0,0.0134274,0,,2.0,,4.0,1.0,1.0,,,,,,,,1.0,,mikel10oyar,,,,,,1.0,1.0,,,True,1.0,,,,
