match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_accurateCross,stat_blockedScoringAttempt,stat_keyPass,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_punches
12513729,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,True,41.0,29.0,19.0,7.0,0.0,24.0,24.0,5.0,17.0,1.0,7.0,1.0,2.0,3.0,1.0,1.0,90.0,49.0,6.9,12.0,0.00393177,0,-0.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513729,home,FC Porto,Zé Pedro,ze-pedro,Z. Pedro,D,32,187,663,M,,945448,EUR,865555200,D,97,97,False,,52.0,39.0,5.0,1.0,0.0,23.0,29.0,16.0,24.0,8.0,4.0,,,,,,90.0,74.0,7.0,15.0,0.0163319,2,,1.0,2.0,2.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,0.4014,0.126,,,,,,,,,,,,,,,
12513729,home,FC Porto,Tomás Pérez,tomas-perez,T. Pérez,M,25,182,1258,M,,1485090,EUR,1125014400,D,25,25,False,,44.0,38.0,2.0,1.0,0.0,27.0,30.0,11.0,14.0,,4.0,,,,,,63.0,50.0,6.8,7.0,0.00738415,0,,,1.0,,2.0,3.0,,,,,2.0,,1.0,1.0,,,1.0,,,,Tomás Pérez,,1.0,1.0,1.0,,,,,,,,,,
12513729,home,FC Porto,Otávio,otavio,Otávio,D,6,188,1431,M,,1069159,EUR,1019347200,D,4,4,False,,62.0,53.0,9.0,5.0,0.0,37.0,39.0,16.0,24.0,4.0,2.0,,,,,,90.0,85.0,8.0,11.0,0.0153548,0,,1.0,3.0,2.0,6.0,8.0,,,,,3.0,,3.0,2.0,,1.0,3.0,3.0,,,,,,,,1.0,3.0,,,,,,,,
12513729,home,FC Porto,Gonçalo Borges,goncalo-borges,G. Borges,F,11,184,1083,M,,979221,EUR,985824000,M,70,70,False,,13.0,12.0,,,1.0,4.0,5.0,9.0,14.0,,1.0,,,,,,90.0,37.0,6.9,12.0,0.318511,4,,6.0,1.0,,3.0,1.0,,1.0,3.0,,1.0,,,,,3.0,1.0,1.0,0.2758,,,,1.0,1.0,,,,1.0,1.0,2.0,,,,,
12513729,home,FC Porto,Fábio Vieira,fabio-vieira,F. Vieira,M,20,170,6618,M,fabiodfvieira,904835,EUR,959644800,M,10,10,False,,20.0,18.0,1.0,,0.0,9.0,9.0,12.0,16.0,,4.0,,,,,,77.0,34.0,7.8,7.0,0.206734,1,,5.0,,,4.0,3.0,1.0,,,1.0,1.0,,1.0,,,2.0,2.0,2.0,0.0284,0.5055,,,1.0,,,,,3.0,,1.0,1.0,1.0,,,
12513729,home,FC Porto,Alan Varela,alan-varela,A. Varela,M,22,177,5689,M,alan_varela01,1066560,EUR,994204800,M,22,22,False,,49.0,45.0,5.0,4.0,0.0,22.0,22.0,23.0,30.0,1.0,5.0,,,,,,90.0,65.0,7.2,9.0,0.0413001,3,,3.0,,2.0,2.0,6.0,,,1.0,,1.0,,2.0,,,,,1.0,0.1192,,Alan Varela,,,3.0,2.0,,,,2.0,,,,,,
12513729,home,FC Porto,Francisco Moura,francisco-moura,F. Moura,D,74,181,1191,M,,985138,EUR,934761600,M,74,74,False,,29.0,19.0,1.0,,0.0,10.0,12.0,9.0,21.0,2.0,4.0,,,,,,90.0,55.0,6.5,17.0,0.0280933,0,,4.0,2.0,3.0,6.0,3.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
12513729,home,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,pepe,882664,EUR,856742400,F,11,11,False,,6.0,5.0,,,0.0,,,5.0,6.0,,1.0,,,,,,28.0,10.0,6.6,2.0,0.0171365,0,,,1.0,,4.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,
12513729,home,FC Porto,Rodrigo Mora,mora-rodrigo,R. Mora,M,86,168,13996,M,,1410240,EUR,1178323200,F,86,86,False,,20.0,17.0,2.0,2.0,0.0,4.0,6.0,14.0,16.0,,5.0,,,,,,77.0,44.0,7.3,13.0,0.0658151,1,,2.0,,,7.0,6.0,,,,,1.0,,4.0,4.0,,2.0,2.0,,0.0228,,Rodrigo Mora,,3.0,4.0,,,,1.0,1.0,2.0,1.0,,,,
