match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_goals,stat_interceptionWon,stat_totalContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_totalOffside,stat_accurateCross,stat_aerialLost,stat_wonContest,stat_bigChanceCreated,stat_keyPass,captain,stat_dispossessed,stat_bigChanceMissed,stat_errorLeadToAGoal
12448361,home,Heracles Almelo,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193,109,M,856743,EUR,957916800,G,1,1,False,29.0,19.0,19.0,9.0,0.0,14.0,15.0,5.0,14.0,3.0,3.0,5.0,90.0,34.0,7.5,10.0,0.00336474,0,0.2708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448361,home,Heracles Almelo,Mimeirhel Benita,mimeirhel-benita,M. Benita,D,2,176,216,M,1130308,EUR,1069027200,D,2,2,False,20.0,13.0,5.0,1.0,0.0,6.0,10.0,7.0,11.0,6.0,,,90.0,35.0,6.8,10.0,0.0105537,1,,Mimeirhel Benita,,1.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0567,0.18,,,,,,,,,,,,,,,,,
12448361,home,Heracles Almelo,Damon Mirani,damon-mirani,D. Mirani,D,4,182,56,M,318575,EUR,831945600,D,4,4,False,42.0,34.0,6.0,2.0,0.0,28.0,29.0,6.0,13.0,4.0,,,90.0,54.0,8.0,8.0,0.0057427,3,,,,,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,,,0.0616,0.4598,1.0,1.0,3.0,,,,,,,,,,,,,,
12448361,home,Heracles Almelo,Ivan Mesík,ivan-mesik,I. Mesík,D,24,187,163,M,918484,EUR,991353600,D,24,24,False,36.0,29.0,7.0,5.0,0.0,22.0,25.0,7.0,11.0,6.0,,,90.0,48.0,7.0,9.0,0.00451973,1,,,,,,3.0,1.0,,,5.0,,,,1.0,0.032,,,,,1.0,1.0,3.0,2.0,1.0,,,,,,,,,
12448361,home,Heracles Almelo,Ruben Roosken,ruben-roosken,R. Roosken,D,12,183,99,M,988990,EUR,951955200,D,12,12,False,18.0,13.0,2.0,1.0,0.0,3.0,4.0,11.0,19.0,6.0,,,90.0,63.0,7.0,19.0,0.120165,2,,,,5.0,1.0,8.0,6.0,2.0,,5.0,2.0,2.0,4.0,1.0,0.0213,,2.0,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,
12448361,home,Heracles Almelo,Brian De Keersmaecker,brian-de-keersmaecker,B. D. Keersmaeker,M,14,182,235,M,981222,EUR,957571200,M,14,14,False,32.0,26.0,8.0,6.0,0.0,8.0,10.0,18.0,24.0,9.0,,,90.0,57.0,7.8,13.0,0.343052,1,,,,2.0,,5.0,10.0,1.0,,,7.0,3.0,1.0,2.0,0.0536,,1.0,,2.0,4.0,,,,,,,1.0,1.0,3.0,True,1.0,,
12448361,home,Heracles Almelo,Daniel van Kaam,daniel-van-kaam,D. v. Kaam,M,8,175,86,M,876257,EUR,961718400,M,26,26,False,51.0,48.0,4.0,3.0,1.0,22.0,23.0,29.0,35.0,10.0,,,90.0,69.0,7.4,11.0,0.0711541,0,,,,7.0,,2.0,3.0,1.0,,1.0,2.0,1.0,,1.0,,,,,,1.0,,,,,3.0,,,,2.0,,,,
12448361,home,Heracles Almelo,Suf Podgoreanu,suf-podgoreanu,S. Podgoreanu,M,17,193,150,M,1010062,EUR,1011484800,M,29,29,False,14.0,11.0,2.0,1.0,0.0,4.0,4.0,7.0,13.0,4.0,,,57.0,27.0,6.6,12.0,0.0181234,1,,,,3.0,1.0,9.0,4.0,,,,1.0,1.0,2.0,1.0,0.0287,,1.0,,,3.0,,,3.0,,,2.0,1.0,,,,2.0,,
12448361,home,Heracles Almelo,Mario Engels,mario-engels,M. Engels,M,8,183,72,M,132674,EUR,751248000,M,8,8,False,16.0,13.0,3.0,2.0,0.0,6.0,7.0,7.0,12.0,4.0,,,89.0,38.0,7.0,14.0,0.0186146,3,,,,3.0,,5.0,4.0,,2.0,,,,1.0,2.0,0.5982,0.9298,1.0,1.0,,5.0,,,,,,1.0,2.0,,,,1.0,1.0,
12448361,home,Heracles Almelo,Shiloh 't Zand,shiloh-t-zand,S. '. Zand,M,25,177,309,M,1196520,EUR,1050278400,M,10,10,False,21.0,17.0,1.0,1.0,0.0,9.0,9.0,8.0,12.0,5.0,,,72.0,30.0,6.6,8.0,0.0150385,0,,,,,,3.0,3.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,1.0,,2.0,,
12448361,home,Heracles Almelo,Luka Kulenović,luka-kulenovic,L. Kulenović,F,19,190,730,M,998999,EUR,938476800,F,19,19,False,14.0,6.0,2.0,1.0,0.0,1.0,1.0,5.0,13.0,,,,72.0,24.0,6.9,13.0,0.0214303,2,,,,,5.0,3.0,7.0,,2.0,,,,4.0,1.0,0.582,0.4856,,,,1.0,,,1.0,2.0,,1.0,1.0,,3.0,,1.0,1.0,
