match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,player_sofascoreId,stat_accurateCross,stat_clearanceOffLine,stat_goals
12624933,home,Al Orobah,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,160,M,794989,EUR,910051200,G,28,28,False,31.0,21.0,17.0,7.0,0.0,17.0,18.0,4.0,13.0,2.0,13.0,6.0,7.0,90.0,51.0,8.2,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624933,home,Al Orobah,Hamed Al-Maghati,hamed-taleb,H. Al-Maghati,D,11,175,9,M,948603,EUR,742694400,D,11,11,False,34.0,28.0,4.0,2.0,0.0,20.0,23.0,8.0,12.0,1.0,3.0,,,90.0,49.0,6.6,9.0,0,True,1.0,2.0,4.0,5.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
12624933,home,Al Orobah,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192,736,M,934196,EUR,879292800,D,3,3,False,29.0,28.0,2.0,1.0,0.0,27.0,27.0,1.0,2.0,5.0,1.0,,,90.0,41.0,7.0,2.0,0,,,,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
12624933,home,Al Orobah,Ziyad Al Hunayti,zeyad-al-hunayti,Z. Al Hunayti,D,4,167,2,M,893180,EUR,860112000,D,4,4,False,1.0,1.0,,,0.0,1.0,1.0,,,2.0,,,,14.0,4.0,6.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624933,home,Al Orobah,Ibrahim Al-Zubaidi,ibrahim-al-zubaidi,I. Al-Zubaidi,D,,172,16,M,793916,EUR,623462400,D,13,13,False,58.0,46.0,6.0,2.0,0.0,30.0,36.0,16.0,23.0,4.0,2.0,,,90.0,80.0,6.7,15.0,0,,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,
12624933,home,Al Orobah,Brad Young,brad-young,B. Young,F,32,185,212,M,1083046,EUR,1041811200,M,9,9,False,21.0,19.0,,,0.0,10.0,11.0,9.0,10.0,1.0,,,,79.0,26.0,6.3,4.0,2,,,4.0,6.0,,,,1.0,,,Brad Young,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,
12624933,home,Al Orobah,Karlo Muhar,karlo-muhar,K. Muhar,M,73,188,216,M,897590,EUR,821836800,M,73,73,False,59.0,51.0,5.0,3.0,0.0,26.0,27.0,25.0,32.0,2.0,5.0,,,90.0,78.0,7.1,12.0,2,,,,10.0,5.0,4.0,3.0,2.0,,6.0,,,,2.0,,,3.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,
12624933,home,Al Orobah,Fahad Al-Reshedi,fahad-al-reshedi,F. Al-Reshedi,M,80,173,10,M,818573,EUR,676339200,M,80,80,False,19.0,14.0,2.0,1.0,0.0,11.0,13.0,3.0,6.0,2.0,2.0,,,65.0,29.0,6.3,8.0,1,,,,6.0,,,,2.0,,1.0,,,,4.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,
12624933,home,Al Orobah,Cristian Tello,cristian-tello,C. Tello,M,,178,644,M,114157,EUR,681868800,M,37,37,False,48.0,34.0,1.0,,0.0,19.0,23.0,15.0,27.0,,4.0,,,90.0,64.0,6.4,21.0,1,,2.0,,7.0,4.0,1.0,1.0,1.0,1.0,,,,1.0,3.0,,2.0,2.0,1.0,,,4.0,1.0,,1.0,,,,,,,
12624933,home,Al Orobah,Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,,186,451,M,49805,EUR,656985600,F,7,7,False,18.0,15.0,1.0,1.0,0.0,10.0,12.0,5.0,7.0,,4.0,,,45.0,22.0,6.5,6.0,1,,1.0,,2.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,
