match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wasFouled,stat_wonTackle,player_height,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_shotOffTarget,stat_dispossessed,stat_goodHighClaim,stat_totalOffside,stat_goalAssist,stat_goals
11689331,home,VV IJsselmeervogels,Jaimy Schaap,Jaimy,Schaap,jaimy-schaap,J. Schaap,G,3,M,827247,EUR,772848000,G,1,1,False,41.0,26.0,27.0,12.0,20.0,25.0,6.0,16.0,1.0,6.0,1.0,1.0,2.0,90.0,46.0,5.7,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689331,home,VV IJsselmeervogels,Gerwin van de Groep,Gerwin van de Groep,,gerwin-van-de-groep,G. v. d. Groep,D,2,M,1548789,EUR,1073779200,D,17,17,False,13.0,5.0,6.0,1.0,4.0,7.0,1.0,6.0,3.0,5.0,,,,63.0,31.0,6.3,13.0,0,2,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11689331,home,VV IJsselmeervogels,Wessel Boer,,,wessel-boer,W. Boer,D,1,M,866106,EUR,822700800,D,4,4,False,22.0,19.0,4.0,3.0,18.0,21.0,1.0,1.0,3.0,3.0,,,,90.0,33.0,6.7,4.0,1,,1.0,2.0,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,
11689331,home,VV IJsselmeervogels,Basil Camara,,,basil-camara,B. Camara,D,2,M,867064,EUR,715046400,D,12,12,False,30.0,25.0,5.0,3.0,19.0,19.0,6.0,11.0,5.0,2.0,,,,90.0,38.0,6.5,5.0,0,12,3.0,1.0,4.0,2.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
11689331,home,VV IJsselmeervogels,Bradley Martis,,,bradley-martis,B. Martis,D,14,M,946431,EUR,900288000,D,5,5,False,22.0,14.0,4.0,3.0,4.0,7.0,11.0,18.0,2.0,4.0,,,,75.0,44.0,7.5,11.0,0,5,,1.0,3.0,6.0,2.0,,,1.0,4.0,1.0,1.0,,,,1.0,4.0,183.0,3.0,1.0,1.0,2.0,,,,,,,,
11689331,home,VV IJsselmeervogels,Daniël van Son,Daniël,van Son,daniel-van-son,D. v. Son,F,5,M,583530,EUR,761184000,M,2,2,False,15.0,10.0,2.0,2.0,8.0,11.0,3.0,7.0,,3.0,,,,82.0,35.0,6.5,13.0,2,11,,,5.0,3.0,,5.0,,1.0,2.0,2.0,1.0,,,,,,179.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,
11689331,home,VV IJsselmeervogels,Jesse Schuurman,Jesse,Schuurman,jesse-schuurman,J. Schuurman,M,5,M,922429,EUR,889574400,M,22,22,False,23.0,13.0,6.0,1.0,4.0,7.0,9.0,17.0,3.0,6.0,,,,90.0,38.0,6.6,14.0,1,22,3.0,1.0,5.0,4.0,1.0,1.0,,,2.0,3.0,1.0,,,,,,182.0,1.0,,,1.0,1.0,,1.0,,,,,
11689331,home,VV IJsselmeervogels,Jim Hulleman,,,jim-hulleman,J. Hulleman,D,2,M,955171,EUR,735868800,M,23,23,False,20.0,13.0,4.0,1.0,8.0,10.0,6.0,11.0,,2.0,,,,90.0,32.0,6.3,12.0,0,,1.0,,6.0,2.0,2.0,3.0,,2.0,,1.0,1.0,,,,1.0,,184.0,1.0,1.0,,2.0,1.0,,,,,,,
11689331,home,VV IJsselmeervogels,Marouane Afaker,Marouane,Afaker,marouane-afaker,M. Afaker,M,29,M,893562,EUR,926208000,M,9,9,False,19.0,11.0,2.0,1.0,8.0,11.0,3.0,8.0,,6.0,,,,82.0,33.0,6.6,12.0,1,11,,,4.0,5.0,2.0,1.0,,2.0,5.0,2.0,,,1.0,,,4.0,168.0,,,,,,,1.0,1.0,,,,
11689331,home,VV IJsselmeervogels,Dennis Knuiman,Dennis,Knuiman,dennis-knuiman,D. Knuiman,F,7,M,1594428,EUR,919209600,F,10,10,False,29.0,21.0,,,6.0,6.0,16.0,24.0,2.0,4.0,,,,90.0,49.0,7.0,12.0,5,10,1.0,3.0,2.0,8.0,,2.0,,1.0,1.0,3.0,,,2.0,4.0,2.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,,,,
11689331,home,VV IJsselmeervogels,Robin Eindhoven,,,robin-eindhoven,R. Eindhoven,F,4,M,866089,EUR,912124800,F,11,11,False,17.0,9.0,3.0,1.0,2.0,7.0,7.0,10.0,,7.0,,,,63.0,26.0,6.9,12.0,0,,3.0,1.0,5.0,2.0,1.0,,,,1.0,3.0,,,,,,1.0,193.0,,,1.0,1.0,,,,1.0,,,,
11689331,home,VV IJsselmeervogels,Andre Morgan,Andre,Morgan,andre-morgan,A. Morgan,D,1,M,866107,EUR,754531200,D,77,77,True,20.0,18.0,3.0,3.0,16.0,17.0,2.0,3.0,,3.0,,,,27.0,24.0,6.6,3.0,0,,,1.0,,2.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
11689331,home,VV IJsselmeervogels,Thomas Beekman,,,thomas-beekman,T. Beekman,M,18,M,1047952,EUR,948585600,M,7,7,True,3.0,1.0,,,,,1.0,3.0,,,,,,27.0,8.0,6.3,6.0,0,7,1.0,,3.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,1.0,,,,
