match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_accurateLongBalls,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_lastManTackle,stat_bigChanceMissed
12765023,home,Shamrock Rovers,Leon Pohls,,,leon-pohls,L. Pohls,G,1,195.0,44,M,977558,EUR,862444800,G,1,1,False,13.0,9.0,4.0,0.0,9.0,10.0,3.0,8.0,1.0,3.0,90.0,21.0,6.8,4.0,2.419e-05,0,-0.1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765023,home,Shamrock Rovers,Dan Cleary,,,dan-cleary,D. Cleary,D,6,182.0,28,M,279445,EUR,826329600,D,6,6,False,73.0,68.0,1.0,0.0,30.0,33.0,41.0,7.0,,,90.0,87.0,6.4,10.0,0.027746,1,,38.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.043,1.0,,,,,,,,,,,,,,,,,,,,
12765023,home,Shamrock Rovers,Roberto Lopes,,,roberto-lopes,R. Lopez,D,4,186.0,196,M,147138,EUR,708739200,D,4,4,False,89.0,81.0,6.0,0.0,48.0,49.0,40.0,6.0,,,90.0,102.0,7.4,9.0,0.0128499,0,,33.0,,3.0,1.0,4.0,6.0,1.0,,3.0,1.0,,1.0,,,2.0,True,2.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,
12765023,home,Shamrock Rovers,Lee Grace,,,grace-lee,L. Grace,D,5,188.0,20,M,845906,EUR,723168000,D,5,5,False,51.0,42.0,5.0,0.0,22.0,25.0,26.0,2.0,,,90.0,57.0,6.4,9.0,0.0143896,1,,20.0,,2.0,1.0,3.0,2.0,,1.0,3.0,,,,1.0,0.1365,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
12765023,home,Shamrock Rovers,Darragh Burns,,,darragh-burns,D. Burns,M,18,176.0,103,M,1005670,EUR,1023494400,M,21,21,False,27.0,24.0,,1.0,9.0,9.0,25.0,8.0,,,70.0,55.0,7.6,14.0,0.554221,3,,17.0,7.0,,,6.0,7.0,2.0,,1.0,,,1.0,1.0,0.0927,4.0,,,,3.0,3.0,3.0,4.0,1.0,,2.0,1.0,3.0,,,,,,,,
12765023,home,Shamrock Rovers,Dylan Watts,,,watts-dylan,D. Watts,M,7,178.0,45,M,795522,EUR,860716800,M,7,7,False,92.0,79.0,6.0,0.0,29.0,29.0,67.0,6.0,,,85.0,113.0,8.2,20.0,0.372044,4,,52.0,4.0,1.0,3.0,7.0,5.0,1.0,2.0,1.0,,,1.0,1.0,0.8399,3.0,,3.0,,,,,4.0,2.0,,2.0,,,2.0,2.0,1.0,1.0205,,,,
12765023,home,Shamrock Rovers,Markus Poom,,,markus-poom,M. Poom,M,18,186.0,156,M,833218,EUR,920073600,M,19,19,False,75.0,64.0,3.0,0.0,29.0,30.0,45.0,9.0,,,85.0,82.0,7.0,12.0,0.0255533,1,,35.0,,,,1.0,2.0,,,,,,1.0,1.0,0.02,1.0,,,,2.0,1.0,,,,,,,,,1.0,,0.036,,,,
12765023,home,Shamrock Rovers,Aaron McEneff,,,aaron-mceneff,A. McEneff,M,8,175.0,33,M,840717,EUR,805248000,M,8,8,False,37.0,32.0,1.0,0.0,9.0,9.0,28.0,6.0,,,70.0,47.0,7.2,8.0,0.0415265,4,,23.0,,,,1.0,1.0,,1.0,,2.0,,2.0,,0.1753,1.0,,,,,,1.0,,,,,,2.0,1.0,1.0,,0.0874,,,,
12765023,home,Shamrock Rovers,Joshua Honohan,,,joshua-honohan,J. Honohan,D,2,178.0,80,M,993936,EUR,985737600,M,2,2,False,14.0,10.0,3.0,0.0,5.0,8.0,7.0,4.0,,,90.0,39.0,6.8,9.0,0.00441637,1,,5.0,1.0,,1.0,6.0,8.0,1.0,1.0,2.0,,,1.0,2.0,0.0139,,,1.0,,6.0,4.0,,2.0,1.0,,,,,2.0,,,,,,,
12765023,home,Shamrock Rovers,Neil Farrugia,,,neil-farrugia,N. Farrugia,M,20,185.0,66,M,910389,EUR,927072000,F,23,23,False,42.0,36.0,2.0,1.0,10.0,11.0,34.0,3.0,,,90.0,62.0,7.2,17.0,0.281433,2,,26.0,3.0,3.0,,8.0,4.0,,2.0,,1.0,,1.0,,0.0902,3.0,,1.0,,3.0,2.0,1.0,2.0,,,,1.0,,3.0,,,,1.0,,,
