match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_shotValueNormalized,player_lastName,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_lastManTackle
14425845,home,Preston North End,Jack Walton,jack-walton,J. Walton,G,12,184.0,30,M,793229,EUR,893289600,G,12,12,False,40.0,34.0,8.0,2.0,0.0,33.0,36.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,90.0,47.0,5.8,6.0,0,0.04,0.01,-0.63,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14425845,home,Preston North End,Odeluga Offiah,odeluga-offiah,O. Offiah,D,42,187.0,118,M,1069627,EUR,1035590400,D,42,42,False,61.0,57.0,,,0.0,37.0,38.0,20.0,23.0,1.0,7.0,2.0,2.0,,,,,90.0,80.0,6.4,7.0,1,-0.05,0.11,-0.5,,Odeluga Offiah,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
14425845,home,Preston North End,Liam Lindsay,liam-lindsay,L. Lindsay,D,6,193.0,77,M,331219,EUR,813456000,D,6,6,False,87.0,78.0,10.0,6.0,0.0,64.0,65.0,14.0,22.0,7.0,8.0,10.0,5.0,,,,,90.0,106.0,7.9,10.0,2,0.23,0.11,-0.45,,,,3.0,,1.0,,,,,,,1.0,0.56,,True,2.0,2.0,1.0,2.0,,,,,,,,,,,,,
14425845,home,Preston North End,Andrew Hughes,andrew-hughes,A. Hughes,D,16,188.0,50,M,78368,EUR,707702400,D,16,16,False,67.0,56.0,8.0,3.0,0.0,34.0,37.0,22.0,30.0,3.0,4.0,2.0,2.0,,,,,75.0,79.0,6.6,14.0,0,0.25,0.09,-0.28,,,2.0,2.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14425845,home,Preston North End,Stefán Teitur Þórðarson,stefan-teitur-thordarson,S. T. Þórðarson,M,23,187.0,144,M,858282,EUR,908496000,M,22,22,False,42.0,34.0,6.0,2.0,0.0,15.0,16.0,19.0,26.0,2.0,4.0,1.0,1.0,,,,,90.0,52.0,6.4,11.0,2,0.09,0.04,-0.17,,,,6.0,3.0,2.0,1.0,1.0,1.0,,,1.0,1.0,-0.05,,,,,,,1.0,2.0,1.0,,,,,,,,,,
14425845,home,Preston North End,Pol Valentín,pol-valentin,P. Valentín,D,2,180.0,52,M,893065,EUR,856483200,M,2,2,False,22.0,19.0,1.0,,0.0,9.0,10.0,10.0,12.0,,3.0,1.0,3.0,,,,,61.0,35.0,6.8,9.0,1,0.32,0.0,-0.1,,,2.0,3.0,,,4.0,2.0,,1.0,1.0,1.0,,0.01,,,1.0,1.0,,,,,,,,,,,,,,,
14425845,home,Preston North End,Theo Carrol,theo-carrol,T. Carrol,M,,,7,M,2058620,EUR,1182384000,M,20,20,False,17.0,13.0,2.0,,1.0,5.0,6.0,8.0,11.0,1.0,3.0,1.0,1.0,,,,,90.0,33.0,6.1,11.0,1,0.09,0.11,-0.1,,Theo Carrol,1.0,10.0,,1.0,3.0,,1.0,,,2.0,2.0,-0.34,,,4.0,,,1.0,,1.0,2.0,1.0,,,,,,,,,
14425845,home,Preston North End,Alfie Devine,alfie-devine,A. Devine,M,21,182.0,1504,M,1049459,EUR,1091318400,M,21,21,False,45.0,38.0,9.0,7.0,1.0,10.0,12.0,28.0,33.0,,3.0,,5.0,,,,,90.0,67.0,7.5,15.0,3,0.45,0.22,-0.12,,,8.0,1.0,1.0,,,,1.0,1.0,,2.0,2.0,0.01,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,
14425845,home,Preston North End,Andrija Vukčević,andrija-vukcevic,A. Vukčević,D,3,180.0,113,M,280737,EUR,844992000,M,3,3,False,16.0,13.0,2.0,1.0,0.0,8.0,9.0,5.0,7.0,,3.0,2.0,2.0,,,,,90.0,31.0,6.5,11.0,0,-0.06,0.04,-0.06,,,3.0,4.0,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,
14425845,home,Preston North End,Daniel Jebbison,daniel-jebbison,D. Jebbison,F,9,190.0,528,M,1096136,EUR,1057881600,F,9,9,False,7.0,6.0,,,0.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,,,,,61.0,15.0,6.3,5.0,1,0.13,0.02,0.16,,Daniel Jebbison,,4.0,,,,,1.0,,,4.0,,-0.15,,,3.0,,,1.0,,,1.0,2.0,,,,1.0,1.0,,,,
14425845,home,Preston North End,Lewis Dobbin,lewis-dobbin,L. Dobbin,F,17,175.0,469,M,998832,EUR,1041552000,F,17,17,False,17.0,15.0,1.0,1.0,0.0,3.0,3.0,12.0,14.0,,2.0,,1.0,,,,,45.0,28.0,7.5,8.0,1,-0.15,0.39,-0.05,,,,7.0,1.0,,6.0,2.0,,,,1.0,,0.51,,,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,
14425845,home,Preston North End,Michael Smith,michael-smith,M. Smith,F,24,193.0,106,M,112761,EUR,687657600,F,24,24,True,7.0,5.0,2.0,2.0,0.0,3.0,4.0,2.0,3.0,,,,2.0,,,,,45.0,15.0,6.3,6.0,1,-0.08,0.02,-0.02,,,1.0,4.0,,2.0,1.0,,,,,,,-0.05,,,1.0,1.0,,,,,,,,,,,,,,,
14425845,home,Preston North End,Jordan Storey,jordan-storey,J. Storey,D,14,188.0,66,M,845941,EUR,873158400,D,14,14,True,19.0,16.0,3.0,,0.0,10.0,10.0,6.0,9.0,,,,1.0,,,,,29.0,23.0,6.2,3.0,1,0.02,0.07,-0.16,,,,1.0,,,,,1.0,,,,,-0.04,,,,,,,,1.0,1.0,,,,,,,,,,
14425845,home,Preston North End,Milutin Osmajić,milutin-osmajic,M. Osmajić,F,28,186.0,449,M,928047,EUR,932860800,F,28,28,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,10.0,2.0,6.5,,0,-0.05,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
14425845,home,Preston North End,Benjamin Whiteman,benjamin-whiteman,B. Whiteman,M,4,185.0,112,M,775063,EUR,834969600,M,4,4,True,5.0,4.0,1.0,,0.0,4.0,4.0,,1.0,,,,,,,,,19.0,6.0,6.3,1.0,0,0.0,,-0.06,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
14425845,home,Preston North End,Thierry Small,small-thierry,T. Small,M,26,183.0,203,M,1100606,EUR,1091318400,D,26,26,True,3.0,2.0,1.0,,0.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,15.0,8.0,6.5,2.0,0,0.21,0.07,-0.16,,,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,3.0,2.0,,,,,,,,
14425845,home,Preston North End,Daniel Iversen,daniel-iversen,D. Iversen,G,1,193.0,283,M,796986,EUR,869270400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14425845,home,Preston North End,Ali McCann,alistair-mccann,A. McCann,M,8,176.0,112,M,891870,EUR,944265600,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14425845,home,Preston North End,George Gryba,george-gryba,G. Gryba,F,,,8,M,2229648,EUR,1232150400,F,30,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,George Gryba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
