match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_wonContest,stat_dispossessed,stat_blockedScoringAttempt,stat_keyPass,stat_shotOffTarget,stat_bigChanceMissed,stat_penaltyWon,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_penaltyConceded,stat_goalAssist,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAShot
11391088,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,27.0,21.0,15.0,9.0,17.0,18.0,4.0,9.0,2.0,6.0,1.0,1.0,90.0,36.0,6.4,6.0,0.0,0.0,0.00196041,0,-1.1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,27,27,False,36.0,25.0,6.0,2.0,13.0,17.0,13.0,24.0,2.0,3.0,,,90.0,66.0,7.8,18.0,0.0243,0.2013,0.0411699,1,,5.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,42.0,34.0,7.0,2.0,29.0,30.0,5.0,12.0,2.0,10.0,,,90.0,56.0,6.7,13.0,0.036,0.3081,0.00397364,1,,,,6.0,4.0,1.0,1.0,,1.0,2.0,,,5.0,,2.0,,,True,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,3,3,False,38.0,32.0,6.0,4.0,25.0,27.0,7.0,11.0,4.0,6.0,,,90.0,50.0,6.4,8.0,0.0,0.0,0.00204496,0,,,,5.0,2.0,,,,,,,,1.0,,,,,,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Bradley Locko,bradley-locko,B. Locko,D,2,180,637,M,1129382,EUR,1020643200,D,2,2,False,43.0,37.0,5.0,4.0,18.0,20.0,19.0,25.0,2.0,7.0,,,90.0,78.0,6.2,21.0,0.0,0.0,0.0131275,0,,2.0,,11.0,5.0,7.0,,,,,2.0,2.0,3.0,,1.0,,,,1.0,,1.0,3.0,4.0,,,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,16.0,15.0,1.0,,8.0,9.0,7.0,8.0,2.0,1.0,,,67.0,31.0,6.9,3.0,0.0631,0.2631,0.00426362,2,,1.0,,2.0,4.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,20,20,False,47.0,39.0,12.0,7.0,11.0,13.0,28.0,37.0,2.0,11.0,,,90.0,73.0,7.5,13.0,0.0161,0.0,0.0349394,1,,3.0,,5.0,7.0,2.0,,,,3.0,3.0,1.0,1.0,2.0,3.0,,,,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Mathias Pereira Lage,mathias-pereira-lage,M. P. Lage,M,28,180,349,M,831400,EUR,849312000,M,26,26,False,8.0,7.0,,,3.0,3.0,6.0,13.0,2.0,,,,67.0,24.0,6.6,9.0,0.0729,0.0,0.0600343,1,,8.0,2.0,3.0,2.0,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,M,10,10,False,31.0,22.0,1.0,,8.0,9.0,16.0,28.0,,8.0,,,89.0,62.0,8.6,20.0,1.6608,2.021,0.120704,4,,6.0,2.0,8.0,10.0,5.0,3.0,2.0,,,3.0,2.0,2.0,4.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
11391088,home,Stade Brestois,Jérémy Le Douaron,jeremy-le-douaron,J. Le Douaron,F,21,189,290,M,1047296,EUR,893116800,M,22,22,False,17.0,14.0,,,4.0,4.0,11.0,16.0,1.0,3.0,,,90.0,46.0,6.4,15.0,0.5658,1.0407,0.0400963,3,,3.0,1.0,8.0,7.0,5.0,2.0,,,1.0,1.0,1.0,5.0,4.0,,,,,3.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
