match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_keyPass,stat_goalAssist,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,player_firstName,player_lastName,captain,stat_accurateCross,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11352484,home,Chelsea,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,False,39.0,36.0,10.0,7.0,34.0,35.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,90.0,43.0,7.1,3.0,0.0,0.0,0.00022012,0,0.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352484,home,Chelsea,Axel Disasi,axel-disasi,A. Disasi,D,4,190,9725,M,axel_disasi,827243,EUR,889574400,D,2,2,False,95.0,87.0,6.0,1.0,68.0,70.0,19.0,26.0,2.0,3.0,,,,90.0,108.0,7.5,10.0,0.0501,0.1395,0.00642724,1,,1.0,1.0,6.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11352484,home,Chelsea,Thiago Silva,thiago-silva,T. Silva,D,3,181,42659,M,ThiagoSilva,33541,EUR,464659200,D,6,6,False,102.0,97.0,6.0,4.0,74.0,76.0,23.0,26.0,4.0,6.0,,,,90.0,109.0,7.5,5.0,0.0,0.0,0.00615224,0,,,,3.0,1.0,3.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
11352484,home,Chelsea,Levi Colwill,levi-colwill,L. Colwill,D,6,187,17899,M,LColwill,996911,EUR,1046217600,D,26,26,False,68.0,60.0,11.0,4.0,42.0,44.0,18.0,24.0,4.0,3.0,,,,90.0,86.0,7.3,8.0,0.1079,0.0,0.148233,1,,,,2.0,1.0,4.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11352484,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179,19313,M,malogst,996958,EUR,1053302400,M,27,27,False,68.0,65.0,1.0,,35.0,36.0,30.0,36.0,,4.0,,,,90.0,88.0,8.1,9.0,0.0117,0.0,0.155254,1,,4.0,,,4.0,4.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,
11352484,home,Chelsea,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,63.0,60.0,2.0,2.0,23.0,24.0,37.0,39.0,1.0,7.0,,,,90.0,79.0,7.9,6.0,0.0774,0.0459,0.313239,1,,,,1.0,5.0,6.0,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,3.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,
11352484,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,62.0,60.0,3.0,3.0,33.0,33.0,27.0,29.0,,3.0,,,,90.0,74.0,7.4,3.0,0.0,0.0,0.0250056,0,,,1.0,2.0,4.0,6.0,,,2.0,1.0,2.0,2.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,
11352484,home,Chelsea,Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,10903,M,Chilly,802695,EUR,851126400,M,21,21,False,26.0,19.0,,,8.0,10.0,13.0,20.0,,3.0,,,,86.0,39.0,7.0,12.0,0.0857,0.0,0.283901,1,,4.0,2.0,,5.0,2.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,4.0,,,1.0,,,,,,True,2.0,,,,,
11352484,home,Chelsea,Raheem Sterling,raheem-sterling,R. Sterling,F,,170,36469,M,Sterling7,138534,EUR,786844800,F,7,7,False,36.0,32.0,,,7.0,7.0,25.0,30.0,,5.0,,,,89.0,59.0,8.8,17.0,0.8593,1.2177,0.214916,5,,1.0,,,10.0,3.0,,3.0,,,,,3.0,1.0,1.0,1.0,2.0,,6.0,5.0,2.0,1.0,1.0,,,,,1.0,2.0,,,
11352484,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,F,8,8,False,64.0,60.0,9.0,8.0,25.0,26.0,36.0,43.0,,7.0,,,,90.0,79.0,7.6,10.0,0.3704,0.0,0.285494,4,,5.0,,,7.0,1.0,2.0,,,,,,,1.0,3.0,,2.0,,,2.0,,,4.0,,,,1.0,1.0,,2.0,,
