match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_unsuccessfulTouch,stat_challengeLost,stat_blockedScoringAttempt,stat_penaltyConceded,stat_expectedGoals,stat_goalAssist,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_shotOffTarget,captain,stat_hitWoodwork,stat_totalOffside,stat_punches,stat_outfielderBlock
11406913,home,Salernitana,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,27.0,18.0,16.0,7.0,14.0,16.0,4.0,11.0,7.0,1.0,2.0,1.0,3.0,1.0,1.0,90.0,35.0,7.0,9.0,0.00334416,0,-0.1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406913,home,Salernitana,Niccolò Pierozzi,,,niccolo-pierozzi,N. Pierozzi,M,27,184,211,M,,970938,EUR,1000252800,D,27,27,False,44.0,40.0,5.0,3.0,24.0,25.0,17.0,20.0,5.0,,,,,,,90.0,64.0,6.8,8.0,0.0766625,0,,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11406913,home,Salernitana,Norbert Gyömbér,,,norbert-gyomber,N. Gyömbér,D,23,189,301,M,,224456,EUR,710121600,D,23,23,False,74.0,60.0,11.0,5.0,37.0,45.0,23.0,29.0,6.0,,,,,,,90.0,87.0,6.9,16.0,0.0110139,0,,,,,3.0,,7.0,,1.0,1.0,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
11406913,home,Salernitana,Matteo Lovato,,,lovato-matteo,M. Lovato,D,20,188,274,M,,982601,EUR,950486400,D,66,66,False,69.0,61.0,2.0,2.0,39.0,43.0,22.0,26.0,8.0,,,,,,,75.0,84.0,6.8,8.0,0.00489,1,,,,2.0,2.0,3.0,5.0,,5.0,3.0,3.0,2.0,,1.0,,,1.0,1.0,1.0,0.0265,,,,,,,,,,,,,
11406913,home,Salernitana,Domagoj Bradarić,,,domagoj-bradaric,D. Bradarić,M,12,178,1470,M,,897594,EUR,944784000,D,3,3,False,65.0,61.0,3.0,1.0,35.0,37.0,27.0,30.0,5.0,,,,,,,82.0,92.0,7.5,12.0,0.201168,0,,2.0,1.0,1.0,1.0,4.0,6.0,5.0,,2.0,,,3.0,,3.0,1.0,,,,,1.0,1.0,3.0,1.0,,,,,,,,,
11406913,home,Salernitana,Agustín Martegani,,,agustin-martegani,A. Martegani,M,19,183,565,M,,984926,EUR,958780800,M,7,7,False,30.0,26.0,,,14.0,14.0,12.0,16.0,3.0,,,,,,,83.0,46.0,7.7,8.0,0.0199971,2,,,,,,2.0,6.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,,1.0,,0.2277,,,2.0,,1.0,1.0,0.8766,,,,,,
11406913,home,Salernitana,Giulio Maggiore,,,giulio-maggiore,G. Maggiore,M,18,184,222,M,,848185,EUR,889660800,M,25,25,False,52.0,44.0,3.0,1.0,20.0,26.0,24.0,26.0,10.0,,,,,,,90.0,65.0,6.7,9.0,0.0153081,2,,,,2.0,1.0,3.0,2.0,,,1.0,1.0,1.0,,,,,1.0,,,0.1438,,,,,1.0,,0.2015,1.0,,,,,
11406913,home,Salernitana,Toma Bašić,,,toma-basic,T. Bašić,M,26,189,1423,M,,798002,EUR,848880000,M,26,26,False,35.0,30.0,1.0,,13.0,15.0,18.0,23.0,2.0,,,,,,,68.0,52.0,7.0,10.0,0.0322445,0,,3.0,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,3.0,3.0,,,1.0,3.0,,,,,,,,,,,,,,,,,
11406913,home,Salernitana,Loum Tchaouna,,,loum-tchaouna,L. Tchaouna,F,17,180,1357,M,,1004505,EUR,1062979200,M,33,33,False,36.0,26.0,4.0,2.0,6.0,9.0,20.0,31.0,5.0,,,,,,,75.0,51.0,6.7,15.0,0.0303514,1,,4.0,,2.0,,3.0,2.0,2.0,1.0,,,,1.0,,,,,1.0,,0.017,,,1.0,,,,,,,,,,
11406913,home,Salernitana,Antonio Candreva,,,antonio-candreva,A. Candreva,F,87,180,936,M,,27982,EUR,541468800,M,87,87,False,43.0,33.0,3.0,3.0,9.0,10.0,26.0,46.0,2.0,,,,,,,90.0,71.0,7.8,25.0,0.198486,4,,13.0,2.0,,,2.0,7.0,3.0,,,2.0,2.0,3.0,,2.0,,,2.0,,0.2704,,1.0,2.0,,,,,2.0,True,1.0,3.0,,
11406913,home,Salernitana,Simy,,,simy,Simy,F,9,198,516,M,,170499,EUR,705196800,F,9,9,False,16.0,9.0,,,3.0,4.0,6.0,12.0,,,,,,,,90.0,28.0,6.4,12.0,0.00873743,1,,,,8.0,1.0,9.0,4.0,,1.0,,,,3.0,1.0,,4.0,,1.0,,0.0697,,1.0,,,,,,,,,2.0,,
