match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_dispossessed,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
11408351,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,628,M,138895,EUR,783907200,G,14,14,False,True,19.0,17.0,6.0,4.0,0.0,14.0,15.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,90.0,28.0,7.0,2.0,0.00120685,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408351,home,Vitória SC,Manuel Silva,manuel-silva,M. Silva,M,16,190,1034,M,1085740,EUR,992304000,D,6,6,False,,60.0,50.0,12.0,5.0,0.0,32.0,34.0,18.0,26.0,6.0,6.0,4.0,1.0,,90.0,74.0,8.1,10.0,0.00831748,0,,,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11408351,home,Vitória SC,Toni Borevković,toni-borevkovic,T. Borevković,D,24,194,270,M,886843,EUR,866592000,D,24,24,False,,52.0,46.0,3.0,2.0,0.0,43.0,46.0,3.0,6.0,6.0,7.0,6.0,1.0,,90.0,65.0,7.5,6.0,0.00128493,1,,,,4.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,2.0,0.0379,0.0581,,,,,,,,,,,,,,
11408351,home,Vitória SC,Tomás Ribeiro,tomas-ribeiro,T. Ribeiro,D,16,185,137,M,996765,EUR,925430400,D,4,4,False,,59.0,50.0,7.0,4.0,0.0,32.0,36.0,18.0,23.0,7.0,2.0,1.0,1.0,,90.0,71.0,7.2,11.0,0.00729339,0,,,4.0,3.0,6.0,,,3.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
11408351,home,Vitória SC,Miguel Maga,miguel-maga,M. Maga,D,2,175,180,M,1131047,EUR,1037404800,M,2,2,False,,27.0,22.0,1.0,,0.0,7.0,9.0,16.0,19.0,2.0,2.0,6.0,1.0,,90.0,48.0,7.0,7.0,0.0268634,0,Miguel Maga,,2.0,,3.0,,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,
11408351,home,Vitória SC,André André,andre-andre,A. André,M,11,174,123,M,59777,EUR,620092800,M,21,21,False,,31.0,30.0,,,0.0,8.0,8.0,22.0,23.0,2.0,,4.0,,,74.0,39.0,6.8,3.0,0.0156473,2,,,1.0,1.0,4.0,,,1.0,,3.0,,,,,1.0,0.2209,,,1.0,,,2.0,,,,,,,,,
11408351,home,Vitória SC,Tomás Händel,tomas-handel,T. Händel,M,20,180,888,M,1131048,EUR,975283200,M,8,8,False,,56.0,50.0,3.0,1.0,0.0,19.0,21.0,31.0,36.0,2.0,2.0,8.0,,,90.0,68.0,7.4,10.0,0.0199242,1,Tomás Händel,,,,4.0,,,2.0,,3.0,1.0,,,1.0,,0.0312,0.0919,,,1.0,,,1.0,1.0,1.0,,,,,,
11408351,home,Vitória SC,Nuno Santos,nuno-santos,N. Santos,M,10,180,2173,M,930552,EUR,920332800,M,77,77,False,,34.0,27.0,1.0,,0.0,10.0,11.0,18.0,29.0,4.0,,7.0,1.0,,74.0,54.0,6.8,20.0,0.062334,1,,,1.0,,4.0,,,3.0,2.0,1.0,1.0,2.0,,,,0.0233,,,5.0,6.0,1.0,1.0,,,,,,,,,
11408351,home,Vitória SC,Bruno Gaspar,bruno-gaspar,B. Gaspar,D,76,180,173,M,252819,EUR,735350400,M,76,76,False,,28.0,25.0,2.0,2.0,0.0,11.0,12.0,14.0,17.0,5.0,4.0,2.0,2.0,,90.0,56.0,7.6,8.0,0.024173,1,,,2.0,,4.0,,,3.0,1.0,2.0,2.0,,,,,0.0352,,1.0,2.0,1.0,,1.0,,,,1.0,,,,,
11408351,home,Vitória SC,Kaio César,kaio-cesar,Kaio César,M,37,168,4877,M,1396009,EUR,1076803200,F,37,37,False,,22.0,12.0,3.0,2.0,0.0,2.0,5.0,12.0,23.0,9.0,,3.0,2.0,,89.0,57.0,6.9,25.0,0.0758907,0,Kaio César,,2.0,1.0,10.0,,,3.0,3.0,2.0,1.0,6.0,3.0,,,,,1.0,4.0,6.0,2.0,,2.0,,,1.0,,,,,
