match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_shotOffTarget,stat_expectedGoals,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_keyPass,stat_penaltyConceded,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_blockedScoringAttempt,stat_errorLeadToAGoal
12117219,home,Corinthians,Rodrigo Garro,rodrigo-garro,R. Garro,M,8,174,33134,M,rodrigarroo,994454,EUR,883872000,F,10,10,False,46.0,37.0,7.0,4.0,0.0,4.0,4.0,36.0,50.0,11.0,5.0,,,,,90.0,86.0,7.7,24.0,0.392247,4,,,,,,11.0,2.0,4.0,,,4.0,3.0,2.0,6.0,1.0,,1.0,0.4459,,8.0,3.0,5.0,1.0,,2.0,2.0,,1.0,1.0,0.4483,,2.0,
12117219,home,Corinthians,Yuri Alberto,yuri-alberto,Y. Alberto,F,9,183,45110,M,yurialberto,905463,EUR,984873600,F,9,9,True,16.0,10.0,,,1.0,1.0,2.0,9.0,15.0,1.0,4.0,,,,,88.0,29.0,6.8,13.0,0.361723,1,,,,2.0,,6.0,,2.0,,,,,3.0,1.0,2.0,1.0,,0.0825,,1.0,,,,1.0,,1.0,,,,,,1.0,
12117219,home,Corinthians,Ángel Romero,angel-romero,Á. Romero,F,29,177,10605,M,ÁRomero,1197041,EUR,710208000,F,11,11,True,13.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,11.0,7.0,4.0,,,,,31.0,29.0,7.7,6.0,0.00680196,2,,,,,1.0,3.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,0.464,,1.0,,6.0,5.0,,,,,,1.0,0.8986,1.0,,
12117219,home,Corinthians,Raniele,raniele,Raniele,M,14,184,6186,M,R14niele,866392,EUR,851990400,M,14,14,True,2.0,2.0,1.0,1.0,0.0,,,2.0,3.0,1.0,,,,,,13.0,5.0,6.6,1.0,0.00375388,0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
12117219,home,Corinthians,Ryan Gustavo,ryan-gustavo,Ryan,M,37,170,2855,M,,1170779,EUR,1058227200,M,37,37,True,1.0,,,,0.0,,,,1.0,,,,,,,13.0,3.0,6.4,1.0,,0,,,,,,4.0,3.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,
12117219,home,Corinthians,Matheus Donelli,matheus-donelli,M. Donelli,G,32,187,3371,M,,1002609,EUR,1021593600,G,32,32,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,home,Corinthians,Matheuzinho,matheuzinho,Matheuzinho,D,2,171,7286,M,mateuzinhoo,931540,EUR,968371200,D,2,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,home,Corinthians,Hugo,hugo,Hugo,D,,179,3173,M,,1017827,EUR,872812800,D,46,46,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,home,Corinthians,Gustavo Henrique,gustavo-henrique,G. Henrique,D,13,195,5441,M,,243181,EUR,732931200,D,13,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,home,Corinthians,Breno Bidon,breno-bidon,B. Bidon,M,27,174,9937,M,BrenoBidon,1199261,EUR,1108857600,M,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
