match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_wasFouled,stat_totalContest,stat_wonContest,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_lastManTackle,stat_errorLeadToAGoal,stat_punches,stat_outfielderBlock,stat_totalOffside
11067595,home,Botafogo,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,12,12,False,15.0,14.0,6.0,5.0,12.0,13.0,2.0,2.0,1.0,1.0,11.0,2.0,3.0,4.0,90.0,32.0,7.0,1.0,0.0,0.0,0.00062362,0,-0.4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067595,home,Botafogo,Leonel Di Plácido,,,leonel-di-placido,L. Di Plácido,D,24,173,273,M,546338,EUR,759715200,D,24,24,False,44.0,39.0,2.0,1.0,16.0,19.0,25.0,28.0,,4.0,5.0,,,,90.0,67.0,6.7,10.0,0.0363,0.0,0.266868,1,,3.0,2.0,7.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,
11067595,home,Botafogo,Philipe Sampaio,,,philipe-sampaio,P. Sampaio,D,,191,349,M,588996,EUR,784512000,D,94,94,False,43.0,39.0,5.0,2.0,31.0,32.0,9.0,12.0,3.0,5.0,7.0,,,,90.0,56.0,6.8,4.0,0.0,0.0,0.033351,0,,1.0,1.0,4.0,,,,4.0,2.0,1.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,
11067595,home,Botafogo,Víctor Cuesta,,,victor-cuesta,Víctor Cuesta,D,31,187,553,M,587148,EUR,595900800,D,15,15,False,65.0,60.0,9.0,6.0,38.0,42.0,22.0,23.0,1.0,6.0,5.0,,,,90.0,82.0,7.4,7.0,0.1077,0.0,0.0349114,1,,,,3.0,,1.0,1.0,2.0,5.0,4.0,2.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,
11067595,home,Botafogo,Marçal,,,marcal,Marçal,D,21,178,1062,M,143593,EUR,603849600,D,21,21,False,69.0,57.0,3.0,1.0,18.0,23.0,40.0,53.0,2.0,7.0,7.0,,,,90.0,101.0,6.7,20.0,0.0626,0.0,0.0748067,2,,7.0,1.0,6.0,,,1.0,2.0,2.0,2.0,1.0,,2.0,,2.0,2.0,3.0,1.0,True,1.0,1.0,,,,,,,,,,
11067595,home,Botafogo,Tchê Tchê,,,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,M,6,6,False,42.0,39.0,4.0,3.0,19.0,19.0,20.0,23.0,,3.0,4.0,,,,83.0,51.0,6.5,6.0,0.0456,0.114,0.0398383,1,,,,5.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,3.0,1.0,,,,1.0,,,,,,,,,
11067595,home,Botafogo,Marlon Freitas,,,marlon-freitas,M. Freitas,M,17,185,3107,M,840202,EUR,796262400,M,17,17,False,74.0,66.0,11.0,10.0,27.0,29.0,39.0,45.0,1.0,2.0,6.0,,,,90.0,79.0,6.8,8.0,0.0648,0.0,0.0530577,1,,,,4.0,3.0,,,1.0,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,
11067595,home,Botafogo,Gustavo Sauer,,,gustavo-sauer,Gustavo Sauer,M,7,181,393,M,904505,EUR,736128000,M,10,10,False,21.0,18.0,1.0,1.0,3.0,4.0,16.0,20.0,2.0,6.0,1.0,,,,66.0,39.0,8.9,11.0,0.2045,0.3568,0.16759,3,,3.0,1.0,6.0,3.0,3.0,,,1.0,2.0,1.0,3.0,,1.0,,,2.0,2.0,,,1.0,2.0,1.0,1.0,2.0,,,,,,
11067595,home,Botafogo,Eduardo,,,eduardo,Eduardo,M,21,184,1737,M,76507,EUR,624585600,M,33,33,False,26.0,22.0,3.0,2.0,7.0,8.0,15.0,18.0,,,2.0,,,,83.0,30.0,6.6,5.0,0.0,0.0,0.266542,0,,,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11067595,home,Botafogo,Victor Sá,,,victor-sa,Victor Sá,M,7,178,521,M,799634,EUR,764726400,M,7,7,False,20.0,19.0,1.0,1.0,8.0,8.0,12.0,16.0,1.0,7.0,,,,,69.0,42.0,7.2,14.0,0.0,0.0,0.158964,0,,4.0,1.0,9.0,1.0,3.0,,,,1.0,1.0,4.0,1.0,2.0,1.0,3.0,5.0,2.0,,,,,2.0,1.0,,,,,,,
