match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_accurateCross,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,player_sofascoreId,stat_onTargetScoringAttempt,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
11067483,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,18.0,17.0,2.0,1.0,17.0,17.0,1.0,7.0,1.0,3.0,4.0,90.0,28.0,7.1,1.0,3.378e-05,0,1.4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067483,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,D,2,2,False,,51.0,45.0,,,20.0,24.0,35.0,8.0,,,,90.0,72.0,6.9,15.0,0.0220541,0,,,,25.0,8.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
11067483,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,55.0,49.0,5.0,2.0,32.0,34.0,21.0,6.0,,,,90.0,65.0,6.8,6.0,0.00718321,1,,,,17.0,,1.0,3.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0366,,,,,,,,,,,
11067483,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186,199,M,373740,EUR,763257600,D,33,33,False,,54.0,47.0,4.0,2.0,28.0,31.0,23.0,6.0,,,,90.0,61.0,6.3,9.0,0.0189626,0,,,,19.0,,,5.0,1.0,,,1.0,,1.0,2.0,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,,
11067483,home,Cuiabá,Rikelme,rikelme,Rikelme,D,16,184,260,M,1102383,EUR,1058313600,D,20,20,False,,38.0,28.0,6.0,2.0,11.0,14.0,26.0,5.0,,,,85.0,61.0,7.4,15.0,0.113968,1,,,,18.0,2.0,2.0,2.0,7.0,1.0,1.0,,3.0,2.0,,2.0,,1.0,3.0,,2.0,1.0,0.0092,1.0,4.0,,,,,,,,,
11067483,home,Cuiabá,Fernando Sobral,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,False,,34.0,31.0,1.0,1.0,11.0,12.0,25.0,3.0,,,,67.0,53.0,6.7,11.0,0.0411167,4,,,,20.0,3.0,1.0,5.0,4.0,2.0,2.0,,1.0,2.0,1.0,2.0,,2.0,,,1.0,,0.089,,1.0,3.0,2.0,,,,,,,
11067483,home,Cuiabá,Raniele,raniele,Raniele,M,14,184,6186,M,866392,EUR,851990400,M,14,14,False,,59.0,49.0,4.0,2.0,21.0,25.0,35.0,7.0,,,,90.0,73.0,7.1,12.0,0.0390593,2,,,,28.0,1.0,4.0,3.0,7.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,,,2.0,0.0483,,1.0,,,R14niele,1.0,,,,,
11067483,home,Cuiabá,Lucas Mineiro,lucas-mineiro,L. Mineiro,M,8,188,116,M,840077,EUR,825120000,M,31,31,False,,22.0,18.0,1.0,,5.0,7.0,15.0,5.0,,,,81.0,27.0,6.7,4.0,0.0180452,1,,,,13.0,,,2.0,2.0,,,1.0,1.0,,,2.0,,1.0,1.0,,,1.0,0.0484,,1.0,,,,,,,,,
11067483,home,Cuiabá,Clayson,clayson,Clayson,M,29,166,372,M,811308,EUR,795571200,F,29,29,False,,31.0,21.0,2.0,1.0,8.0,10.0,32.0,2.0,,,,81.0,56.0,7.6,18.0,0.506683,4,,,,17.0,11.0,,2.0,6.0,4.0,3.0,1.0,2.0,,,,1.0,3.0,,,1.0,1.0,0.1459,4.0,3.0,,1.0,,,1.0,,,,
11067483,home,Cuiabá,Deyverson,deyverson,Deyverson,F,16,185,4460,M,270287,EUR,673660800,F,16,16,False,,19.0,12.0,2.0,1.0,3.0,4.0,16.0,4.0,,,,90.0,34.0,7.2,9.0,0.0631865,4,,,,9.0,1.0,4.0,4.0,8.0,1.0,1.0,,,,,3.0,,1.0,2.0,,,3.0,0.2064,,1.0,1.0,2.0,,1.0,1.0,,,,
