match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_outfielderBlock,stat_challengeLost,stat_totalCross,stat_goals,stat_wasFouled,stat_penaltyWon,player_firstName,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_penaltyMiss,player_lastName,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAShot,stat_hitWoodwork
14083099,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,19.0,18.0,4.0,3.0,0.0,17.0,17.0,1.0,2.0,2.0,1.0,90.0,21.0,6.9,1.0,0.00023997,-0.0017,0,0.0461,0.07,0.02,0.14,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083099,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,D,8,8,False,82.0,78.0,5.0,5.0,1.0,22.0,23.0,56.0,59.0,7.0,,90.0,97.0,8.1,5.0,0.0689492,,4,,0.35,0.31,0.77,,True,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,0.1209,0.0244,1.0,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083099,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,138748,M,EMilitão,822519,EUR,885081600,D,3,3,False,58.0,52.0,5.0,2.0,0.0,21.0,22.0,31.0,36.0,7.0,,90.0,68.0,7.5,8.0,0.0175533,,1,,0.29,0.15,0.53,,,6.0,5.0,,,1.0,1.0,1.0,,3.0,3.0,1.0,3.0,0.041,,1.0,-0.06,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083099,home,Real Madrid,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,deanhuijsen,1176744,EUR,1113436800,D,24,24,False,62.0,54.0,6.0,5.0,0.0,17.0,18.0,37.0,44.0,5.0,,68.0,70.0,7.5,8.0,0.0302099,,0,,0.34,0.18,0.17,,,2.0,3.0,,,,5.0,,,2.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14083099,home,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,79899,M,,1085081,EUR,1048377600,D,18,18,False,89.0,83.0,5.0,3.0,0.0,28.0,30.0,55.0,59.0,12.0,,90.0,123.0,9.4,10.0,0.0499604,,1,,0.34,0.23,0.29,,,1.0,7.0,,1.0,,,2.0,,6.0,3.0,,,0.0264,0.5083,2.0,0.56,1.0,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14083099,home,Real Madrid,Arda Güler,arda-guler,A. Güler,M,15,176,399381,M,AGüler,1091116,EUR,1109289600,M,15,15,False,26.0,23.0,2.0,2.0,1.0,3.0,3.0,20.0,23.0,2.0,,45.0,37.0,7.5,7.0,0.206542,,2,,0.5,0.04,0.15,,,3.0,3.0,,2.0,,,1.0,,1.0,,1.0,1.0,0.3729,0.8378,2.0,-0.15,,1.0,1.0,,,2.0,,,,Arda Guler,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
14083099,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,29.0,26.0,1.0,,0.0,10.0,10.0,16.0,19.0,3.0,,45.0,32.0,6.8,3.0,0.0185504,,0,,0.14,0.11,0.13,,,2.0,3.0,,,,1.0,,,2.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14083099,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,83.0,72.0,7.0,4.0,0.0,12.0,12.0,60.0,71.0,2.0,,90.0,107.0,7.7,20.0,0.110353,,3,,-0.08,0.36,-0.01,,,9.0,4.0,,2.0,1.0,,,,1.0,1.0,3.0,3.0,0.1124,0.6322,2.0,0.51,1.0,,3.0,,,,1.0,1.0,,,,5.0,2.0,,,1.0,,,,,,,,,,,
14083099,home,Real Madrid,Franco Mastantuono,franco-mastantuono,F. Mastantuono,M,30,177,178430,M,franco.mastantuono,1403559,EUR,1187049600,F,30,30,False,46.0,44.0,1.0,1.0,0.0,11.0,13.0,33.0,33.0,4.0,,90.0,65.0,7.0,14.0,0.290494,,0,,0.46,0.26,-0.1,,,7.0,2.0,,,,,,,,,3.0,1.0,,,1.0,,,,2.0,,2.0,7.0,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,
14083099,home,Real Madrid,Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,178,1731608,M,KMbappé,826643,EUR,914112000,F,10,10,False,46.0,42.0,3.0,3.0,0.0,4.0,4.0,38.0,42.0,,,79.0,58.0,7.7,10.0,0.194085,,5,,0.14,0.33,-0.1,,,5.0,,1.0,3.0,1.0,,,,,,3.0,1.0,1.2725,1.9877,3.0,0.58,,,1.0,,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,
