match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_aerialLost,stat_fouls,stat_accurateCross,stat_totalContest,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon,captain,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded
11124858,home,Oud-Heverlee Leuven,Valentin Cojocaru,valentin-cojocaru,V. Cojocaru,G,77,195,225,M,182363,EUR,812505600,G,12,12,False,42.0,29.0,17.0,5.0,26.0,28.0,3.0,14.0,1.0,1.0,10.0,1.0,3.0,1.0,1.0,1.0,90.0,53.0,6.4,13.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Louis Patris,louis-patris,L. Patris,M,27,187,275,M,923972,EUR,991872000,D,25,25,False,24.0,15.0,7.0,3.0,8.0,10.0,7.0,17.0,6.0,2.0,4.0,,,,,,90.0,46.0,6.9,15.0,,0,,,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Ewoud Pletinckx,ewoud-pletinckx,E. Pletinckx,D,28,190,193,M,949101,EUR,971136000,D,28,28,False,31.0,28.0,5.0,3.0,25.0,25.0,3.0,6.0,2.0,7.0,3.0,,,,,,90.0,45.0,7.0,3.0,,0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Federico Ricca,federico-ricca,F. Ricca,D,16,175,168,M,590036,EUR,786240000,D,14,14,False,67.0,61.0,4.0,3.0,56.0,61.0,5.0,6.0,4.0,3.0,6.0,1.0,,,,,90.0,74.0,6.7,6.0,,0,Federico,Ricca,,2.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Hamza Mendyl,hamza-mendyl,H. Mendyl,D,37,179,703,M,846447,EUR,877392000,D,20,20,False,33.0,29.0,2.0,2.0,18.0,20.0,12.0,14.0,2.0,3.0,1.0,1.0,,,,,88.0,50.0,6.7,6.0,,0,,,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Casper De Norre,casper-de-norre,C. D. Norre,M,24,175,155,M,823654,EUR,855273600,M,24,24,False,76.0,65.0,9.0,5.0,31.0,36.0,34.0,40.0,2.0,1.0,6.0,,,,,,90.0,84.0,6.5,13.0,,0,,,,1.0,5.0,1.0,2.0,1.0,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Siebe Schrijvers,siebe-schrijvers,S. Schrijvers,M,8,178,212,M,190413,EUR,837648000,M,8,8,False,48.0,40.0,6.0,1.0,25.0,27.0,15.0,23.0,3.0,3.0,5.0,,,,,,89.0,65.0,7.1,11.0,1.0,3,,,2.0,,2.0,1.0,3.0,2.0,1.0,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Mousa Tamari,mousa-al-taamari,M. Tamari,F,11,175,5676,M,876600,EUR,865900800,M,11,11,False,14.0,10.0,4.0,2.0,3.0,3.0,7.0,13.0,7.0,,4.0,4.0,,,,,89.0,36.0,6.8,13.0,1.0,3,,,2.0,,7.0,1.0,2.0,,,1.0,,,,,7.0,2.0,3.0,1.0,,1.0,2.0,1.0,,,,,,,,
11124858,home,Oud-Heverlee Leuven,Mathieu Maertens,mathieu-maertens,M. Maertens,F,33,182,86,M,360652,EUR,796262400,M,33,33,False,20.0,15.0,5.0,3.0,2.0,3.0,13.0,17.0,1.0,,5.0,1.0,,,,,90.0,27.0,7.3,9.0,3.0,1,,,,,5.0,,1.0,,,3.0,,2.0,2.0,,,1.0,,,1.0,,,,True,2.0,1.0,1.0,,,,
11124858,home,Oud-Heverlee Leuven,Jón Dagur Þórsteinsson,jon-dagur-thorsteinsson,J. D. Þórsteinsson,F,16,177,285,M,862449,EUR,912038400,M,7,7,False,15.0,9.0,2.0,1.0,3.0,5.0,8.0,12.0,4.0,,3.0,,,,,,89.0,36.0,8.5,14.0,2.0,4,,,2.0,,5.0,2.0,,3.0,2.0,3.0,,,,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,1.0,,2.0,,,
