match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_fouls,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_clearanceOffLine,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_unsuccessfulTouch,stat_totalContest,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_hitWoodwork
12436575,home,Southampton,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,30,30,False,42.0,16.0,35.0,9.0,0.0,8.0,10.0,8.0,32.0,1.0,1.0,4.0,10.0,1.0,2.0,4.0,3.0,90.0,58.0,7.7,26.0,0.00195517,0,0.6609,,,,,,,,,,,,,,,,,,,,,,,,,,
12436575,home,Southampton,Taylor Harwood-Bellis,,,taylor-harwood-bellis,T. Harwood-Bellis,D,6,185,1654,M,,980637,EUR,1012348800,D,6,6,False,34.0,27.0,5.0,4.0,0.0,20.0,22.0,7.0,12.0,4.0,4.0,4.0,1.0,,,,,90.0,44.0,7.2,10.0,0.00560854,0,,3.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
12436575,home,Southampton,Jan Bednarek,,,jan-bednarek,J. Bednarek,D,5,189,6978,M,janbednarek_,286085,EUR,829267200,D,35,35,False,19.0,17.0,,,0.0,14.0,15.0,3.0,4.0,3.0,5.0,13.0,,,,,,90.0,40.0,7.9,2.0,0.00051017,0,,1.0,1.0,,3.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12436575,home,Southampton,Jack Stephens,Jack,Stephens,jack-stephens,J. Stephens,D,5,185,213,M,,134361,EUR,759628800,D,5,5,False,21.0,19.0,4.0,2.0,0.0,17.0,19.0,2.0,2.0,,,5.0,2.0,,,,,90.0,33.0,7.7,3.0,0.00126397,0,,2.0,2.0,,3.0,,,,,,True,1.0,,,,,,,,,,,,,,,
12436575,home,Southampton,James Bree,,,james-bree,J. Bree,D,14,178,148,M,,555406,EUR,881798400,M,14,14,False,19.0,16.0,2.0,1.0,0.0,15.0,17.0,2.0,5.0,1.0,4.0,3.0,6.0,,,,,90.0,40.0,6.7,7.0,0.0334332,0,,2.0,8.0,5.0,,,,3.0,3.0,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,
12436575,home,Southampton,Flynn Downes,Flynn,Downes,flynn-downes,F. Downes,M,4,172,375,M,,879810,EUR,916790400,M,4,4,False,19.0,16.0,2.0,,0.0,8.0,9.0,8.0,10.0,2.0,5.0,8.0,1.0,,,,,90.0,35.0,6.5,4.0,0.00468943,0,,,4.0,2.0,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,,
12436575,home,Southampton,Lesley Ugochukwu,,,lesley-ugochukwu,L. Ugochukwu,M,8,188,5004,M,l.ugochukwu8,1048916,EUR,1080259200,M,26,26,False,9.0,7.0,,,0.0,6.0,7.0,1.0,2.0,,1.0,,1.0,,,,,45.0,11.0,6.3,2.0,8.327e-05,0,,,5.0,2.0,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,
12436575,home,Southampton,Welington,,,welington,Welington,M,34,170,939,M,,1009920,EUR,982540800,M,34,34,False,26.0,21.0,7.0,4.0,0.0,15.0,18.0,6.0,9.0,2.0,5.0,6.0,7.0,,,,,88.0,50.0,7.1,11.0,0.0058712,0,,1.0,4.0,,,,3.0,3.0,,,,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,
12436575,home,Southampton,Tyler Dibling,Tyler,Dibling,tyler-dibling,T. Dibling,M,20,178,2847,M,,1174472,EUR,1140134400,F,33,33,False,18.0,17.0,1.0,1.0,0.0,12.0,12.0,5.0,6.0,,1.0,1.0,4.0,,,,,66.0,24.0,6.5,5.0,0.00608057,0,,,3.0,,,1.0,,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,
12436575,home,Southampton,Mateus Fernandes,,,mateus-fernandes,M. Fernandes,M,18,178,3830,M,,1142562,EUR,1089417600,F,18,18,False,18.0,14.0,,,0.0,9.0,11.0,5.0,8.0,1.0,4.0,3.0,4.0,,,,,89.0,37.0,7.0,8.0,0.119662,1,,,4.0,2.0,1.0,2.0,5.0,,,2.0,,,1.0,,,3.0,1.0,,1.0,1.0,1.0,0.0714,,,,,
