match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_aerialWon,stat_dispossessed,stat_totalOffside,stat_wonContest,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_unsuccessfulTouch,player_firstName,player_lastName,captain,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_punches,stat_bigChanceMissed,player_sofascoreId
11396347,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,37.0,29.0,12.0,6.0,27.0,32.0,2.0,5.0,1.0,11.0,1.0,1.0,2.0,2.0,3.0,90.0,52.0,7.0,10.0,0.00102719,0,0.4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396347,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,60.0,51.0,2.0,,26.0,31.0,26.0,31.0,,4.0,,,,,,90.0,79.0,6.4,11.0,0.244405,0,,2.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11396347,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,54.0,50.0,2.0,,39.0,42.0,11.0,12.0,1.0,4.0,,,,,,90.0,66.0,6.3,6.0,0.00721302,0,,,,1.0,3.0,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11396347,home,Borussia M'gladbach,Maximilian Wöber,maximilian-wober,M. Wöber,D,39,188,659,M,794962,EUR,886550400,D,39,39,False,81.0,71.0,6.0,1.0,54.0,58.0,17.0,23.0,6.0,9.0,2.0,,,,,90.0,100.0,6.7,11.0,0.00472385,0,,,,2.0,3.0,,2.0,6.0,1.0,2.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
11396347,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,44.0,36.0,1.0,,8.0,10.0,29.0,40.0,4.0,,,,,,,87.0,67.0,7.1,17.0,0.122547,2,,6.0,1.0,2.0,4.0,,1.0,3.0,1.0,2.0,1.0,,,,,1.0,1.0,2.0,0.1423,2.0,,,,,,,,,,,,,
11396347,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,39.0,30.0,,,14.0,16.0,16.0,24.0,6.0,5.0,2.0,,,,,81.0,59.0,8.8,12.0,0.0143057,3,,1.0,,,4.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,2.0,0.8014,,2.0,2.0,1.0,1.0,,,,,,,,,
11396347,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,60.0,56.0,5.0,4.0,32.0,33.0,24.0,27.0,6.0,6.0,3.0,,,,,90.0,67.0,7.0,7.0,0.0195082,0,,,,1.0,4.0,1.0,,1.0,,3.0,,,,3.0,2.0,,,,,1.0,,,,3.0,,,True,,,,,,
11396347,home,Borussia M'gladbach,Manu Koné,manu-kone,M. Koné,M,17,186,6974,M,974087,EUR,990057600,M,17,17,False,39.0,33.0,1.0,,15.0,18.0,18.0,21.0,8.0,4.0,1.0,,,,,87.0,62.0,6.7,13.0,0.0740759,3,,,,3.0,11.0,1.0,6.0,,2.0,3.0,3.0,,3.0,,1.0,1.0,1.0,1.0,0.0886,2.0,1.0,,,,,,,1.0,,,,,
11396347,home,Borussia M'gladbach,Luca Netz,netz-luca,L. Netz,D,25,180,641,M,979144,EUR,1052956800,M,20,20,False,52.0,47.0,3.0,1.0,26.0,27.0,21.0,28.0,2.0,4.0,2.0,,,,,90.0,71.0,7.0,10.0,0.102055,0,,3.0,,2.0,5.0,1.0,1.0,3.0,,,,,,1.0,1.0,,,,,4.0,,,1.0,1.0,,,,,,,,,
11396347,home,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,F,14,14,False,38.0,31.0,2.0,2.0,11.0,12.0,20.0,27.0,7.0,2.0,1.0,,,,,89.0,52.0,7.6,10.0,0.143569,4,,1.0,,1.0,3.0,,3.0,,,1.0,1.0,1.0,2.0,,,3.0,,3.0,0.38,1.0,1.0,,,,,,,,,,,,
