match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_totalClearance,captain,stat_blockedScoringAttempt,stat_interceptionWon,stat_challengeLost,stat_totalOffside,stat_penaltyWon,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_penaltyMiss,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_penaltyConceded,stat_errorLeadToAShot
11352365,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,35.0,30.0,7.0,2.0,29.0,29.0,1.0,6.0,10.0,2.0,1.0,90.0,46.0,6.5,5.0,0.00022746,0,-0.4029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352365,home,Liverpool,Conor Bradley,bradley-conor,C. Bradley,D,12,181,15946,M,conorbradley03,1008402,EUR,1057708800,D,84,84,False,31.0,25.0,5.0,3.0,6.0,6.0,21.0,28.0,2.0,,,68.0,64.0,9.5,15.0,0.362068,1,,,,2.0,3.0,2.0,1.0,5.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,0.0927,0.4796,4.0,,,,,,,,,,,,,,,,,,
11352365,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,65.0,53.0,12.0,7.0,27.0,29.0,26.0,36.0,5.0,,,90.0,72.0,7.1,13.0,0.13712,0,,,,,,,,1.0,3.0,,,,,,,2.0,2.0,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11352365,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,64.0,57.0,6.0,3.0,39.0,40.0,18.0,24.0,5.0,,,90.0,69.0,6.9,7.0,0.149141,1,,,,,,,1.0,1.0,4.0,,,,,,,,,,1.0,,0.0201,,,3.0,1.0,True,1.0,2.0,,,,,,,,,,,,,
11352365,home,Liverpool,Joe Gomez,joe-gomez,J. Gomez,D,2,188,14125,M,joegomez5,318927,EUR,864345600,D,2,2,False,40.0,35.0,8.0,5.0,12.0,14.0,23.0,28.0,3.0,,,69.0,53.0,7.3,9.0,0.0330841,0,,,,,2.0,,,2.0,4.0,,1.0,,,,,3.0,3.0,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11352365,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,M,8,8,False,43.0,39.0,2.0,2.0,11.0,13.0,32.0,42.0,6.0,,,69.0,68.0,7.9,16.0,0.202468,3,,,,,12.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.2598,0.0515,2.0,,,,2.0,,,,,,,,,,,,,,
11352365,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,72.0,65.0,1.0,1.0,23.0,24.0,42.0,48.0,4.0,,,90.0,98.0,7.6,8.0,0.0394533,3,,,,,,,1.0,9.0,11.0,,1.0,1.0,,,,8.0,6.0,,2.0,4.0,0.126,,1.0,,1.0,,3.0,1.0,4.0,,,,,,,,,,,,
11352365,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,45.0,40.0,,,17.0,17.0,23.0,28.0,6.0,,,83.0,58.0,7.0,7.0,0.0325744,1,,,,,,,2.0,7.0,3.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,0.0274,0.3959,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,
11352365,home,Liverpool,Diogo Jota,diogo-jota,D. Jota,F,,178,31287,M,DiogoJ18,606164,EUR,849657600,F,20,20,False,31.0,18.0,1.0,,3.0,5.0,15.0,28.0,5.0,,,68.0,50.0,8.0,19.0,0.048422,2,,,,,2.0,,1.0,6.0,5.0,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,0.3598,0.9709,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,
11352365,home,Liverpool,Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,70760,M,Darwin,924871,EUR,930182400,F,9,9,False,17.0,16.0,,,4.0,5.0,13.0,14.0,5.0,,,90.0,31.0,7.5,2.0,0.348386,11,,,,1.0,2.0,1.0,2.0,5.0,1.0,,1.0,1.0,1.0,5.0,,,,,,3.0,1.4461,0.75,1.0,,,,2.0,,,1.0,,2.0,4.0,4.0,1.0,,,,,,
11352365,home,Liverpool,Luis Díaz,luis-diaz,L. Díaz,F,14,178,142017,M,LuisDíaz,883537,EUR,853113600,F,7,7,False,38.0,30.0,2.0,2.0,7.0,8.0,23.0,32.0,7.0,,,90.0,56.0,8.9,13.0,0.0501723,3,,,,1.0,2.0,,1.0,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,,0.474,0.8511,2.0,,,,,,,,,,1.0,,,,,,,,
