match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_wonTackle,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
13472834,home,Juventude,Ruan Carneiro,,,ruan-carneiro,R. Carneiro,G,21,195.0,70,M,1014248,EUR,638582400,G,21,21,False,28.0,18.0,17.0,7.0,0.0,14.0,15.0,4.0,13.0,5.0,1.0,1.0,1.0,90.0,34.0,7.1,10.0,0.00070682,0,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472834,home,Juventude,Igor Formiga,,,igor-formiga,Igor Formiga,D,32,175.0,269,M,1009030,EUR,915753600,D,32,32,False,44.0,31.0,8.0,2.0,1.0,16.0,18.0,15.0,26.0,3.0,,,,90.0,77.0,8.4,20.0,0.539117,2,,7.0,4.0,5.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0435,0.0298,4.0,,,,,,,,,,,
13472834,home,Juventude,Rodrigo Sam,,,rodrigo-sam,R. Sam,D,34,185.0,108,M,794640,EUR,806544000,D,34,34,False,30.0,29.0,3.0,3.0,0.0,27.0,28.0,2.0,2.0,5.0,,,,90.0,43.0,7.1,2.0,0.137226,0,,1.0,1.0,4.0,1.0,1.0,,,,,,,3.0,,1.0,,3.0,,,1.0,1.0,8.0,,,,,,,,,
13472834,home,Juventude,Marcos Paulo,,,marcos-paulo,M. Paulo,D,47,183.0,176,M,1170913,EUR,1042848000,D,47,47,False,31.0,23.0,4.0,1.0,0.0,20.0,22.0,3.0,9.0,,,,,45.0,36.0,7.0,9.0,0.00151138,1,,,,,6.0,,2.0,2.0,,1.0,,,,1.0,1.0,,,0.0584,,1.0,3.0,,1.0,,,,,,,,
13472834,home,Juventude,Marcelo Hermes,,,marcelo-hermes,M. Hermes,D,22,177.0,288,M,783490,EUR,791596800,D,22,22,False,28.0,24.0,4.0,2.0,0.0,18.0,19.0,6.0,9.0,2.0,,,,90.0,55.0,7.1,11.0,0.00997348,2,,4.0,1.0,5.0,4.0,,2.0,1.0,,,1.0,,1.0,,,2.0,2.0,0.0282,0.239,,1.0,5.0,,1.0,1.0,1.0,,,,,
13472834,home,Juventude,Rafael Bilú,,,rafael-bilu,Rafael Bilú,F,99,174.0,313,M,959005,EUR,924652800,M,99,99,False,17.0,14.0,,,0.0,4.0,4.0,10.0,13.0,,,,,63.0,35.0,6.6,10.0,0.0935864,1,,5.0,2.0,9.0,4.0,3.0,1.0,1.0,,1.0,,,,,2.0,3.0,3.0,0.0181,,2.0,,,,1.0,2.0,,,,,,
13472834,home,Juventude,Jádson,,,jadson,Jádson,M,16,171.0,454,M,243651,EUR,746668800,M,16,16,False,43.0,34.0,3.0,3.0,0.0,15.0,18.0,19.0,25.0,10.0,,,,90.0,58.0,7.1,11.0,0.0728211,1,,2.0,2.0,5.0,4.0,,2.0,2.0,,1.0,,,,,,2.0,2.0,0.0637,,1.0,,3.0,,1.0,2.0,,True,,,,
13472834,home,Juventude,Caique Gonçalves,,,caique-goncalves,Caique,M,95,178.0,364,M,871032,EUR,813283200,M,95,95,False,38.0,31.0,5.0,4.0,0.0,20.0,24.0,11.0,14.0,5.0,,,,90.0,46.0,6.8,8.0,0.00260209,0,,,,6.0,3.0,3.0,1.0,1.0,,,,,,1.0,1.0,1.0,3.0,,,,,2.0,1.0,,,,,,,,
13472834,home,Juventude,Peixoto,,,peixoto,Peixoto,M,72,181.0,94,M,1049781,EUR,867628800,M,72,72,False,24.0,18.0,2.0,1.0,0.0,6.0,9.0,12.0,15.0,4.0,,,,81.0,48.0,8.0,14.0,0.0151262,4,,2.0,,4.0,6.0,,3.0,3.0,,3.0,1.0,1.0,1.0,1.0,2.0,,,0.3456,0.7464,1.0,2.0,,,1.0,3.0,,,1.0,,,
13472834,home,Juventude,Gabriel Taliari,,,gabriel-taliari,G. Taliari,F,19,176.0,441,M,933955,EUR,860889600,F,19,19,False,16.0,13.0,,,0.0,3.0,4.0,10.0,12.0,2.0,,,,81.0,32.0,7.4,7.0,0.0233664,3,,,,5.0,5.0,,,,,3.0,,1.0,,3.0,2.0,2.0,2.0,0.1587,,,,,3.0,2.0,1.0,,,,,,
