match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_wasFouled,stat_outfielderBlock,stat_dispossessed,stat_keyPass,player_sofascoreId,stat_accurateCross,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10385704,home,Leicester City,Danny Ward,danny-ward,D. Ward,G,21,191,698,M,197428,EUR,740707200,G,1,1,False,26.0,20.0,6.0,20.0,22.0,4.0,6.0,1.0,90.0,31.0,7.2,6.0,0.0,0.0,4.175e-05,0,0.2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385704,home,Leicester City,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,27,27,False,47.0,31.0,3.0,20.0,28.0,21.0,4.0,,90.0,76.0,7.5,22.0,0.2425,0.0458,0.016193,2,,1.0,11.0,2.0,1.0,2.0,7.0,7.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,
10385704,home,Leicester City,Daniel Amartey,daniel-amartey,D. Amartey,M,,188,1219,M,308526,EUR,787968000,D,18,18,False,75.0,70.0,3.0,50.0,52.0,23.0,5.0,,90.0,81.0,7.0,6.0,0.0,0.0,0.0100849,0,,1.0,20.0,,3.0,,3.0,2.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,
10385704,home,Leicester City,Wout Faes,wout-faes,W. Faes,D,25,185,1743,M,361696,EUR,891561600,D,3,3,False,86.0,79.0,6.0,57.0,60.0,26.0,9.0,,90.0,96.0,7.5,8.0,0.0,0.0,0.00612777,0,,2.0,22.0,,2.0,2.0,4.0,5.0,,,,,,,3.0,3.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,
10385704,home,Leicester City,James Justin,james-justin,J. Justin,D,24,183,1165,M,827681,EUR,888192000,D,2,2,False,63.0,54.0,6.0,28.0,32.0,32.0,1.0,,90.0,89.0,7.3,13.0,0.016,0.0,0.0718682,1,,2.0,26.0,1.0,1.0,1.0,4.0,6.0,,2.0,,1.0,,2.0,3.0,3.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,
10385704,home,Leicester City,Boubakary Soumaré,boubakary-soumare,B. Soumaré,M,34,188,1043,M,887581,EUR,920073600,M,42,42,False,40.0,36.0,,18.0,18.0,22.0,4.0,,65.0,52.0,7.1,6.0,0.0307,0.0,0.0134893,1,,,18.0,,,,6.0,4.0,2.0,,,1.0,,2.0,1.0,4.0,3.0,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
10385704,home,Leicester City,James Maddison,james-maddison,J. Maddison,M,10,175,15672,M,356398,EUR,848707200,M,10,10,False,44.0,34.0,4.0,6.0,8.0,45.0,2.0,,90.0,74.0,7.8,24.0,0.3826,0.2431,0.232899,4,,1.0,29.0,9.0,2.0,,4.0,10.0,,2.0,,2.0,1.0,,,6.0,1.0,3.0,1.0,,,4.0,,,2.0,Madders,1.0,1.0,,,,,,,,,
10385704,home,Leicester City,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,331737,EUR,862963200,M,8,8,False,77.0,66.0,5.0,32.0,33.0,46.0,9.0,,82.0,91.0,6.8,14.0,0.0,0.0,0.0367097,0,,3.0,34.0,2.0,,2.0,7.0,3.0,5.0,,,,,2.0,1.0,1.0,,,2.0,,,,,,2.0,youritielemans,,,True,,,,,,,,
10385704,home,Leicester City,Kiernan Dewsbury-Hall,dewsbury-hall-kiernan,K. Dewsbury-Hall,M,22,178,10632,M,861970,EUR,905040000,M,22,22,False,42.0,36.0,5.0,13.0,15.0,28.0,4.0,,90.0,54.0,7.0,10.0,0.0689,0.0,0.0492154,1,,3.0,23.0,1.0,,1.0,5.0,7.0,3.0,1.0,1.0,,,,,2.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,kdh_8,,1.0,,,,,,,,,
10385704,home,Leicester City,Harvey Barnes,harvey-barnes,H. Barnes,F,11,181,5550,M,855647,EUR,881625600,M,7,7,False,24.0,23.0,,1.0,1.0,24.0,2.0,,85.0,40.0,6.2,10.0,0.1602,0.4732,0.138516,3,,,22.0,1.0,2.0,1.0,6.0,2.0,,2.0,1.0,,1.0,,,,,6.0,2.0,,,,,1.0,1.0,,,2.0,,1.0,,,,,,,
