match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,captain,stat_wasFouled,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_hitWoodwork,stat_errorLeadToAShot,player_sofascoreId
10438006,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,32.0,29.0,6.0,3.0,27.0,28.0,2.0,4.0,2.0,7.0,3.0,5.0,2.0,2.0,90.0,45.0,8.3,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438006,home,Gil Vicente,Carraça,carraca,Carraça,D,15,177,50,M,589020,EUR,730944000,D,15,15,False,56.0,47.0,6.0,2.0,20.0,23.0,28.0,48.0,1.0,9.0,,,,,90.0,90.0,8.0,24.0,1,,,15.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,
10438006,home,Gil Vicente,Tomás Araújo,tomas-araujo,T. Araújo,D,44,186,2711,M,983542,EUR,1021507200,D,72,72,False,75.0,63.0,11.0,9.0,39.0,44.0,24.0,31.0,3.0,4.0,,,,,90.0,81.0,7.1,12.0,0,,,,,,4.0,5.0,,,,,2.0,1.0,1.0,,2.0,1.0,4.0,2.0,,,,,,,,,,,,
10438006,home,Gil Vicente,Rúben Fernandes,ruben-fernandes,R. Fernandes,D,26,186,38,M,59751,EUR,515721600,D,26,26,False,59.0,48.0,8.0,2.0,40.0,44.0,8.0,15.0,5.0,4.0,,,,,90.0,67.0,6.6,12.0,0,,,,,2.0,4.0,1.0,,,,,1.0,,,1.0,,,1.0,2.0,True,,,,,,,,,,,
10438006,home,Gil Vicente,Adrián Marín,adrian-marin,A. Marín,D,21,181,96,M,547242,EUR,852768000,D,19,19,False,45.0,32.0,6.0,4.0,12.0,16.0,22.0,33.0,3.0,5.0,,,,,90.0,74.0,8.2,17.0,0,,,4.0,2.0,,1.0,8.0,2.0,2.0,1.0,,2.0,3.0,1.0,,1.0,2.0,2.0,,,1.0,,,,,,,,,,
10438006,home,Gil Vicente,Vítor Carvalho,vitor-carvalho,V. Carvalho,M,6,183,434,M,887754,EUR,864691200,M,21,21,False,78.0,70.0,2.0,2.0,38.0,41.0,32.0,38.0,2.0,8.0,,,,,90.0,94.0,7.5,11.0,2,,,1.0,,,3.0,8.0,,,,,2.0,2.0,,2.0,1.0,,5.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,
10438006,home,Gil Vicente,Giorgi Aburjania,giorgi-aburjania,G. Aburjania,M,29,187,130,M,156569,EUR,789004800,M,8,8,False,34.0,28.0,2.0,1.0,10.0,10.0,18.0,26.0,1.0,1.0,,,,,75.0,56.0,7.2,13.0,0,,,2.0,,1.0,4.0,8.0,1.0,1.0,,,1.0,4.0,,3.0,1.0,1.0,1.0,,,2.0,,,1.0,2.0,,,,,,
10438006,home,Gil Vicente,Murilo Souza,murilo-souza,M. Souza,F,77,176,196,M,611880,EUR,783561600,M,77,77,False,46.0,40.0,2.0,2.0,10.0,10.0,31.0,45.0,1.0,8.0,,,,,80.0,80.0,7.7,20.0,4,,,9.0,1.0,,7.0,8.0,8.0,3.0,,3.0,,3.0,2.0,,,4.0,,1.0,,2.0,,1.0,,1.0,,,,,,
10438006,home,Gil Vicente,Kanya Fujimoto,kanya-fujimoto,K. Fujimoto,M,27,176,609,M,925987,EUR,930787200,M,10,10,False,38.0,35.0,,,7.0,7.0,28.0,34.0,,2.0,,,,,76.0,56.0,7.0,11.0,2,,,3.0,,,3.0,7.0,2.0,,,1.0,,3.0,2.0,1.0,1.0,,1.0,,,3.0,,1.0,,,,,,,,
10438006,home,Gil Vicente,Marlon,marlon,Marlon,M,20,176,128,M,965796,EUR,874281600,M,11,11,False,28.0,22.0,1.0,,4.0,5.0,18.0,23.0,,8.0,,,,,80.0,50.0,6.7,12.0,2,,,,,,11.0,8.0,7.0,2.0,,1.0,,4.0,2.0,,2.0,1.0,,3.0,,2.0,1.0,,,1.0,,,,,,
