match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_fouls,captain,stat_aerialLost,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot,stat_keyPass,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_accurateCross,stat_challengeLost,stat_totalContest,player_sofascoreId,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_totalOffside
12504699,away,Genoa,Morten Thorsby,,,morten-thorsby,M. Thorsby,M,2,189.0,697,M,280991,EUR,831254400,M,2,2,False,32.0,21.0,1.0,,0.0,8.0,11.0,13.0,21.0,7.0,8.0,2.0,,,,,90.0,46.0,6.9,15.0,0.0719929,2,,,15.0,2.0,,,4.0,,9.0,,,,1.0,,1.0,1.0,,0.0827,,,2.0,,,,2.0,0.2487,,,,
12504699,away,Genoa,Milan Badelj,,,milan-badelj,M. Badelj,M,,186.0,902,M,39482,EUR,604368000,M,47,47,False,51.0,46.0,5.0,2.0,0.0,21.0,23.0,25.0,30.0,,1.0,2.0,,,,,86.0,65.0,6.4,11.0,0.0195159,1,,2.0,5.0,2.0,1.0,2.0,1.0,True,,,,,,,1.0,,,0.2992,,,2.0,,,,1.0,,1.0,,,
12504699,away,Genoa,Morten Frendrup,,,morten-frendrup,M. Frendrup,M,32,178.0,1679,M,918440,EUR,986601600,M,32,32,False,33.0,26.0,1.0,,0.0,10.0,12.0,16.0,21.0,3.0,8.0,8.0,,,,,90.0,52.0,7.4,12.0,0.0145904,1,,,3.0,1.0,3.0,,,,,,1.0,,1.0,,5.0,4.0,1.0,0.0484,,,2.0,,,,1.0,0.3576,,,,
12504699,away,Genoa,Aarón Martín,,,aaron-martin,A. Martín,D,3,180.0,1144,M,797286,EUR,861667200,M,3,3,False,26.0,22.0,1.0,,0.0,10.0,13.0,18.0,26.0,,3.0,3.0,,,,,74.0,54.0,7.5,15.0,0.393154,1,,13.0,4.0,,,1.0,1.0,,1.0,,,,5.0,1.0,3.0,2.0,1.0,0.0342,6.0,1.0,1.0,,,,,,,,,
12504699,away,Genoa,Andrea Pinamonti,,,andrea-pinamonti,A. Pinamonti,F,99,185.0,2688,M,826198,EUR,927072000,F,19,19,False,19.0,12.0,1.0,1.0,0.0,2.0,4.0,10.0,15.0,3.0,6.0,3.0,2.0,,,,90.0,34.0,8.0,11.0,0.0215348,6,,,7.0,3.0,,,,,4.0,,,,1.0,5.0,1.0,,,0.7953,,,,,,,1.0,0.4127,,1.0,1.0,1.0
12504699,away,Genoa,Jeff Ekhator,,,jeff-ekhator,J. Ekhator,F,21,188.0,605,M,1613917,EUR,1163203200,F,21,21,False,10.0,8.0,,,0.0,2.0,2.0,6.0,10.0,,,1.0,,,,,86.0,19.0,6.6,8.0,0.0170072,2,,2.0,4.0,,,,,,3.0,,,,,,,,2.0,0.0784,,,1.0,,,1.0,1.0,0.4285,,,,1.0
12504699,away,Genoa,Honest Ahanor,,,honest-ahanor,H. Ahanor,D,69,184.0,1976,M,1634980,EUR,1203724800,D,69,69,True,5.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,,2.0,2.0,1.0,,,,16.0,9.0,6.8,2.0,0.00024719,1,,,,,,,,,,,,,,1.0,1.0,1.0,,0.0849,,,,,,,,,,,,
12504699,away,Genoa,Stefano Sabelli,,,stefano-sabelli,S. Sabelli,D,20,179.0,199,M,184421,EUR,726883200,D,20,20,True,7.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,6.0,,,2.0,,,,,16.0,16.0,6.8,6.0,0.0070917,0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Patrizio Masini,,,patrizio-masini,P. Masini,M,73,182.0,291,M,970998,EUR,980553600,M,73,73,True,2.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,1.0,,,,,,9.0,7.0,6.7,2.0,0.00790212,0,,,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
12504699,away,Genoa,Mario Balotelli,,,mario-balotelli,M. Balotelli,F,9,189.0,11947,M,25530,EUR,650419200,F,45,45,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,,,,,,,,9.0,3.0,6.5,2.0,5.16e-06,0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,SuperMario,,,,,,,,
12504699,away,Genoa,Daniele Sommariva,,,daniele-sommariva,D. Sommariva,G,39,186.0,152,M,595572,EUR,869184000,G,39,39,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Franz Stolz,,,franz-stolz,F. Stolz,G,12,193.0,96,M,985848,EUR,982108800,G,99,99,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Alessandro Marcandalli,,,alessandro-marcandalli,A. Marcandalli,D,27,190.0,311,M,1068885,EUR,1035504000,D,27,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Filippo Melegoni,,,melegoni-filippo,F. Melegoni,M,8,186.0,100,M,795056,EUR,919296000,M,72,72,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Fabio Miretti,,,fabio-miretti,F. Miretti,M,21,179.0,3225,M,1010223,EUR,1059868800,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Emil Bohinen,,,emil-bohinen,E. Bohinen,M,37,185.0,230,M,824584,EUR,921196800,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Lior Kasa,Lior Kasa,,lior-kasa,L. Kasa,M,15,185.0,247,M,1605340,EUR,1114905600,M,53,53,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Gastón Pereiro,,,gaston-pereiro,G. Pereiro,F,20,188.0,417,M,311396,EUR,802828800,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,away,Genoa,Federico Accornero,,,accornero-federico,F. Accornero,F,80,,145,M,1121370,EUR,1075939200,M,55,55,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
