match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
12501560,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193,635,M,98059,EUR,729907200,G,1,1,False,22.0,8.0,16.0,2.0,0.0,8.0,11.0,11.0,2.0,9.0,2.0,2.0,1.0,90.0,32.0,7.1,14.0,5.331e-05,0,0.3495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501560,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179,199,M,184421,EUR,726883200,D,20,20,False,62.0,50.0,6.0,3.0,0.0,31.0,34.0,31.0,1.0,5.0,,,,90.0,85.0,7.6,16.0,0.193665,0,,,,22.0,3.0,3.0,3.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
12501560,home,Genoa,Koni De Winter,de-winter-koni,K. De Winter,D,5,191,3255,M,1001828,EUR,1023840000,D,4,4,False,71.0,67.0,3.0,,0.0,58.0,58.0,13.0,5.0,6.0,,,,90.0,80.0,7.0,4.0,0.00460931,0,,,,9.0,,,3.0,1.0,3.0,3.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12501560,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,64.0,57.0,6.0,2.0,0.0,42.0,44.0,20.0,5.0,2.0,,,,83.0,84.0,7.2,8.0,0.0102017,2,,,,15.0,,,3.0,1.0,5.0,8.0,,1.0,1.0,,,2.0,2.0,,2.0,4.0,2.0,1.0,0.0729,,,,,,,,,,,,,,
12501560,home,Genoa,Alessandro Zanoli,zanoli-alessandro,A. Zanoli,M,59,186,923,M,922928,EUR,970531200,M,59,59,False,18.0,13.0,2.0,,0.0,4.0,4.0,16.0,,3.0,,,,84.0,34.0,7.9,9.0,0.0536815,2,,,,9.0,2.0,,,,2.0,4.0,,3.0,2.0,,1.0,1.0,,3.0,,1.0,1.0,,0.1443,1.0,2.0,1.0,0.3558,,,,,,,,,,
12501560,home,Genoa,Patrizio Masini,patrizio-masini,P. Masini,M,73,182,291,M,970998,EUR,980553600,M,73,73,False,35.0,27.0,1.0,,0.0,17.0,18.0,18.0,2.0,9.0,,,,55.0,47.0,7.2,9.0,0.0133698,0,,,,10.0,1.0,,,1.0,,5.0,,1.0,1.0,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
12501560,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,35.0,30.0,1.0,,0.0,17.0,17.0,18.0,,2.0,,,,90.0,51.0,6.5,10.0,0.0101767,0,,,,13.0,,,2.0,1.0,8.0,5.0,,1.0,,,1.0,1.0,4.0,,,3.0,1.0,2.0,,1.0,,,,True,,,,,,,,,
12501560,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180,1144,M,797286,EUR,861667200,M,3,3,False,52.0,43.0,4.0,1.0,0.0,26.0,28.0,28.0,1.0,4.0,,,,90.0,80.0,6.3,24.0,0.0533215,0,,,,17.0,4.0,,1.0,,8.0,,2.0,1.0,,,,,1.0,,,,,1.0,,3.0,,,,,,,,,,,,,
12501560,home,Genoa,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181,4666,M,195850,EUR,736473600,F,17,17,False,35.0,26.0,2.0,2.0,0.0,9.0,10.0,25.0,,3.0,,,,69.0,44.0,7.3,11.0,0.0507008,1,,,,17.0,,,,1.0,1.0,6.0,,2.0,2.0,,,1.0,,1.0,,2.0,,1.0,0.0574,1.0,,,,,malinovskyi18,1.0,,,,,,,
12501560,home,Genoa,Morten Thorsby,morten-thorsby,M. Thorsby,M,2,189,697,M,280991,EUR,831254400,F,2,2,False,23.0,12.0,2.0,1.0,0.0,4.0,7.0,17.0,2.0,2.0,,,,83.0,40.0,6.8,16.0,0.233527,2,,,,9.0,1.0,1.0,8.0,4.0,11.0,7.0,1.0,1.0,,,1.0,,1.0,1.0,,3.0,1.0,4.0,0.3366,,2.0,,0.9191,,,,1.0,1.0,,,,,
