match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,player_firstName,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_shotOffTarget,stat_challengeLost,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_totalOffside,player_lastName,stat_punches,stat_lastManTackle
14566651,home,Barcelona,Joan García,joan-garcia,J. García,G,13,193,112714,M,930267,EUR,988934400,G,13,13,False,24.0,20.0,5.0,2.0,0.0,18.0,19.0,2.0,5.0,11.0,2.0,1.0,3.0,1.0,1.0,90.0,34.0,7.5,4.0,0.00052375,21.96,5.06047,0.0,17.352777494809,3.0,8.295,7.665,0.6312,0,0.0643,0.09,0.01,0.15,0.5,3.56,1.35,0.13,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566651,home,Barcelona,Jules Koundé,jules-kounde,J. Koundé,D,23,180,146374,M,827212,EUR,910828800,D,23,23,False,96.0,88.0,2.0,1.0,0.0,13.0,14.0,75.0,82.0,2.0,,,,,,90.0,125.0,9.0,15.0,0.182194,30.78,11.17972,14.0,194.87467920508,26.0,129.885,16.905,,2,,0.21,0.17,-0.29,,2.99,5.4,1.66,0.83,0.31,JKoundé,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,0.3338,1.015,3.0,0.89,,,,,,,,,,,,,,,
14566651,home,Barcelona,Pau Cubarsí,pau-cubarsi,P. Cubarsí,D,5,184,156066,M,1402913,EUR,1169424000,D,5,5,False,122.0,119.0,3.0,1.0,0.0,45.0,45.0,74.0,77.0,2.0,,,,,,90.0,138.0,7.7,4.0,0.0444837,32.04,9.82131,7.0,191.16551717467,30.0,85.89,18.795,,0,,0.48,0.16,0.15,,3.14,5.04,1.13,0.38,0.14,PauCubarsí,,2.0,1.0,5.0,,,,,,12.0,,1.0,,,1.0,2.0,,,,,Pau Cubarsí,1.0,,,,,,,,,,,,,
14566651,home,Barcelona,Gerard Martín,gerard-martin,G. Martín,D,18,186,43965,M,1094827,EUR,1014681600,D,18,18,False,114.0,106.0,8.0,4.0,0.0,38.0,39.0,68.0,75.0,3.0,,,,,,90.0,131.0,7.5,13.0,0.0544699,32.148,9.64679,6.0,186.11836670523,26.0,112.14,14.7,,1,,0.41,0.23,0.33,,3.19,4.84,1.11,0.41,0.11,gerardmaartin,1.0,1.0,3.0,2.0,,,,1.0,,4.0,1.0,,,,2.0,1.0,0.0164,0.2973,,-0.05,Gerard,2.0,1.0,1.0,,,,,,,,,,,
14566651,home,Barcelona,Alejandro Balde,alejandro-balde,A. Balde,D,3,175,127788,M,997035,EUR,1066435200,D,3,3,False,50.0,48.0,,,0.0,12.0,12.0,36.0,38.0,5.0,,,,,,89.0,74.0,6.6,8.0,0.0844043,31.248,10.11293,14.0,84.264511806363,16.0,17.01,11.235,,1,,-0.01,0.31,-0.19,,2.99,4.48,1.59,0.76,0.3,AlejandroBalde,2.0,,4.0,4.0,1.0,5.0,4.0,1.0,,2.0,,,,,1.0,,0.06,0.1061,,0.08,,1.0,2.0,,,,,,,,,,,,
14566651,home,Barcelona,Eric García,eric-garcia,E. García,D,24,182,56781,M,876214,EUR,978998400,M,24,24,False,114.0,109.0,8.0,5.0,0.0,22.0,23.0,87.0,91.0,3.0,,,,,,90.0,128.0,8.3,5.0,0.157053,30.456,10.88077,8.0,205.84632599928,31.0,101.325,13.125,,1,,0.73,0.29,0.0,,2.95,6.02,1.35,0.42,0.14,ericgm3,,3.0,2.0,6.0,,,,,,2.0,2.0,2.0,,,,1.0,0.0536,,2.0,-0.02,,1.0,1.0,,1.0,,,,,,,,,,
14566651,home,Barcelona,Pedri,pedri,Pedri,M,8,174,648138,M,992587,EUR,1038182400,M,8,8,False,90.0,73.0,6.0,2.0,0.0,19.0,20.0,54.0,70.0,4.0,,,,,,90.0,108.0,7.4,19.0,0.202617,28.584,11.78235,6.0,181.62817273736,27.0,63.63,20.58,,1,,0.43,0.04,-0.09,,2.63,6.35,2.09,0.63,0.09,Pedri,1.0,2.0,4.0,9.0,,2.0,2.0,1.0,,,1.0,2.0,2.0,,1.0,3.0,0.0532,0.0765,1.0,0.08,,,3.0,,,1.0,,,,,,,,,
14566651,home,Barcelona,Lamine Yamal,lamine-yamal,L. Yamal,M,10,180,1710018,M,1402912,EUR,1184284800,M,10,10,False,75.0,69.0,1.0,,1.0,3.0,3.0,66.0,72.0,5.0,,,,,,89.0,110.0,6.9,26.0,0.275581,31.608,9.16392,11.0,309.44938935639,32.0,175.455,22.155,,2,,0.5,0.15,-0.09,,3.47,4.13,0.96,0.44,0.17,Lamiyamal,5.0,,9.0,4.0,3.0,8.0,3.0,,,,,1.0,,,7.0,,0.0342,,3.0,-0.26,,1.0,,,,,1.0,1.0,2.0,,,,,,
14566651,home,Barcelona,Fermín López,fermin-lopez,F. López,M,16,176,178798,M,1153270,EUR,1052611200,M,16,16,False,30.0,28.0,2.0,2.0,0.0,6.0,6.0,22.0,24.0,1.0,,,,,,45.0,37.0,6.7,5.0,0.126032,31.032,5.45854,5.0,51.303796671625,7.0,0.525,8.4,,1,,0.31,-0.03,-0.07,,1.5,2.83,0.74,0.28,0.11,FermínLópez,1.0,,2.0,2.0,,3.0,2.0,,,,,,,,1.0,,0.2853,,,-0.36,Fermín López,2.0,,,,,,,1.0,,,,,,
14566651,home,Barcelona,Raphinha,raphinha,Raphinha,M,11,176,891210,M,831005,EUR,850521600,M,11,11,False,32.0,25.0,2.0,2.0,0.0,4.0,4.0,21.0,28.0,1.0,,,,,,66.0,46.0,6.2,13.0,0.0892223,32.832,7.44874,10.0,128.68699601621,13.0,58.905,25.305,,4,,-0.3,0.29,-0.08,,2.35,3.38,0.98,0.47,0.25,Raphinha,3.0,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,2.0,,0.2403,0.0148,1.0,-0.6,,,,,2.0,,1.0,,1.0,True,1.0,1.0,,,
