match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_accurateCross,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed
12168338,home,Manchester City,Stefan Ortega,stefan-ortega,S. Ortega,G,27,186,11780,M,stefan.ortega1,125274,EUR,721008000,G,18,18,False,27.0,23.0,7.0,3.0,21.0,23.0,2.0,4.0,1.0,1.0,10.0,1.0,3.0,5.0,90.0,38.0,7.6,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12168338,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26433,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,55.0,51.0,5.0,3.0,25.0,25.0,26.0,31.0,2.0,1.0,2.0,,,,90.0,61.0,6.9,6.0,0,,,True,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12168338,home,Manchester City,John Stones,john-stones,J. Stones,D,5,188,22291,M,johnstones5,152077,EUR,770083200,D,5,5,False,41.0,38.0,3.0,2.0,28.0,29.0,10.0,12.0,1.0,,1.0,,,,45.0,44.0,6.7,4.0,0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12168338,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21204,M,nathanake,149663,EUR,793065600,D,6,6,False,86.0,81.0,3.0,1.0,35.0,39.0,46.0,49.0,1.0,,3.0,,,,90.0,109.0,7.5,9.0,0,,,,2.0,2.0,6.0,,1.0,1.0,,3.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,
12168338,home,Manchester City,Rodri,rodri,Rodri,M,16,191,87652,M,Rodri,827606,EUR,835401600,M,16,16,False,78.0,68.0,12.0,8.0,29.0,32.0,39.0,46.0,5.0,2.0,9.0,,,,90.0,92.0,7.5,14.0,2,,,,,5.0,9.0,,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
12168338,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22626,M,manuel_akanji,383560,EUR,806112000,M,25,25,False,66.0,62.0,1.0,,36.0,37.0,26.0,30.0,7.0,2.0,3.0,,,,90.0,82.0,7.3,8.0,0,,,,1.0,1.0,5.0,1.0,,,2.0,4.0,,3.0,1.0,,2.0,1.0,,,3.0,1.0,,,,,,,
12168338,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62462,M,BSilva,331209,EUR,776476800,F,20,20,False,40.0,36.0,1.0,1.0,10.0,10.0,26.0,32.0,3.0,,1.0,,,,90.0,61.0,7.5,12.0,2,,,,2.0,,1.0,1.0,4.0,1.0,,,,,,,,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,
12168338,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,173851,M,Foden,859765,EUR,959472000,M,47,47,False,42.0,36.0,3.0,3.0,13.0,14.0,23.0,31.0,4.0,,5.0,,,,90.0,58.0,7.5,12.0,1,,,,3.0,2.0,6.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,,1.0,,,,
12168338,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,315719,M,KDB,70996,EUR,678067200,M,17,17,False,47.0,37.0,3.0,1.0,8.0,10.0,29.0,42.0,7.0,,3.0,,,,90.0,74.0,7.2,22.0,4,,,,5.0,,1.0,,3.0,2.0,3.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,,,,,2.0,,,,
12168338,home,Manchester City,Jack Grealish,jack-grealish,J. Grealish,M,18,180,57959,M,JGrealish,189061,EUR,810691200,F,10,10,False,38.0,33.0,2.0,1.0,7.0,7.0,26.0,32.0,5.0,,5.0,,,,65.0,59.0,7.5,12.0,1,,,,1.0,,7.0,1.0,,1.0,3.0,1.0,,,2.0,1.0,3.0,3.0,,1.0,4.0,2.0,,,,,,,
