match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_accurateCross,stat_aerialLost,stat_lastManTackle,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_dispossessed,stat_outfielderBlock,player_sofascoreId,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,stat_totalOffside,stat_hitWoodwork
12624978,home,Al-Ettifaq,Marek Rodák,marek-rodak,M. Rodák,G,1,188,518,M,358694,EUR,850435200,G,1,1,False,23.0,18.0,10.0,6.0,0.0,14.0,17.0,4.0,6.0,1.0,10.0,1.0,2.0,3.0,1.0,1.0,90.0,39.0,6.7,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624978,home,Al-Ettifaq,Radhi Al-Oteibi,radhi-al-oteibi,R. Al-Oteibi,D,61,170,28,M,963642,EUR,960768000,D,61,61,False,27.0,21.0,2.0,1.0,0.0,10.0,12.0,11.0,17.0,3.0,5.0,,,,,,90.0,51.0,6.4,13.0,2,2.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
12624978,home,Al-Ettifaq,Abdullah Al Khateeb,abdullah-al-khateeb,A. A. Khateeb,D,70,173,38,M,920498,EUR,794966400,D,70,70,False,47.0,42.0,3.0,1.0,0.0,32.0,36.0,12.0,13.0,1.0,13.0,,,,,,90.0,70.0,7.2,8.0,0,2.0,1.0,2.0,11.0,,1.0,,,,2.0,8.0,5.0,2.0,2.0,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,
12624978,home,Al-Ettifaq,Abdullah Madu,abdullah-madu,A. Madu,D,3,186,189,M,794347,EUR,742694400,D,3,3,False,52.0,49.0,3.0,2.0,0.0,31.0,31.0,18.0,21.0,5.0,1.0,,,,,,90.0,60.0,6.4,3.0,2,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
12624978,home,Al-Ettifaq,Madallah Al-Olayan,madallah-al-olayan,M. Al-Olayan,D,33,170,81,M,818813,EUR,777772800,D,33,33,False,34.0,30.0,1.0,1.0,0.0,11.0,12.0,19.0,22.0,5.0,4.0,,,,,,90.0,59.0,6.5,8.0,0,,,9.0,6.0,4.0,2.0,,,,3.0,6.0,5.0,1.0,,2.0,,,,2.0,,,,1.0,1.0,,,,,,,,
12624978,home,Al-Ettifaq,Abdulelah Al-Malki,abdulelah-al-malki,A. Al-Malki,M,88,170,376,M,818840,EUR,781833600,M,88,88,False,50.0,42.0,2.0,1.0,0.0,25.0,28.0,17.0,22.0,,5.0,,,,,,57.0,56.0,6.3,9.0,0,,,5.0,4.0,2.0,2.0,1.0,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,
12624978,home,Al-Ettifaq,Georginio Wijnaldum,georginio-wijnaldum,G. Wijnaldum,M,8,175,8339,M,22126,EUR,658281600,M,8,8,False,40.0,38.0,1.0,1.0,0.0,19.0,20.0,20.0,22.0,1.0,4.0,,,,,,90.0,50.0,7.1,5.0,3,2.0,1.0,1.0,2.0,,1.0,,2.0,,,1.0,,1.0,,,1.0,,,3.0,,,1.0,,,gwijnaldum,True,1.0,,,,,
12624978,home,Al-Ettifaq,Karl Toko Ekambi,karl-toko-ekambi,K. Toko Ekambi,F,9,183,3818,M,842931,EUR,716428800,M,7,7,False,32.0,26.0,1.0,1.0,0.0,4.0,6.0,22.0,27.0,,1.0,,,,,,90.0,47.0,6.5,13.0,2,1.0,,5.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,3.0,,1.0,,,,2.0,,,,1.0,,karltokoekambi,,,,,,,
12624978,home,Al-Ettifaq,Seko Fofana,seko-fofana,S. Fofana,M,42,184,12170,M,191188,EUR,799804800,M,75,75,False,40.0,34.0,3.0,3.0,0.0,13.0,14.0,22.0,28.0,,4.0,,,,,,64.0,49.0,6.8,9.0,3,2.0,,3.0,2.0,3.0,,,2.0,,,2.0,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,,,sekofofana,,,,,,,
12624978,home,Al-Ettifaq,Demarai Gray,demarai-gray,D. Gray,M,10,184,1784,M,355152,EUR,835920000,M,11,11,False,35.0,31.0,,,0.0,10.0,11.0,21.0,25.0,,2.0,,,,,,82.0,56.0,6.6,13.0,3,1.0,1.0,9.0,6.0,1.0,3.0,,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,,,,3.0,,,1.0,4.0,,,,,,,,,
