match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,captain,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_totalOffside,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
11369482,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,38.0,24.0,23.0,9.0,16.0,18.0,8.0,20.0,1.0,1.0,2.0,9.0,2.0,2.0,90.0,48.0,7.2,14.0,0.00547528,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369482,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,18.0,14.0,3.0,1.0,9.0,9.0,5.0,10.0,,6.0,1.0,5.0,,,90.0,37.0,7.1,9.0,0.00349432,,0,True,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
11369482,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,38.0,25.0,14.0,3.0,16.0,17.0,9.0,21.0,1.0,3.0,5.0,2.0,,,90.0,51.0,7.2,14.0,0.00830956,,0,,,7.0,,,,2.0,1.0,,,5.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
11369482,home,Cádiz,Víctor Chust,victor-chust,V. Chust,D,23,182,605,M,855831,EUR,952214400,D,5,5,False,48.0,37.0,14.0,6.0,32.0,34.0,5.0,14.0,1.0,1.0,4.0,2.0,,,90.0,53.0,6.8,11.0,0.00500198,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369482,home,Cádiz,Lucas Pires,lucas-pires,L. Pires,D,23,182,554,M,1136896,EUR,985392000,D,33,33,False,40.0,27.0,7.0,3.0,19.0,25.0,10.0,19.0,1.0,3.0,3.0,7.0,,,90.0,75.0,7.3,18.0,0.0539688,1.0,1,,4.0,3.0,2.0,,,2.0,1.0,,,1.0,,2.0,,,,2.0,1.0,0.0394,,,,,,,,,,
11369482,home,Cádiz,Iván Alejo,ivan-alejo,I. Alejo,M,14,184,174,M,352486,EUR,792374400,M,11,11,False,15.0,7.0,2.0,,5.0,8.0,2.0,12.0,,5.0,,4.0,,,90.0,40.0,6.3,18.0,0.00202453,,2,,5.0,15.0,7.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,,,3.0,,,,2.0,0.0678,1.0,1.0,,,,,,,,
11369482,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,39.0,30.0,7.0,4.0,16.0,19.0,14.0,20.0,2.0,4.0,2.0,8.0,,,90.0,53.0,7.2,12.0,0.0163926,1.0,2,,,5.0,1.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,2.0,,,,,0.0727,,,1.0,1.0,1.0,0.1443,,,,
11369482,home,Cádiz,Gonzalo Escalante,gonzalo-escalante,G. Escalante,M,8,182,258,M,316170,EUR,733190400,M,17,17,False,35.0,29.0,6.0,3.0,18.0,21.0,11.0,14.0,,7.0,,5.0,,,90.0,47.0,7.1,6.0,0.0298003,,1,,,4.0,,,1.0,4.0,2.0,,2.0,3.0,,1.0,2.0,,,,1.0,0.0649,1.0,,,,,,,,,
11369482,home,Cádiz,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,23.0,20.0,,,7.0,9.0,15.0,23.0,,6.0,,10.0,,,80.0,58.0,6.8,21.0,0.079238,2.0,1,,9.0,11.0,1.0,2.0,10.0,2.0,2.0,,1.0,1.0,,3.0,,,,2.0,1.0,0.0238,3.0,,,,,,,,,
11369482,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,F,7,7,False,8.0,7.0,,,3.0,4.0,4.0,4.0,,1.0,,2.0,,,73.0,18.0,6.7,4.0,0.00531732,1.0,1,,,3.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,0.0841,,,1.0,,,0.0288,,,,
