match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_fouls,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside
11369907,home,RWDM Brussels,Theo Defourny,,,theo-defourny,T. Defourny,G,33,194.0,37,M,156736,EUR,704160000,G,33,33,False,True,21.0,13.0,16.0,8.0,10.0,13.0,3.0,8.0,3.0,1.0,8.0,1.0,6.0,8.0,2.0,90.0,41.0,9.1,9.0,0.0014255,0,1.1122,,,,,,,,,,,,,,,,,,,,,,,,,
11369907,home,RWDM Brussels,Moussa Sissako,,,sissako-moussa,M. Sissako,D,5,184.0,223,M,904998,EUR,973814400,D,44,44,False,,46.0,36.0,5.0,3.0,33.0,41.0,3.0,5.0,6.0,2.0,9.0,,,,,90.0,64.0,7.9,10.0,0.00085805,1,,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0731,,,,,,,,,,,,,,,
11369907,home,RWDM Brussels,Luis Segovia,,,luis-segovia,Luis Segovia,D,4,182.0,357,M,827141,EUR,877824000,D,2,2,False,,53.0,50.0,8.0,6.0,41.0,43.0,9.0,10.0,6.0,3.0,6.0,,,,,90.0,71.0,7.7,4.0,0.00430952,0,,3.0,2.0,3.0,6.0,,,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
11369907,home,RWDM Brussels,Youssouf Koné,,,youssouf-kone,Y. Koné,D,,174.0,241,M,333243,EUR,804902400,D,99,99,False,,47.0,34.0,13.0,6.0,27.0,33.0,7.0,14.0,10.0,2.0,11.0,,,,,90.0,67.0,7.8,13.0,0.0158421,0,,3.0,3.0,3.0,10.0,,,,4.0,2.0,,2.0,2.0,,1.0,,,,,,,,,,,
11369907,home,RWDM Brussels,Jonathan Heris,,,jonathan-heris,J. Heris,D,,184.0,20,M,58980,EUR,652320000,M,19,19,False,,42.0,28.0,11.0,4.0,20.0,29.0,10.0,18.0,6.0,3.0,6.0,,,,,87.0,84.0,6.6,26.0,0.133161,0,,2.0,2.0,11.0,5.0,5.0,,1.0,2.0,2.0,,2.0,,,1.0,5.0,2.0,2.0,2.0,,,,,,,
11369907,home,RWDM Brussels,Shuto Abe,,,abe-shuto,S. Abe,M,13,171.0,137,M,986780,EUR,881280000,M,8,8,False,,27.0,20.0,2.0,1.0,15.0,19.0,5.0,8.0,3.0,,2.0,,,,,66.0,42.0,6.7,13.0,0.00740659,2,,,,4.0,2.0,2.0,,,2.0,2.0,0.061,1.0,,4.0,,,,1.0,,1.0,1.0,,,,,
11369907,home,RWDM Brussels,Pierre Dwomoh,,,pierre-dwomoh,P. Dwomoh,M,14,185.0,434,M,996993,EUR,1087776000,M,6,6,False,,29.0,24.0,2.0,2.0,13.0,14.0,11.0,15.0,2.0,1.0,9.0,,,,,87.0,46.0,7.6,9.0,0.205085,0,,1.0,,4.0,6.0,,,,3.0,2.0,,2.0,2.0,1.0,1.0,,,3.0,1.0,,,1.0,,,,
11369907,home,RWDM Brussels,Abner,,,abner,Abner,D,30,177.0,87,M,330061,EUR,833414400,M,26,26,False,,38.0,30.0,3.0,1.0,17.0,21.0,13.0,23.0,1.0,,12.0,,,,,90.0,71.0,6.6,22.0,0.0184204,0,,2.0,3.0,7.0,8.0,,,,2.0,1.0,,1.0,,1.0,3.0,6.0,,3.0,,,,,1.0,,,
11369907,home,RWDM Brussels,Xavier Mercier,,,xavier-mercier,X. Mercier,F,,171.0,74,M,102806,EUR,617328000,F,30,30,False,,43.0,35.0,1.0,,16.0,17.0,20.0,33.0,,,4.0,,,,,90.0,62.0,7.2,18.0,0.117602,2,,,,1.0,3.0,,1.0,,,,0.1874,3.0,3.0,3.0,,7.0,1.0,1.0,1.0,,1.0,,,,,
11369907,home,RWDM Brussels,Jeff Reine-Adélaïde,,,jeff-reine-adelaide,J. Reine-Adélaïde,M,11,184.0,466,M,794269,EUR,884995200,F,77,77,False,,28.0,24.0,3.0,2.0,8.0,10.0,16.0,19.0,,2.0,3.0,,,,,66.0,44.0,7.0,11.0,0.0360023,0,,,,6.0,5.0,1.0,,,,,,4.0,4.0,1.0,1.0,1.0,,5.0,2.0,,,,,,,
