match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_punches,stat_goals,stat_penaltyWon
12437728,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,17.0,12.0,6.0,3.0,0.0,11.0,13.0,1.0,4.0,5.0,1.0,3.0,2.0,4.0,2.0,2.0,90.0,24.0,7.3,5.0,0.00017704,0,0.2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437728,home,Real Sociedad,Jon Aramburu,jon-aramburu,J. Aramburu,D,2,176,6479,M,1116388,EUR,1027382400,D,27,27,False,41.0,39.0,2.0,1.0,0.0,18.0,18.0,22.0,25.0,4.0,,,,,,,90.0,60.0,6.1,5.0,0.149631,1,,Jon Aramburu,ElBufalo,2.0,1.0,1.0,7.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0081,1.0,,,,,,,,,,,,,,,,,,,
12437728,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,47.0,39.0,5.0,1.0,0.0,25.0,28.0,14.0,19.0,2.0,,,,,,,90.0,53.0,7.1,8.0,0.289828,0,,,,,,,1.0,4.0,1.0,,,1.0,1.0,,,,,1.0,True,3.0,4.0,1.0,,,,,,,,,,,,,,,
12437728,home,Real Sociedad,Nayef Aguerd,nayef-aguerd,N. Aguerd,D,20,188,25735,M,877102,EUR,828144000,D,21,21,False,34.0,33.0,4.0,4.0,0.0,27.0,27.0,6.0,7.0,2.0,,,,,,,75.0,43.0,7.1,1.0,0.00293209,2,,,nayefaguard,,,,,3.0,,1.0,3.0,2.0,1.0,,,,0.3417,,,1.0,1.0,,,1.0,0.7273,,,,,,,,,,,,
12437728,home,Real Sociedad,Javi López,lopez-javi,J. López,D,25,183,401,M,945404,EUR,1009843200,D,12,12,False,27.0,26.0,1.0,1.0,0.0,19.0,19.0,7.0,10.0,5.0,,,,,,,78.0,45.0,6.5,8.0,0.00521703,0,,,,2.0,,,3.0,3.0,,,1.0,2.0,2.0,,,1.0,,,,,,,,,,2.0,1.0,1.0,2.0,,,,,,,,
12437728,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,42.0,35.0,1.0,,0.0,9.0,9.0,26.0,33.0,5.0,,,,,,,90.0,61.0,6.7,18.0,0.334489,1,,,KuboTake,,,,6.0,4.0,,,,,,,3.0,,0.0887,2.0,,,,1.0,,,,2.0,5.0,1.0,5.0,1.0,,,,,,,
12437728,home,Real Sociedad,Luka Sučić,luka-sucic,L. Sučić,M,24,185,6267,M,949156,EUR,1031443200,M,24,24,False,39.0,33.0,1.0,,0.0,14.0,14.0,19.0,25.0,7.0,,,,,,,75.0,50.0,7.0,8.0,0.0529027,4,,,luka_sucic,,,,3.0,2.0,,2.0,1.0,2.0,,,,1.0,0.3541,1.0,,,1.0,,,,,2.0,,,,2.0,1.0,1.0,2.0,,,,
12437728,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,71.0,66.0,1.0,1.0,0.0,28.0,29.0,38.0,42.0,2.0,,,,,,,90.0,81.0,7.0,7.0,0.0735779,0,,,martin_zubimendi,,,,4.0,6.0,,,1.0,3.0,1.0,,,2.0,,,,3.0,,2.0,,,,2.0,,,,,,,,,,,
12437728,home,Real Sociedad,Sergio Gómez,sergio-gomez,S. Gómez,M,17,171,4445,M,855835,EUR,968025600,M,17,17,False,55.0,46.0,2.0,1.0,0.0,15.0,16.0,34.0,46.0,2.0,,,,,,,90.0,73.0,6.9,15.0,0.193111,1,,,sergiogm_10,7.0,3.0,,3.0,3.0,2.0,,,2.0,2.0,1.0,1.0,2.0,0.0388,,,,1.0,,,1.0,0.1699,,,,2.0,,,,,,,,
12437728,home,Real Sociedad,Sheraldo Becker,sheraldo-becker,S. Becker,F,23,180,1503,M,352544,EUR,792288000,M,11,11,False,13.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,12.0,1.0,,,,,,,63.0,22.0,6.7,8.0,0.00556476,1,,,,2.0,,1.0,2.0,4.0,,1.0,1.0,,,,2.0,,0.1847,1.0,,,,,,,,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,
12437728,home,Real Sociedad,Umar Sadiq,umar-sadiq,U. Sadiq,F,6,192,2879,M,754710,EUR,854841600,F,19,19,False,10.0,8.0,,,0.0,4.0,4.0,4.0,6.0,4.0,,,,,,,63.0,22.0,6.5,10.0,0.052208,1,,,,,,4.0,8.0,,,,,,,,,1.0,0.051,1.0,,,,1.0,,,,1.0,2.0,,4.0,1.0,1.0,,,,,,
12437728,home,Real Sociedad,Ander Barrenetxea,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,F,7,7,True,15.0,11.0,1.0,1.0,0.0,2.0,3.0,9.0,13.0,2.0,,,,,,,27.0,17.0,6.6,5.0,0.0146405,0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
12437728,home,Real Sociedad,Orri Steinn Óskarsson,orri-steinn-oskarsson,O. S. Óskarsson,F,9,186,2706,M,1026015,EUR,1093737600,F,9,9,True,5.0,2.0,,,0.0,1.0,1.0,1.0,4.0,,,,,,,,27.0,6.0,6.5,4.0,0.00044186,0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
