match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,captain,stat_aerialLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_lastManTackle,stat_penaltyConceded,stat_errorLeadToAShot
11369470,home,Real Madrid,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188,26145,M,KepaA,232422,EUR,781142400,G,25,25,False,24.0,22.0,4.0,2.0,20.0,22.0,2.0,2.0,10.0,1.0,90.0,33.0,6.2,2.0,0.00031089,0,-0.9009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369470,home,Real Madrid,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,2,173,154229,M,DaniCarvajal,138572,EUR,695088000,D,2,2,False,53.0,44.0,2.0,1.0,12.0,15.0,33.0,44.0,11.0,,90.0,85.0,7.9,17.0,0.109542,1,,6.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.3106,0.9639,1.0,,,,,,,,,,,,,,,,,,,,
11369470,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,72.0,63.0,11.0,6.0,37.0,40.0,26.0,32.0,6.0,,90.0,75.0,6.7,9.0,0.0103306,0,,,,,4.0,,,,,,1.0,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
11369470,home,Real Madrid,Nacho Fernández,nacho-fernandez,N. Fernández,D,6,180,15081,M,nachofdez90,69404,EUR,632620800,D,6,6,False,49.0,44.0,2.0,,26.0,29.0,18.0,20.0,5.0,,45.0,52.0,6.4,5.0,0.00398775,0,,,,1.0,2.0,,,,,1.0,,1.0,,,1.0,,,,,1.0,True,1.0,,,,,,,,,,,,,,,,,
11369470,home,Real Madrid,Ferland Mendy,ferland-mendy,F. Mendy,D,23,178,70735,M,FerMendy,792073,EUR,802569600,D,23,23,False,48.0,43.0,1.0,,14.0,14.0,29.0,34.0,3.0,,45.0,63.0,6.5,9.0,0.0379256,0,,,,3.0,2.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
11369470,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,15,15,False,52.0,46.0,2.0,1.0,12.0,13.0,35.0,40.0,5.0,,70.0,66.0,7.0,9.0,0.0320416,1,,1.0,1.0,2.0,5.0,,,,,,,1.0,2.0,1.0,,,0.0203,,,1.0,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
11369470,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,18,18,False,81.0,72.0,1.0,1.0,30.0,34.0,43.0,48.0,8.0,,90.0,94.0,7.8,11.0,0.260406,3,,1.0,1.0,3.0,7.0,,,,,,2.0,2.0,,,1.0,,0.1531,,1.0,6.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,
11369470,home,Real Madrid,Toni Kroos,toni-kroos,T. Kroos,M,,183,45525,M,Kroos,26502,EUR,631411200,M,8,8,False,80.0,74.0,10.0,6.0,23.0,23.0,52.0,65.0,3.0,,82.0,98.0,7.6,17.0,0.228317,2,,8.0,1.0,1.0,3.0,,,,,,,,1.0,1.0,2.0,,0.0479,,3.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,
11369470,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,52.0,41.0,5.0,5.0,8.0,8.0,33.0,44.0,3.0,,90.0,70.0,8.6,17.0,0.458248,3,,,,10.0,8.0,1.0,4.0,1.0,1.0,,,1.0,,,4.0,,0.9541,0.8907,2.0,3.0,,3.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,,,,,,,
11369470,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,699716,M,Rodrygo,910536,EUR,978998400,F,11,11,False,25.0,21.0,,,3.0,3.0,18.0,22.0,1.0,,45.0,37.0,7.0,7.0,0.0756843,1,,,,4.0,4.0,,,,,,,,1.0,1.0,1.0,,0.0218,,,1.0,,2.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,
