match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_errorLeadToAShot,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim
10385381,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,22.0,14.0,12.0,4.0,11.0,12.0,3.0,10.0,2.0,5.0,2.0,2.0,1.0,1.0,90.0,29.0,7.5,8.0,0.0,0.0,0.00035786,0,0.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385381,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,62.0,50.0,6.0,4.0,21.0,22.0,33.0,50.0,1.0,8.0,,,,,90.0,96.0,7.7,22.0,0.0,0.0,0.195749,0,,True,10.0,4.0,1.0,2.0,7.0,8.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,
10385381,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,48.0,35.0,8.0,2.0,20.0,23.0,15.0,26.0,4.0,7.0,,,,,90.0,59.0,7.3,15.0,0.0599,0.5687,0.00498207,1,,,1.0,,,3.0,2.0,4.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10385381,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3377,M,,910046,EUR,947635200,D,4,4,False,51.0,46.0,6.0,4.0,32.0,33.0,14.0,18.0,2.0,1.0,,,,,87.0,59.0,7.2,5.0,0.0,0.0,0.00497846,0,,,,,,2.0,,5.0,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,
10385381,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,43.0,32.0,3.0,,13.0,16.0,19.0,27.0,3.0,3.0,,,,,90.0,61.0,6.8,14.0,0.0514,0.0,0.00698738,1,,,,,,1.0,2.0,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,
10385381,home,Newcastle United,Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1652,M,,866191,EUR,878169600,M,36,36,False,35.0,29.0,1.0,1.0,12.0,15.0,18.0,23.0,,2.0,,,,,90.0,51.0,6.1,13.0,0.4314,0.7862,0.024679,2,,,3.0,1.0,,,3.0,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,1.0,,,,,
10385381,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,64.0,55.0,6.0,3.0,19.0,20.0,36.0,45.0,1.0,11.0,,,,,90.0,86.0,6.1,18.0,0.199,0.0,0.0637569,2,,,1.0,,,2.0,11.0,7.0,1.0,3.0,,1.0,2.0,1.0,2.0,4.0,,,,,3.0,2.0,3.0,,,1.0,,,,
10385381,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,False,24.0,21.0,1.0,1.0,6.0,6.0,15.0,21.0,,6.0,,,,,85.0,42.0,7.4,10.0,0.1482,0.3561,0.0245064,2,,,3.0,,,,5.0,5.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,
10385381,home,Newcastle United,Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8461,M,miguel_almiron,333373,EUR,760838400,F,24,24,False,40.0,36.0,,,4.0,4.0,33.0,37.0,,5.0,,,,,90.0,57.0,7.4,9.0,0.0663,0.0,0.132815,1,,,1.0,1.0,,2.0,4.0,8.0,,3.0,1.0,,3.0,1.0,1.0,,1.0,2.0,,,2.0,,2.0,,1.0,,,1.0,1.0,
10385381,home,Newcastle United,Chris Wood,,,chris-wood,C. Wood,F,11,191,7494,M,wodsy39,50480,EUR,692064000,F,20,20,False,15.0,13.0,1.0,1.0,1.0,2.0,12.0,13.0,,3.0,,,,,76.0,20.0,6.7,5.0,0.0,0.0,0.204003,0,,,,,4.0,1.0,5.0,2.0,,,,,1.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,,
