match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_blockedScoringAttempt,captain,stat_dispossessed,stat_bigChanceMissed,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_errorLeadToAGoal,stat_punches,stat_outfielderBlock
10407001,away,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,42.0,31.0,3.0,1.0,17.0,23.0,14.0,19.0,4.0,,,,90.0,50.0,7.5,12.0,1,,,,,,1.0,1.0,3.0,1.0,,,1.0,,,2.0,,1.0,,,1.0,1.0,1.0,,,True,,,,,,,,,
10407001,away,Club Brugge KV,Noa Lang,noa-lang,N. Lang,F,77,173,15023,M,875136,EUR,929577600,M,10,10,False,26.0,19.0,,,8.0,10.0,11.0,16.0,5.0,,,,80.0,42.0,6.2,13.0,1,,,noano,,,,4.0,3.0,,3.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,,,1.0,,,
10407001,away,Club Brugge KV,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175,3732,M,949962,EUR,917827200,F,9,9,False,16.0,11.0,,,4.0,5.0,7.0,11.0,4.0,,,,61.0,24.0,6.6,9.0,1,,,,,1.0,1.0,1.0,3.0,,,,,1.0,,,,2.0,,,,,,,,,,,2.0,,,1.0,,,
10407001,away,Club Brugge KV,Mats Rits,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,26,26,True,11.0,9.0,,,4.0,4.0,5.0,7.0,1.0,,,,30.0,11.0,6.7,2.0,0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,
10407001,away,Club Brugge KV,Roman Yaremchuk,roman-yaremchuk,R. Yaremchuk,F,77,191,4230,M,829296,EUR,817430400,F,70,70,True,6.0,6.0,,,1.0,1.0,5.0,5.0,,,,,29.0,11.0,6.0,4.0,1,,,r.yaremchuk,,1.0,,2.0,,,1.0,,,,,,,3.0,,,,,,,,,,1.0,,,,1.0,,,
10407001,away,Club Brugge KV,Kamal Sowah,kamal-sowah,K. Sowah,M,14,179,840,M,927440,EUR,947376000,F,19,19,True,9.0,9.0,,,4.0,4.0,5.0,6.0,1.0,,,,10.0,10.0,6.5,1.0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407001,away,Club Brugge KV,Denis Odoi,denis-odoi,D. Odoi,M,3,177,876,M,58994,EUR,580694400,D,6,6,True,13.0,12.0,,,10.0,10.0,2.0,3.0,1.0,,,,10.0,15.0,6.3,1.0,0,Denis,Odoi,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10407001,away,Club Brugge KV,Senne Lammens,senne-lammens,S. Lammens,G,31,193,27447,M,964753,EUR,1026000000,G,91,91,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407001,away,Club Brugge KV,Clinton Mata,clinton-mata,C. Mata,D,22,180,1323,M,152813,EUR,721094400,D,77,77,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407001,away,Club Brugge KV,Antonio Nusa,nusa-antonio,A. Nusa,M,7,180,11508,M,1121923,EUR,1113696000,F,32,32,True,,,,,,,,,,,,,,,,,0,,,nusaantonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
