match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_totalClearance,captain,stat_outfielderBlock,stat_ownGoals,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceCreated,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId
12450274,home,Auxerre,Donovan Léon,,,donovan-leon,D. Léon,G,16,186.0,316,M,159837,EUR,720748800,G,16,16,False,28.0,17.0,15.0,4.0,0.0,14.0,16.0,3.0,12.0,1.0,1.0,1.0,12.0,2.0,2.0,4.0,90.0,44.0,7.1,11.0,0.00166152,0,0.1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450274,home,Auxerre,Paul Joly,Paul Joly,,paul-joly,P. Joly,D,26,182.0,234,M,1130986,EUR,960336000,D,26,26,False,27.0,19.0,1.0,1.0,0.0,10.0,11.0,9.0,17.0,4.0,2.0,,3.0,,,,73.0,49.0,6.7,15.0,0.32273,1,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.1091,1.0,,,,,,,,,,,,,,,
12450274,home,Auxerre,Sinaly Diomandé,,,sinaly-diomande,S. Diomandé,D,20,184.0,714,M,996951,EUR,986774400,D,20,20,False,46.0,41.0,4.0,1.0,0.0,30.0,32.0,11.0,14.0,3.0,,,4.0,,,,90.0,55.0,6.6,5.0,0.0275723,0,,,1.0,2.0,,,,,1.0,1.0,,,1.0,,,2.0,6.0,,,,,,,,,,,,,
12450274,home,Auxerre,Jubal,,,jubal,Jubal,D,5,190.0,384,M,329195,EUR,746582400,D,4,4,False,42.0,40.0,5.0,3.0,0.0,33.0,33.0,7.0,9.0,1.0,,,3.0,,,,90.0,51.0,6.6,2.0,0.00494666,0,,,3.0,3.0,,,,1.0,,,,1.0,,,,,4.0,True,2.0,1.0,,,,,,,,,,
12450274,home,Auxerre,Clement Akpa,Clément Akpa,,akpa-clement,C. Akpa,D,92,183.0,819,M,1387156,EUR,1006560000,D,92,92,False,48.0,39.0,6.0,,0.0,27.0,29.0,12.0,19.0,3.0,,,2.0,,,,89.0,57.0,6.6,9.0,0.00572935,0,,,,3.0,,,,1.0,1.0,1.0,,1.0,3.0,,,1.0,5.0,,1.0,,,,,,,,,,,
12450274,home,Auxerre,Fredrik Oppegård,,,fredrik-oppegard,F. Oppegård,D,22,175.0,199,M,1005648,EUR,1028678400,D,12,12,False,26.0,20.0,3.0,1.0,0.0,8.0,12.0,12.0,14.0,4.0,2.0,1.0,4.0,,,,80.0,51.0,6.3,13.0,0.0147642,0,,,,4.0,3.0,,,,2.0,1.0,2.0,1.0,,,,,4.0,,,,1.0,,,,,,,,,
12450274,home,Auxerre,Gaëtan Perrin,,,gaetan-perrin,G. Perrin,M,28,169.0,447,M,827506,EUR,834105600,M,10,10,False,30.0,24.0,4.0,2.0,1.0,10.0,11.0,16.0,23.0,6.0,4.0,4.0,2.0,,,,90.0,48.0,7.5,14.0,0.111678,1,,4.0,,1.0,1.0,,1.0,,,,3.0,2.0,,0.0321,2.0,,,,,,,2.0,1.0,,,,,,,
12450274,home,Auxerre,Han-Noah Massengo,,,massengo-han-noah,H. Massengo,M,4,175.0,564,M,927340,EUR,994377600,M,80,80,False,41.0,37.0,2.0,1.0,0.0,24.0,25.0,13.0,17.0,3.0,1.0,1.0,6.0,,,,90.0,46.0,6.6,5.0,0.0119085,0,,1.0,1.0,3.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,
12450274,home,Auxerre,Assane Dioussé,,,assane-diousse,A. Dioussé,M,18,175.0,297,M,782240,EUR,874713600,M,18,18,False,43.0,33.0,5.0,3.0,0.0,19.0,25.0,14.0,18.0,,,,3.0,,,,74.0,48.0,6.5,11.0,0.00970323,0,,,,4.0,1.0,,,2.0,,,,,1.0,,,,1.0,,,,,,,2.0,,,,,,
12450274,home,Auxerre,Ado Onaiwu,,,ado-onaiwu,A. Onaiwu,M,45,180.0,644,M,489180,EUR,815788800,M,45,45,False,17.0,10.0,1.0,1.0,0.0,4.0,5.0,6.0,13.0,4.0,2.0,2.0,2.0,,,,73.0,30.0,6.4,14.0,0.00528807,0,,1.0,1.0,9.0,2.0,,,1.0,,,3.0,,2.0,,,2.0,,,,,,,,4.0,,,,,,
