match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_challengeLost,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_fouls,stat_keyPass,stat_shotOffTarget,player_sofascoreId,stat_hitWoodwork,stat_bigChanceCreated,stat_totalOffside,stat_ownGoals
11369783,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1350,M,599114,EUR,802569600,G,1,1,False,52.0,33.0,30.0,13.0,24.0,29.0,9.0,23.0,11.0,5.0,1.0,1.0,1.0,1.0,90.0,64.0,7.4,20.0,0.0,0.0,0.00455578,0,0.0971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369783,home,Royal Antwerp FC,Ritchie De Laet,ritchie-de-laet,R. De Laet,D,,186,92,M,30420,EUR,596678400,D,2,2,False,30.0,19.0,8.0,,16.0,19.0,3.0,12.0,6.0,,,,,,80.0,62.0,7.2,15.0,0.1016,0.0,0.00738998,1,,,,1.0,1.0,1.0,3.0,8.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,,,,
11369783,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1445,M,44575,EUR,604800000,D,23,23,False,41.0,28.0,14.0,5.0,22.0,30.0,6.0,11.0,7.0,,,,,,90.0,55.0,6.9,13.0,0.0375,0.0,0.0110153,1,,,,,1.0,2.0,2.0,5.0,,1.0,1.0,1.0,2.0,,,2.0,1.0,,True,1.0,,,,,,,,,,,,,
11369783,home,Royal Antwerp FC,Zeno Van Den Bosch,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191,594,M,1103765,EUR,1057449600,D,33,33,False,46.0,37.0,4.0,2.0,35.0,43.0,2.0,3.0,8.0,,,,,,90.0,59.0,7.2,10.0,0.0,0.0,0.00034616,0,,,,,5.0,6.0,6.0,10.0,,,,,6.0,1.0,1.0,3.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
11369783,home,Royal Antwerp FC,Jelle Bataille,jelle-bataille,J. Bataille,D,25,175,224,M,889387,EUR,927158400,D,34,34,False,39.0,25.0,11.0,5.0,13.0,18.0,15.0,24.0,7.0,,,,,,90.0,71.0,7.3,19.0,0.2413,0.2583,0.400459,1,,,,3.0,2.0,2.0,9.0,5.0,,2.0,,,3.0,,1.0,3.0,3.0,,,3.0,,1.0,3.0,1.0,1.0,2.0,3.0,,,,,,
11369783,home,Royal Antwerp FC,Alhassan Yusuf,alhassan-yusuf,A. Yusuf,M,80,175,917,M,943114,EUR,963878400,M,8,8,False,56.0,38.0,6.0,4.0,21.0,31.0,17.0,25.0,20.0,,,,,,90.0,76.0,7.4,20.0,0.0066,0.0,0.0209785,1,,,,,2.0,5.0,6.0,11.0,,,,,3.0,,3.0,6.0,3.0,,,4.0,,1.0,,,,,,1.0,,,,,
11369783,home,Royal Antwerp FC,Arthur Vermeeren,arthur-vermeeren,A. Vermeeren,M,18,180,4699,M,1149127,EUR,1107734400,M,48,48,False,23.0,17.0,3.0,2.0,9.0,10.0,8.0,14.0,10.0,,,,,,90.0,50.0,7.3,13.0,0.0183,0.0,0.031925,1,,Arthur Vermeeren,,1.0,4.0,2.0,11.0,8.0,2.0,6.0,3.0,,2.0,,3.0,2.0,1.0,1.0,,,,1.0,,,,2.0,2.0,1.0,arthurvermeeren,1.0,,,
11369783,home,Royal Antwerp FC,Gyrano Kerk,gyrano-kerk,G. Kerk,M,7,175,505,M,386950,EUR,817862400,M,7,7,False,11.0,6.0,,,3.0,4.0,3.0,7.0,8.0,,,,,,54.0,24.0,6.6,10.0,0.0392,0.0,0.106524,1,,,,,5.0,1.0,10.0,3.0,2.0,2.0,1.0,,1.0,,,,,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,
11369783,home,Royal Antwerp FC,Jacob Ondrejka,ondrejka-jacob,J. Ondrejka,M,17,180,1006,M,1004790,EUR,1030924800,M,17,17,False,22.0,9.0,2.0,1.0,1.0,6.0,10.0,24.0,6.0,,,,,,80.0,40.0,8.0,22.0,0.5187,0.037,0.11811,4,,,,8.0,,2.0,1.0,5.0,,2.0,1.0,2.0,,,,,,2.0,,,,1.0,2.0,,2.0,,3.0,,,,1.0,,
11369783,home,Royal Antwerp FC,Michel Ange Balikwisha,michel-ange-balikwisha,M. A. Balikwisha,M,10,177,4201,M,923969,EUR,989452800,M,10,10,False,27.0,20.0,,,3.0,8.0,18.0,24.0,3.0,,,,,,90.0,53.0,6.9,20.0,0.0334,0.0,0.207349,1,,,,5.0,2.0,,9.0,7.0,2.0,5.0,3.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,,3.0,1.0,,,2.0,2.0,,,,,,
