match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_wasFouled,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goodHighClaim,stat_punches,stat_goalAssist
11451072,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190.0,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,20.0,16.0,10.0,6.0,14.0,16.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,60.0,26.0,7.0,4.0,0.00055853,0,-0.6547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451072,home,Galatasaray,Sacha Boey,boey-sacha,S. Boey,D,93,178.0,14707,M,sacha_boey,980418,EUR,968803200,D,93,93,False,,41.0,33.0,3.0,3.0,12.0,16.0,21.0,25.0,5.0,12.0,2.0,,,90.0,58.0,6.6,13.0,0.0412889,0,,,,1.0,3.0,7.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
11451072,home,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187.0,2642,M,Nelsson,846148,EUR,908323200,D,25,25,False,,58.0,46.0,6.0,2.0,31.0,36.0,15.0,22.0,4.0,9.0,1.0,,,90.0,66.0,6.8,13.0,0.0237535,0,,,,,2.0,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11451072,home,Galatasaray,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187.0,12299,M,DAVINSON,566102,EUR,834537600,D,6,6,False,,96.0,83.0,10.0,7.0,40.0,43.0,43.0,53.0,5.0,9.0,,,,90.0,104.0,7.2,14.0,0.0209216,0,,,,,3.0,3.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11451072,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185.0,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,39.0,33.0,4.0,1.0,18.0,20.0,16.0,21.0,7.0,4.0,1.0,,,90.0,69.0,7.2,13.0,0.0513288,0,,,,,2.0,,,,1.0,1.0,1.0,3.0,,1.0,3.0,3.0,,2.0,1.0,,,,,,,,,,,,,,,
11451072,home,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185.0,4087,M,,138152,EUR,784425600,M,23,23,False,,29.0,23.0,5.0,3.0,8.0,9.0,15.0,20.0,,4.0,,,,75.0,34.0,6.8,8.0,0.082244,1,,,,1.0,,2.0,,,,,,2.0,2.0,,,,,,,1.0,1.0,0.0194,2.0,,,,,,,,,,,
11451072,home,Galatasaray,Hakim Ziyech,hakim-ziyech,H. Ziyech,M,30,181.0,61036,M,HZiyech,249437,EUR,732499200,M,22,22,False,,22.0,20.0,1.0,,3.0,3.0,17.0,23.0,3.0,2.0,1.0,,,60.0,37.0,6.5,10.0,0.0932331,1,,,,1.0,,7.0,2.0,,,,,,2.0,,4.0,2.0,,4.0,,,1.0,0.1068,1.0,1.0,,,,,,,,,,
11451072,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168.0,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,69.0,59.0,9.0,7.0,31.0,34.0,28.0,36.0,10.0,8.0,3.0,,,90.0,84.0,7.5,11.0,0.0506013,1,,,,4.0,3.0,8.0,2.0,,2.0,1.0,3.0,,2.0,4.0,,,,1.0,,1.0,,0.0293,1.0,,,,,,,,,,,
11451072,home,Galatasaray,Wilfried Zaha,wilfried-zaha,W. Zaha,M,10,180.0,18594,M,wilfriedzaha,111850,EUR,721353600,M,14,14,False,,29.0,25.0,,,7.0,7.0,19.0,23.0,7.0,3.0,1.0,,,82.0,56.0,8.9,15.0,0.127045,4,,,,,,4.0,1.0,1.0,,,1.0,4.0,,,8.0,6.0,,1.0,1.0,2.0,1.0,0.3061,1.0,,2.0,2.0,0.5679,,,,,,,
11451072,home,Galatasaray,Mauro Icardi,mauro-icardi,M. Icardi,F,9,181.0,38623,M,MauroIcardi,233114,EUR,730080000,F,9,9,False,,15.0,11.0,,,2.0,2.0,9.0,13.0,5.0,,,,,90.0,26.0,6.9,7.0,0.0289139,3,,,,3.0,3.0,4.0,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.5801,2.0,1.0,1.0,,0.0862,1.0,,,,,,
