match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_aerialLost,stat_errorLeadToAShot,stat_totalContest,stat_wonContest,stat_bigChanceMissed,captain,stat_goals,player_firstName,player_lastName,stat_totalOffside,stat_errorLeadToAGoal,stat_accurateKeeperSweeper,stat_penaltyWon,stat_penaltyMiss
10385660,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,39.0,33.0,9.0,3.0,31.0,32.0,2.0,7.0,1.0,1.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,90.0,56.0,7.2,6.0,0.0,0.0,0.00029268,0,0.8204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385660,home,Fulham,Kenny Tete,kenny-tete,K. Tete,D,2,180,1146,M,190877,EUR,813196800,D,2,2,False,40.0,29.0,5.0,2.0,14.0,19.0,16.0,24.0,3.0,4.0,5.0,,1.0,,,,,,,90.0,71.0,7.1,21.0,0.0414,0.1986,0.159227,1,,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
10385660,home,Fulham,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,352668,EUR,875059200,D,4,4,False,56.0,49.0,7.0,4.0,32.0,32.0,17.0,24.0,2.0,6.0,2.0,,1.0,,,,,,,90.0,65.0,6.4,7.0,0.2365,0.0,0.0072066,3,,,,,4.0,4.0,1.0,,,,,,,,1.0,tosinadarabioyo,2.0,1.0,,,,,,,,,,,,,,,,
10385660,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,54.0,52.0,2.0,2.0,43.0,45.0,9.0,9.0,2.0,2.0,3.0,,1.0,,,,,,,77.0,63.0,6.8,6.0,0.0,0.0,0.00261327,0,,,,,1.0,3.0,1.0,,,,,2.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,
10385660,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,50.0,38.0,8.0,4.0,23.0,29.0,16.0,22.0,5.0,,9.0,,,,,,,,,90.0,68.0,5.8,18.0,0.0,0.0,0.0127528,0,,,1.0,1.0,1.0,2.0,4.0,,,,3.0,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,
10385660,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,55.0,44.0,5.0,1.0,21.0,26.0,23.0,29.0,11.0,,11.0,1.0,3.0,,,,,,,90.0,80.0,6.9,14.0,0.1906,0.0,0.0121994,1,,,,,2.0,16.0,4.0,1.0,,,2.0,10.0,7.0,4.0,1.0,Palhinha,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,
10385660,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,False,46.0,33.0,4.0,2.0,16.0,21.0,17.0,26.0,4.0,,4.0,,1.0,,,,,,,77.0,59.0,6.7,16.0,0.2963,0.3131,0.0455254,2,,1.0,1.0,,2.0,4.0,2.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,
10385660,home,Fulham,Harry Wilson,harry-wilson,H. Wilson,M,8,173,4932,M,355528,EUR,858988800,M,8,8,False,38.0,28.0,4.0,3.0,9.0,10.0,19.0,28.0,4.0,,5.0,,1.0,,,,,,,82.0,53.0,6.9,16.0,0.0,0.0,0.234627,0,,1.0,,,,5.0,1.0,1.0,,,,,,5.0,3.0,,,,,3.0,,,1.0,,,,,,,,,,,
10385660,home,Fulham,Tom Cairney,tom-cairney,T. Cairney,M,10,185,581,M,82566,EUR,664329600,M,10,10,False,51.0,47.0,1.0,1.0,24.0,25.0,23.0,27.0,4.0,,4.0,,2.0,,,,,,,82.0,66.0,8.4,7.0,0.251,1.1169,0.0426257,3,,,1.0,,,4.0,,,,2.0,,2.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,,True,2.0,,,,,,,
10385660,home,Fulham,Willian,willian,Willian,F,88,175,9698,M,31417,EUR,587088000,M,20,20,False,30.0,26.0,3.0,2.0,11.0,11.0,17.0,21.0,1.0,1.0,3.0,,1.0,,,,,,,82.0,41.0,8.7,5.0,0.1217,1.0249,0.258072,3,,,2.0,2.0,,1.0,,1.0,1.0,2.0,,,,,3.0,willianborges88,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,
