match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury,length,description,reason,playerName,rescinded,confirmed
12499690,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12499690,,3.0,1.0,,90,3.0,,1,,,goal,188865647.0,True,regular,259803.0,Haris Tabaković,,,,,,,
12499690,,,,,90,2.0,,1,,,substitution,123188754.0,True,regular,,,False,,,,,,
12499690,,,,,90,0.0,,1,,,injuryTime,,,,,,,5.0,,,,,
12499690,,,,,89,,,2,,,inGamePenalty,118496501.0,False,missed,877297.0,Lukas Daschner,,,Goalkeeper save,goalkeeperSave,,,
12499690,,,,,82,,,9,,,card,121647548.0,True,yellow,378340.0,Marius Bülter,,,,Foul,Marius Bülter,False,
12499690,,,,,80,,,11,,,substitution,123188542.0,True,regular,,,False,,,,,,
12499690,,,,,80,,,11,,,substitution,123188541.0,True,regular,,,False,,,,,,
12499690,,,,,76,,,15,,,substitution,123188481.0,False,regular,,,False,,,,,,
12499690,,2.0,1.0,,76,,,15,,,goal,188863519.0,False,regular,117794.0,Cristian Gamboa,,,,,,,
12499690,,,,,72,,,19,,,substitution,123188433.0,True,injury,,,True,,,,,,
12499690,,,,,72,,,19,,,substitution,123188432.0,True,regular,,,False,,,,,,
12499690,,,,,66,,,25,,,substitution,123188380.0,False,injury,,,True,,,,,,
12499690,,2.0,0.0,,64,,,27,,,goal,188862559.0,True,regular,378340.0,Marius Bülter,,,,,,,
12499690,,,,,55,,,36,,,card,121647350.0,False,yellow,833213.0,Erhan Mašović,,,,Foul,Erhan Mašović,False,
12499690,,,,,51,,,40,,,varDecision,28778.0,True,goalAwarded,378340.0,Marius Bülter,,,,,,,False
12499690,,,,,46,,,45,,,substitution,123188077.0,False,regular,,,False,,,,,,
12499690,,,,,46,,,45,,,substitution,123188076.0,False,regular,,,False,,,,,,
12499690,,,,,46,,,45,,,substitution,123188075.0,False,regular,,,False,,,,,,
12499690,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12499690,,,,,45,0.0,,1,,,injuryTime,,,,,,,1.0,,,,,
12499690,,1.0,0.0,,11,,,35,,,goal,188856519.0,True,regular,67647.0,Andrej Kramarić,,,,,,,
