match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalContest,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_wonContest,stat_wasFouled,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_lastManTackle,stat_errorLeadToAShot,stat_totalOffside
14573130,home,FC Noah,Timothy Fayulu,timothy-fayulu,T. Fayulu,G,16,192.0,2764,M,927616,EUR,932774400,G,16,16,False,31.0,28.0,7.0,4.0,0.0,28.0,30.0,1.0,6.0,1.0,90.0,34.0,6.9,3.0,0.00011918,0.0224,0,0.1304,0.03,0.01,0.18,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573130,home,FC Noah,Eric Boakye,eric-boakye,E. Boakye,D,6,173.0,112,M,924969,EUR,942969600,D,6,6,False,42.0,38.0,3.0,1.0,0.0,14.0,18.0,27.0,1.0,,89.0,66.0,7.3,8.0,0.0516252,,0,,0.4,0.06,-0.01,,25.0,3.0,1.0,2.0,3.0,3.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573130,home,FC Noah,Nathanaël Saintini,nathanael-saintini,N. Saintini,D,39,188.0,56,M,986992,EUR,959644800,D,39,39,False,85.0,79.0,11.0,8.0,0.0,44.0,46.0,39.0,,,90.0,92.0,7.5,9.0,0.0130186,,0,,0.37,0.23,0.13,,35.0,,,3.0,3.0,3.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14573130,home,FC Noah,Sergey Muradyan,sergey-muradyan,S. Muradyan,D,3,189.0,183,M,1408999,EUR,1093564800,D,3,3,False,101.0,95.0,8.0,4.0,0.0,68.0,70.0,31.0,4.0,,90.0,111.0,7.6,6.0,0.0130503,,0,,0.31,0.19,0.28,,27.0,,,1.0,2.0,2.0,,7.0,,,,1.0,1.0,,1.0,,Sergey Muradyan,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14573130,home,FC Noah,David Sualehe,david-sualehe,D. Sualehe,D,33,183.0,78,M,796161,EUR,859075200,D,33,33,False,70.0,68.0,2.0,1.0,0.0,28.0,28.0,48.0,1.0,,90.0,92.0,7.0,10.0,0.10607,,0,,0.25,0.16,0.0,,41.0,6.0,1.0,1.0,7.0,5.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,
14573130,home,FC Noah,Yan Eteki,yan-eteki,Y. Eteki,M,88,187.0,120,M,848082,EUR,872553600,M,88,88,False,64.0,62.0,4.0,3.0,0.0,34.0,34.0,30.0,8.0,,90.0,73.0,6.9,2.0,0.0304687,,1,,0.15,0.13,-0.08,,28.0,,,1.0,8.0,6.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,,,,4.0,,3.0,1.0,0.0225,-0.11,,,,,,,,,,,,,,,,,
14573130,home,FC Noah,Hélder Ferreira,helder-ferreira,H. Ferreira,M,7,180.0,120,M,892206,EUR,860198400,M,7,7,False,25.0,19.0,1.0,1.0,0.0,8.0,10.0,15.0,4.0,,75.0,40.0,6.0,11.0,0.100645,,4,,0.25,0.14,-0.12,,11.0,,,,8.0,3.0,2.0,1.0,,2.0,,3.0,2.0,3.0,,2.0,,,,,1.0,3.0,0.5489,-0.71,True,1.0,1.0,1.0,0.4181,,,,,,,,,,,,
14573130,home,FC Noah,Gustavo Sangaré,gustavo-sangare,G. Sangaré,M,17,180.0,2992,M,1019038,EUR,847411200,M,17,17,False,42.0,37.0,2.0,2.0,0.0,19.0,20.0,22.0,1.0,,89.0,60.0,7.0,8.0,0.0145778,,4,,-0.13,0.27,-0.05,,18.0,,,,7.0,6.0,3.0,2.0,,3.0,2.0,3.0,1.0,,2.0,1.0,,,1.0,1.0,2.0,1.0,0.1031,-0.26,,,1.0,,0.077,2.0,,,,,,,,,,,
14573130,home,FC Noah,Takuto Oshima,oshima-takuto,T. Oshima,M,14,175.0,140,M,1103106,EUR,896659200,M,14,14,False,34.0,34.0,2.0,2.0,1.0,12.0,12.0,24.0,2.0,,87.0,52.0,8.2,5.0,0.414361,,0,,0.65,0.1,-0.03,,24.0,2.0,2.0,,5.0,4.0,1.0,2.0,1.0,,,3.0,3.0,1.0,1.0,3.0,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,
14573130,home,FC Noah,Marin Jakoliš,marin-jakolis,M. Jakoliš,M,47,182.0,547,M,319149,EUR,851558400,M,47,47,False,29.0,24.0,2.0,1.0,0.0,10.0,12.0,18.0,4.0,,90.0,48.0,6.5,10.0,0.0164568,,3,,-0.24,-0.55,0.28,,14.0,1.0,,,2.0,2.0,,3.0,1.0,2.0,2.0,1.0,,1.0,,2.0,,,,,,2.0,0.13,-0.32,,,,,,1.0,,,,,,,,,,,
