match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_blockedScoringAttempt,stat_expectedGoals,stat_challengeLost,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_lastManTackle,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon
12437848,home,Real Betis,Adrián,adrian,Adrián,G,13,190.0,2131,M,50539,EUR,536630400,G,13,13,False,34.0,24.0,22.0,12.0,0.0,15.0,17.0,9.0,17.0,7.0,2.0,1.0,1.0,2.0,90.0,42.0,6.8,11.0,0.00260918,0,-1.3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437848,home,Real Betis,Youssouf Sabaly,youssouf-sabaly,Y. Sabaly,D,17,174.0,5678,M,111803,EUR,731289600,D,23,23,False,19.0,17.0,1.0,1.0,0.0,12.0,13.0,6.0,7.0,2.0,,,,,45.0,38.0,6.7,4.0,0.036988,0,,,,youssouf_sabaly23,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12437848,home,Real Betis,Marc Bartra,marc-bartra,M. Bartra,D,5,183.0,1917,M,99519,EUR,663897600,D,5,5,False,54.0,42.0,14.0,10.0,0.0,30.0,34.0,12.0,20.0,4.0,,,,,90.0,77.0,6.6,15.0,0.0146022,0,,,,,,,7.0,10.0,,,2.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,
12437848,home,Real Betis,Diego Llorente,diego-llorente,D. Llorente,D,3,185.0,1146,M,305278,EUR,745459200,D,3,3,False,53.0,42.0,12.0,5.0,0.0,29.0,33.0,13.0,20.0,7.0,,,,,90.0,61.0,6.3,11.0,0.0104319,1,,,,,,,3.0,4.0,2.0,,,3.0,3.0,3.0,,,,,,,,1.0,0.0611,,,,,,,,,,,,
12437848,home,Real Betis,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,12,182.0,1729,M,67769,EUR,714700800,D,12,12,False,18.0,12.0,1.0,,0.0,6.0,9.0,6.0,10.0,3.0,,,,,41.0,29.0,6.3,9.0,0.00228777,0,,,,,1.0,,2.0,,,,,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
12437848,home,Real Betis,Pablo Fornals,pablo-fornals,P. Fornals,M,8,178.0,2735,M,816763,EUR,824947200,M,18,18,False,42.0,30.0,6.0,4.0,0.0,12.0,16.0,18.0,26.0,2.0,,,,,71.0,51.0,7.0,14.0,0.27908,1,,,,,,,3.0,1.0,,1.0,2.0,2.0,2.0,3.0,,,,,,,,1.0,0.142,1.0,2.0,,,,,,,,,,
12437848,home,Real Betis,Johnny Cardoso,johnny,J. Cardoso,M,5,186.0,5097,M,990169,EUR,1000944000,M,4,4,False,39.0,34.0,1.0,,0.0,23.0,26.0,11.0,13.0,5.0,,,,,90.0,55.0,6.3,10.0,0.00743962,0,,,,,,,3.0,2.0,4.0,1.0,,,2.0,6.0,3.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,
12437848,home,Real Betis,Jesús Rodriguez,jesus-rodriguez,J. Rodriguez,M,17,185.0,4146,M,1800245,EUR,1132531200,M,36,36,False,20.0,14.0,,,0.0,6.0,7.0,8.0,13.0,2.0,,,,,71.0,48.0,6.7,19.0,0.00990795,1,,,,,,,7.0,,,4.0,2.0,,2.0,12.0,3.0,7.0,,2.0,2.0,,2.0,,0.0147,1.0,,1.0,1.0,1.0,0.3022,,,,,,
12437848,home,Real Betis,Isco,isco,Isco,M,22,176.0,26276,M,103417,EUR,703814400,M,22,22,False,44.0,35.0,5.0,3.0,1.0,12.0,13.0,24.0,34.0,3.0,,,,,90.0,68.0,6.6,22.0,0.10678,2,,,,iscoalarcon,3.0,1.0,5.0,,,4.0,3.0,,1.0,7.0,3.0,5.0,,,,,,2.0,0.2271,,3.0,1.0,,,,True,,,,,
12437848,home,Real Betis,Abdessamad Ezzalzouli,abdessamad-ezzalzouli,A. Ezzalzouli,M,10,177.0,44492,M,1011375,EUR,1008547200,M,10,10,False,17.0,14.0,3.0,3.0,0.0,5.0,5.0,9.0,15.0,2.0,,,,,60.0,27.0,6.8,8.0,0.0070632,0,,,,ez_abde,3.0,,4.0,1.0,,1.0,1.0,3.0,1.0,5.0,,3.0,,,,,1.0,,,,1.0,2.0,,,,,,,,,
