match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoalsOnTarget,player_lastName,stat_dispossessed,stat_errorLeadToAShot,stat_lastManTackle,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_penaltyWon,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,player_sofascoreId,stat_penaltyFaced,stat_penaltyConceded
12441674,home,SC Heerenveen,Andries Noppert,andries-noppert,A. Noppert,G,44,203.0,438,M,339339,EUR,765676800,G,44,44,False,30.0,17.0,19.0,6.0,0.0,15.0,18.0,2.0,12.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,39.0,7.0,14.0,0.00054353,0,0.2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441674,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,45,174.0,214,M,1150061,EUR,1077321600,D,45,45,False,40.0,30.0,4.0,,0.0,13.0,15.0,17.0,26.0,5.0,,,,,,90.0,74.0,7.1,17.0,0.0323407,1,,Oliver Braude,1.0,2.0,4.0,7.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0252,,,,,,,,,,,,,,,,,,,,,,,
12441674,home,SC Heerenveen,Sam Kersten,sam-kersten,S. Kersten,D,4,191.0,83,M,847072,EUR,886118400,D,4,4,False,32.0,27.0,2.0,,0.0,18.0,20.0,9.0,13.0,1.0,,,,,,45.0,42.0,7.0,6.0,0.00397224,1,,,1.0,1.0,2.0,1.0,,,,4.0,,,,,,0.0649,2.0,1.0,1.0,1.0,0.3363,,,,,,,,,,,,,,,,,,
12441674,home,SC Heerenveen,Nikolai Soyset Hopland,hopland-nikolai-soyset,N. S. Hopland,D,17,186.0,224,M,1121247,EUR,1090627200,D,17,17,False,56.0,44.0,6.0,1.0,0.0,26.0,31.0,18.0,25.0,4.0,,,,,,90.0,78.0,7.1,15.0,0.0128768,0,,,,4.0,6.0,6.0,,,,13.0,2.0,1.0,1.0,,,,4.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,
12441674,home,SC Heerenveen,Hristiyan Petrov,hristiyan-petrov,H. Petrov,D,28,184.0,322,M,1129996,EUR,1024876800,D,28,28,False,24.0,20.0,,,0.0,11.0,11.0,9.0,14.0,2.0,,,,,,64.0,45.0,7.3,9.0,0.00780386,1,,,1.0,,1.0,1.0,,,,4.0,1.0,,2.0,,1.0,0.0329,,1.0,,4.0,0.3486,,,,,,,,,,,,,,,,,,
12441674,home,SC Heerenveen,Marcus Linday,marcus-linday,M. Linday,M,16,186.0,207,M,1627623,EUR,1054512000,M,16,16,False,49.0,39.0,1.0,,0.0,16.0,17.0,23.0,32.0,6.0,,,,,,90.0,61.0,7.3,11.0,0.0189353,1,,Marcus Linday,,2.0,5.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,,,1.0,0.0284,4.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
12441674,home,SC Heerenveen,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,8,180.0,141,M,794014,EUR,894153600,M,8,8,False,40.0,33.0,,,0.0,16.0,20.0,17.0,21.0,1.0,,,,,,90.0,65.0,7.6,11.0,0.0173934,1,,,1.0,4.0,7.0,9.0,1.0,1.0,,5.0,3.0,2.0,1.0,1.0,2.0,0.091,2.0,,,2.0,,,1.0,,,True,2.0,1.0,1.0,,,,,,,,,,
12441674,home,SC Heerenveen,Jacob Trenskow,trenskow-jacob,J. Trenskow,M,20,178.0,432,M,1015627,EUR,975196800,M,20,20,False,30.0,25.0,1.0,,0.0,5.0,6.0,21.0,27.0,5.0,,,,,,80.0,38.0,6.9,7.0,0.0566144,1,,,3.0,,1.0,1.0,,,,,1.0,,,,,0.0855,1.0,,,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,
12441674,home,SC Heerenveen,Levi Smans,levi-smans,L. Smans,M,14,175.0,135,M,1133678,EUR,1048550400,M,14,14,False,37.0,30.0,1.0,1.0,0.0,8.0,10.0,26.0,35.0,3.0,,,,,,89.0,60.0,7.5,19.0,0.112675,1,,Levi Smans,8.0,1.0,5.0,4.0,2.0,1.0,,1.0,,,6.0,2.0,1.0,0.0598,2.0,1.0,,,0.6141,,1.0,,,,,,,4.0,,4.0,,,,,,,
12441674,home,SC Heerenveen,Ilias Sebaoui,ilias-sebaoui,I. Sebaoui,M,10,180.0,683,M,1154586,EUR,1002153600,M,10,10,False,19.0,15.0,3.0,1.0,0.0,6.0,7.0,9.0,14.0,10.0,,,,,,90.0,45.0,6.9,13.0,0.0658263,4,,Ilias Sebaoui,2.0,,7.0,5.0,3.0,1.0,1.0,2.0,1.0,,3.0,3.0,2.0,0.2947,,1.0,,2.0,0.1807,,2.0,,,,1.0,2.0,,,2.0,3.0,1.0,,,,,,
