match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,player_firstName,player_lastName,stat_bigChanceMissed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,player_sofascoreId,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalOffside,stat_goals
12436941,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,1,1,False,True,32.0,27.0,10.0,5.0,0.0,25.0,25.0,2.0,7.0,6.0,2.0,2.0,90.0,37.0,6.5,5.0,0.00051583,0,-0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436941,home,Fulham,Kenny Tete,kenny-tete,K. Tete,D,2,180,1146,M,190877,EUR,813196800,D,2,2,False,,35.0,24.0,5.0,1.0,0.0,11.0,14.0,14.0,23.0,2.0,,,90.0,67.0,7.3,13.0,0.0170491,2,,2.0,1.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,0.0886,1.0,,,,,,,,,,,,,,,
12436941,home,Fulham,Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2378,M,362682,EUR,833500800,D,5,5,False,,71.0,58.0,19.0,10.0,0.0,46.0,48.0,12.0,23.0,7.0,,,90.0,90.0,7.5,13.0,0.00676422,1,,,,5.0,2.0,10.0,1.0,1.0,,8.0,1.0,3.0,2.0,2.0,,0.0104,,1.0,,,,,,,,,,,,,,
12436941,home,Fulham,Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,8710,M,861972,EUR,946598400,D,3,3,False,,43.0,36.0,5.0,1.0,0.0,29.0,34.0,7.0,9.0,2.0,,,90.0,61.0,7.2,9.0,0.00377148,1,,,,2.0,,7.0,,1.0,,6.0,2.0,1.0,1.0,4.0,,0.0751,,,,,1.0,1.0,1.0,,,,,,,,,
12436941,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,,34.0,26.0,5.0,3.0,0.0,15.0,19.0,14.0,19.0,3.0,,,90.0,68.0,7.5,15.0,0.184668,0,,4.0,3.0,2.0,5.0,10.0,1.0,,,3.0,2.0,6.0,3.0,,3.0,,1.0,,,,,1.0,1.0,3.0,2.0,,,,,,,
12436941,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,,31.0,21.0,4.0,1.0,0.0,11.0,13.0,11.0,23.0,4.0,,,86.0,49.0,7.0,16.0,0.0342813,5,,5.0,1.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,,,,1.0,2.0,0.21,2.0,1.0,,,,,1.0,1.0,1.0,andreaspereira,1.0,1.0,0.1688,,,
12436941,home,Fulham,Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2086,M,371222,EUR,839894400,M,20,20,False,,27.0,25.0,,,0.0,19.0,21.0,6.0,6.0,3.0,,,66.0,37.0,6.7,4.0,0.00152769,0,,,,2.0,6.0,6.0,1.0,,,1.0,,3.0,3.0,1.0,3.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,
12436941,home,Fulham,Adama Traoré,adama-traore,A. Traoré,F,17,178,12517,M,286165,EUR,822528000,M,11,11,False,,16.0,11.0,1.0,,0.0,5.0,7.0,6.0,12.0,2.0,,,90.0,41.0,7.2,10.0,0.0181647,4,,3.0,,1.0,2.0,13.0,,2.0,1.0,,,3.0,2.0,4.0,,0.558,2.0,1.0,,,2.0,,1.0,6.0,5.0,adamatrd,,1.0,0.1058,,,
12436941,home,Fulham,Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7311,M,867445,EUR,964742400,M,32,32,False,,27.0,26.0,2.0,2.0,1.0,10.0,11.0,17.0,17.0,2.0,,,73.0,47.0,7.4,8.0,0.661134,3,,1.0,1.0,,6.0,3.0,1.0,,3.0,1.0,1.0,3.0,3.0,,1.0,0.2229,3.0,,,,,,2.0,2.0,,esr,2.0,,,1.0,1.0,
12436941,home,Fulham,Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,8263,M,352770,EUR,831081600,M,17,17,False,,25.0,19.0,1.0,,0.0,4.0,6.0,16.0,22.0,4.0,,,66.0,43.0,7.1,14.0,0.390282,1,,3.0,1.0,,3.0,5.0,,,1.0,,,3.0,2.0,1.0,,0.0385,2.0,,,,,,2.0,2.0,1.0,alexanderiwobi,2.0,,,,,
