match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_bigChanceCreated,stat_outfielderBlock,stat_lastManTackle,stat_hitWoodwork
12448317,home,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196.0,132,M,945955,EUR,878256000,G,1,1,False,35.0,15.0,30.0,10.0,0.0,6.0,6.0,9.0,29.0,10.0,1.0,1.0,90.0,38.0,6.4,20.0,0.00753159,0,-0.7165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448317,home,Almere City FC,Hamdi Akujobi,hamdi-akujobi,H. Akujobi,D,,175.0,76,M,983662,EUR,948326400,D,20,20,False,22.0,16.0,4.0,1.0,0.0,10.0,11.0,6.0,11.0,5.0,,,90.0,46.0,6.8,17.0,0.00698079,0,,3.0,1.0,7.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12448317,home,Almere City FC,Joey Jacobs,joey-jacobs,J. Jacobs,D,3,183.0,24,M,930838,EUR,955324800,D,3,3,False,20.0,10.0,9.0,1.0,0.0,5.0,7.0,5.0,13.0,2.0,,,90.0,38.0,6.8,10.0,0.00440997,0,,3.0,6.0,5.0,11.0,2.0,1.0,1.0,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
12448317,home,Almere City FC,Ricardo Visus,ricardo-visus,R. Visus,D,14,192.0,119,M,1046322,EUR,988070400,D,4,4,False,13.0,8.0,5.0,1.0,0.0,7.0,8.0,1.0,5.0,1.0,,,90.0,25.0,6.5,5.0,0.0005422,0,,1.0,3.0,2.0,9.0,,1.0,,,,1.0,2.0,Ricardo Visus,,,,,,,,,,,,,,,,,,,,,,
12448317,home,Almere City FC,Vasilios Zagaritis,vassilis-zagaritis,V. Zagaritis,D,19,178.0,227,M,1064426,EUR,988934400,D,14,14,False,21.0,17.0,3.0,2.0,0.0,9.0,11.0,14.0,20.0,10.0,,,85.0,58.0,7.7,14.0,0.329689,1,,,5.0,6.0,4.0,3.0,,,2.0,3.0,,2.0,,,10.0,6.0,1.0,5.0,3.0,1.0,1.0,0.0268,6.0,,,,,,,,,,,,
12448317,home,Almere City FC,Alex Balboa,alex-balboa,A. Balboa,M,8,181.0,73,M,1167698,EUR,983836800,M,23,23,False,11.0,8.0,2.0,1.0,0.0,5.0,6.0,3.0,5.0,2.0,,,84.0,23.0,7.0,3.0,0.002174,3,,2.0,2.0,5.0,4.0,2.0,,,,3.0,1.0,,,,,,,,,2.0,,0.1262,,1.0,1.0,,,,,,,,,,
12448317,home,Almere City FC,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177.0,175,M,1157777,EUR,1067731200,M,5,5,False,26.0,20.0,2.0,1.0,0.0,10.0,12.0,10.0,14.0,6.0,,,90.0,42.0,7.0,7.0,0.0158234,0,,1.0,,4.0,4.0,2.0,2.0,1.0,1.0,1.0,,,Jochem van de Kamp,,,,,,,,,,,,,,,,,,,,,,
12448317,home,Almere City FC,Kornelius Normann,kornelius-hansen,K. Hansen,M,11,175.0,64,M,989864,EUR,989107200,M,17,17,False,9.0,5.0,2.0,1.0,0.0,2.0,4.0,3.0,8.0,3.0,,,90.0,33.0,6.2,17.0,0.00437744,3,,,8.0,3.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,3.0,,1.0,7.0,1.0,1.0,,0.1851,,,2.0,,,,,,,,,,
12448317,home,Almere City FC,Thomas Robinet,thomas-robinet,T. Robinet,M,9,180.0,359,M,790802,EUR,840326400,M,9,9,False,14.0,11.0,1.0,1.0,1.0,5.0,5.0,6.0,9.0,2.0,,,45.0,23.0,7.3,4.0,0.0566916,2,,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,0.1786,1.0,,1.0,True,,,,,,,,,
12448317,home,Almere City FC,Faiz Mattoir,mattoir-faiz,F. Mattoir,F,24,164.0,48,M,1007838,EUR,963360000,M,24,24,False,10.0,9.0,,,0.0,4.0,4.0,6.0,11.0,1.0,,,71.0,29.0,6.5,13.0,0.0778382,0,,,4.0,3.0,2.0,,2.0,1.0,4.0,1.0,,1.0,,,5.0,1.0,,3.0,,,,,1.0,,,,,,,,,,,,
