match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,captain,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside
11450106,home,Konyaspor,Jakub Słowik,jakub-slowik,J. Słowik,G,24,190,232,M,95437,EUR,683596800,G,27,27,False,37.0,23.0,21.0,7.0,17.0,19.0,6.0,18.0,1.0,2.0,2.0,6.0,1.0,3.0,1.0,2.0,90.0,48.0,7.2,14.0,0.00189878,0,0.0447,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450106,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,44.0,35.0,8.0,6.0,18.0,19.0,17.0,25.0,1.0,3.0,1.0,5.0,2.0,,,,90.0,65.0,7.1,13.0,0.0248228,1,,,,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0131,1.0,,,,,,,,,,,,,,,
11450106,home,Konyaspor,Uğurcan Yazğılı,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,D,5,5,False,56.0,48.0,7.0,4.0,37.0,39.0,11.0,17.0,4.0,4.0,5.0,4.0,,,,,90.0,61.0,7.1,8.0,0.0084007,0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,
11450106,home,Konyaspor,Filip Damjanović,filip-damjanovic,F. Damjanović,D,33,183,46,M,851666,EUR,899337600,D,33,33,False,56.0,52.0,2.0,1.0,42.0,44.0,10.0,12.0,6.0,6.0,4.0,1.0,,,,,90.0,63.0,7.2,4.0,0.00415381,1,,,,1.0,2.0,,1.0,,,,1.0,0.0134,,1.0,,,,,,,,,,,,,,
11450106,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,45.0,37.0,5.0,2.0,21.0,23.0,19.0,27.0,,1.0,3.0,5.0,1.0,,,,90.0,75.0,7.5,14.0,0.0437807,1,,,,,2.0,1.0,,4.0,,1.0,1.0,0.0498,3.0,,True,5.0,3.0,1.0,,,,,,,,,,
11450106,home,Konyaspor,Steven​ N'Zonzi,steven-nzonzi,S. N'Zonzi,M,15,196,565,M,51652,EUR,598147200,M,37,37,False,72.0,65.0,6.0,5.0,36.0,37.0,29.0,35.0,4.0,4.0,3.0,10.0,,,,,90.0,81.0,7.1,8.0,0.0282465,0,,,,4.0,6.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,
11450106,home,Konyaspor,Louka Prip,prip-louka,L. Prip,M,,182,142,M,976127,EUR,867542400,M,11,11,False,14.0,10.0,,,3.0,4.0,8.0,11.0,,3.0,,2.0,,,,,75.0,32.0,6.9,14.0,0.0817146,2,,,,,6.0,2.0,1.0,,,6.0,,0.3554,,,,1.0,1.0,,5.0,1.0,1.0,1.0,2.0,0.9576,,,,
11450106,home,Konyaspor,Alexandru Cicâldău,alexandru-cicaldau,A. Cicâldău,M,20,178,682,M,827540,EUR,868320000,M,8,8,False,26.0,21.0,2.0,1.0,9.0,9.0,12.0,17.0,,4.0,,2.0,3.0,,,,75.0,40.0,6.7,11.0,0.0151558,2,,,,1.0,5.0,1.0,1.0,1.0,,3.0,1.0,0.025,1.0,,,,,1.0,2.0,1.0,,,,,1.0,,,
11450106,home,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,82,M,847782,EUR,746841600,M,6,6,False,39.0,33.0,4.0,3.0,19.0,20.0,14.0,19.0,1.0,3.0,,2.0,2.0,,,,86.0,45.0,6.7,8.0,0.00943031,2,,,,,2.0,,1.0,,1.0,1.0,1.0,0.085,,,,,,1.0,1.0,,,,,,,,,
11450106,home,Konyaspor,Valon Ethemi,valon-ethemi,V. Ethemi,M,27,179,121,M,904945,EUR,875836800,M,72,72,False,14.0,10.0,,,2.0,5.0,8.0,10.0,1.0,2.0,,3.0,,,,,62.0,28.0,6.5,12.0,0.0375725,2,,,,,6.0,1.0,2.0,,,2.0,,0.0689,,,,1.0,,,3.0,1.0,,,,,3.0,,,
