match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,from,player_id,player_name,playerName,reason,rescinded,description
12189936,FT,4.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12189936,,,,,90,0.0,,1,,,injuryTime,6.0,,,,,,,,,,,
12189936,,,,,88,,,3,,,substitution,,122553827.0,False,True,regular,,,,,,,
12189936,,4.0,2.0,,87,,,4,,,goal,,180568478.0,,True,penalty,penalty,1173734.0,Jonathan Jimenez,,,,
12189936,,,,,86,,,5,,,card,,121240248.0,,False,yellow,,1808005.0,Juan Esteban Gutierrez,Juan Esteban Gutierrez,Handball,False,
12189936,,,,,81,,,10,,,substitution,,122553825.0,False,False,regular,,,,,,,
12189936,,,,,80,,,11,,,substitution,,122553824.0,True,True,injury,,,,,,,
12189936,,,,,65,,,26,,,substitution,,122553806.0,False,False,regular,,,,,,,
12189936,,,,,64,,,27,,,inGamePenalty,,118457820.0,,False,missed,,1546887.0,Julian Hall,,goalkeeperSave,,Goalkeeper save
12189936,,,,,54,,,37,,,substitution,,122553782.0,False,False,regular,,,,,,,
12189936,,3.0,2.0,,47,,,44,,,goal,,180567428.0,,False,regular,,1068400.0,Serge Ngoma,,,,
12189936,HT,3.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12189936,,3.0,1.0,,45,,,1,,,goal,,180567041.0,,True,regular,,1652363.0,Malachi Jones,,,,
12189936,,,,,45,0.0,,1,,,injuryTime,1.0,,,,,,,,,,,
12189936,,2.0,1.0,,38,,,8,,,goal,,180566806.0,,True,regular,,1173734.0,Jonathan Jimenez,,,,
12189936,,1.0,1.0,,22,,,24,,,goal,,180566520.0,,True,regular,,1173734.0,Jonathan Jimenez,,,,
12189936,,0.0,1.0,,6,,,40,,,goal,,180566098.0,,False,regular,,1802297.0,Mohammed Sofo,,,,
