match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_outfielderBlock,stat_fouls,stat_clearanceOffLine,stat_errorLeadToAShot,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,player_sofascoreId,stat_goodHighClaim
13329565,home,Birmingham City,Bailey Peacock-Farrell,,,bailey-peacock-farrell,B. Peacock-Farrell,G,1,194,181,M,826259,EUR,846547200,G,45,45,False,36.0,24.0,24.0,12.0,0.0,13.0,13.0,11.0,23.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,90.0,42.0,7.0,12.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13329565,home,Birmingham City,Ethan Laird,,,laird-ethan,E. Laird,D,2,177,535,M,927363,EUR,996969600,D,2,2,False,15.0,3.0,5.0,,0.0,3.0,4.0,,12.0,6.0,,1.0,2.0,,,,,,90.0,54.0,7.5,21.0,,2,1.0,3.0,4.0,12.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,
13329565,home,Birmingham City,Christoph Klarer,,,christoph-klarer,C. Klarer,D,4,191,229,M,865554,EUR,960940800,D,4,4,False,33.0,27.0,5.0,1.0,0.0,21.0,23.0,6.0,10.0,4.0,1.0,6.0,5.0,,,,,,90.0,50.0,6.9,6.0,1.0,0,,2.0,2.0,4.0,,,,,,,2.0,2.0,2.0,,,True,2.0,1.0,,,,,,,,,
13329565,home,Birmingham City,Ben Davies,,,ben-davies,B. Davies,D,29,185,351,M,309218,EUR,808099200,D,25,25,False,31.0,28.0,5.0,2.0,0.0,23.0,24.0,5.0,7.0,2.0,1.0,5.0,3.0,,,,,,90.0,42.0,6.9,3.0,,0,,1.0,,1.0,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,,,,,,
13329565,home,Birmingham City,Alex Cochrane,,,alex-cochrane,A. Cochrane,D,20,173,103,M,970353,EUR,956275200,D,20,20,False,20.0,13.0,2.0,,0.0,9.0,12.0,4.0,10.0,6.0,2.0,2.0,3.0,,,,,,90.0,37.0,6.1,12.0,,0,2.0,,,2.0,,,,,,,3.0,2.0,1.0,1.0,,,,4.0,,1.0,,,,,,,
13329565,home,Birmingham City,Tomoki Iwata,,,iwata-tomoki,T. Iwata,M,24,176,546,M,794520,EUR,860371200,M,24,24,False,20.0,16.0,3.0,1.0,0.0,10.0,11.0,6.0,9.0,5.0,4.0,3.0,1.0,,,,,,84.0,30.0,7.2,4.0,2.0,1,,,2.0,3.0,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,,
13329565,home,Birmingham City,Marc Leonard,,,marc-leonard,M. Leonard,M,49,180,177,M,1004556,EUR,1008720000,M,12,12,False,21.0,17.0,1.0,1.0,0.0,6.0,9.0,12.0,15.0,2.0,1.0,,2.0,,,,,,62.0,34.0,6.7,7.0,,0,3.0,,,3.0,,,,,,,,3.0,1.0,1.0,,,,1.0,,,,1.0,,,,,
13329565,home,Birmingham City,Scott Wright,,,scott-wright,S. Wright,M,25,175,147,M,547380,EUR,870998400,M,11,11,False,9.0,5.0,,,0.0,4.0,4.0,1.0,6.0,3.0,,,1.0,,,,,,77.0,17.0,6.1,7.0,,2,1.0,1.0,,3.0,,2.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,1.0,,,,
13329565,home,Birmingham City,Kieran Dowell,,,kieran-dowell,K. Dowell,M,26,183,182,M,784503,EUR,876441600,M,30,30,False,22.0,19.0,2.0,2.0,0.0,8.0,8.0,14.0,20.0,4.0,,2.0,4.0,,,,,,90.0,41.0,6.9,8.0,2.0,1,6.0,1.0,,3.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,3.0,,1.0,,,
13329565,home,Birmingham City,Keshi Anderson,,,keshi-anderson,K. Anderson,M,37,175,107,M,816519,EUR,816393600,M,14,14,False,17.0,15.0,,,1.0,4.0,5.0,12.0,13.0,5.0,1.0,,4.0,,,,,,76.0,35.0,7.7,7.0,3.0,1,1.0,,1.0,7.0,2.0,3.0,1.0,1.0,,,,3.0,3.0,,2.0,,,,,,2.0,1.0,,,,,
