match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_ownGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,captain,stat_dispossessed,stat_goalAssist,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_outfielderBlock
10408381,home,Sevilla,Bono,,,bono,Bono,G,37,195,54576,M,BonoY,360938,EUR,670809600,G,13,13,False,58.0,43.0,25.0,10.0,38.0,43.0,5.0,15.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,67.0,5.8,16.0,0.0,0.0,0.00085799,0,-0.9366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408381,home,Sevilla,Tanguy Nianzou,,,tanguy-nianzou,T. Nianzou,D,5,192,1231,M,,1003007,EUR,1023408000,D,14,14,False,67.0,57.0,6.0,3.0,39.0,41.0,18.0,27.0,1.0,3.0,3.0,,1.0,,,,,90.0,77.0,6.6,12.0,0.0,0.0,0.00996738,0,,1.0,4.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10408381,home,Sevilla,Fernando,,,fernando-reges,Fernando,M,5,183,1112,M,,41837,EUR,554169600,D,20,20,False,59.0,57.0,1.0,1.0,42.0,44.0,15.0,15.0,,1.0,7.0,,,,,,,83.0,67.0,6.3,2.0,0.0246,0.0,0.0130832,1,,,3.0,4.0,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
10408381,home,Sevilla,Nemanja Gudelj,,,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,,68332,EUR,690249600,D,6,6,False,84.0,70.0,9.0,1.0,47.0,53.0,23.0,31.0,2.0,3.0,7.0,,,,,,,90.0,97.0,6.8,15.0,0.0546,0.0469,0.0931374,3,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,
10408381,home,Sevilla,Jesús Navas,,,jesus-navas,J. Navas,D,16,170,1580,M,,11869,EUR,501379200,M,16,16,False,33.0,29.0,1.0,,10.0,10.0,19.0,29.0,1.0,2.0,7.0,,,,,,,84.0,56.0,6.7,14.0,0.0361,0.0,0.0512215,1,,6.0,,2.0,,,,,2.0,,4.0,1.0,1.0,,,,,,,True,,,,,,,,,
10408381,home,Sevilla,Ivan Rakitić,,,ivan-rakitic,I. Rakitić,M,,184,13189,M,ivan_rakitic,7635,EUR,573955200,M,10,10,False,31.0,29.0,3.0,3.0,10.0,10.0,19.0,23.0,1.0,3.0,1.0,,,,,,,45.0,40.0,6.6,5.0,0.0,0.0,0.0295701,0,,2.0,1.0,4.0,,,,,3.0,,,1.0,,2.0,,,,,,,1.0,,,,,,,,
10408381,home,Sevilla,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187,36528,M,p.gueye24,879694,EUR,917136000,M,18,18,False,47.0,42.0,7.0,4.0,21.0,22.0,21.0,29.0,4.0,10.0,2.0,,,,,,,90.0,66.0,6.6,13.0,0.093,0.0,0.0299794,1,,4.0,2.0,7.0,1.0,,1.0,,4.0,2.0,2.0,,,1.0,,,1.0,,,,3.0,1.0,1.0,,,,,,
10408381,home,Sevilla,Bryan Gil,,,bryan-gil,B. Gil,M,21,176,3585,M,bryan11gil,910026,EUR,981849600,M,25,25,False,32.0,27.0,,,11.0,15.0,16.0,19.0,2.0,7.0,5.0,,2.0,,,,,57.0,54.0,6.6,12.0,0.0,0.0,0.01664,0,,2.0,,3.0,2.0,,2.0,2.0,1.0,3.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,
10408381,home,Sevilla,Erik Lamela,,,erik-lamela,E. Lamela,M,,183,2389,M,,122702,EUR,699667200,F,17,17,False,15.0,10.0,1.0,,6.0,7.0,4.0,8.0,1.0,2.0,1.0,,1.0,,,,,45.0,20.0,6.7,6.0,0.0481,0.2708,0.00664966,2,,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
10408381,home,Sevilla,Óliver Torres,,,oliver-torres,Ó. Torres,M,8,178,952,M,,231776,EUR,784425600,F,21,21,False,37.0,27.0,1.0,1.0,9.0,9.0,20.0,31.0,1.0,2.0,2.0,,1.0,,,,,90.0,45.0,7.2,13.0,0.0201,0.0668,0.814769,1,,3.0,,1.0,,,1.0,,,,4.0,,,,,,,1.0,,,1.0,,1.0,2.0,,,,,
